"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"BAJA CALIFORNIA SUR","REGISTRO CIVIL DIRECCIÓN ESTATAL DE LA PAZ","Boulevard Constituyentes y Av. De las Cabrias, Col. Fidepaz, La Paz, B.C.S.","0","0","","01 612 124 28 50"
"BAJA CALIFORNIA SUR","REGISTRO CIVIL DIRECCIÓN ESTATAL","Manuel Márquez de León e Ignacio Ramírez n° 455, Col. Centro, C.P. 23000, La Paz, B.C.S.","24.15275358800045","-110.31104982399967","","01 612 125 26 90"
"BAJA CALIFORNIA SUR","REGISTRO CIVIL DE CABO SAN LUCAS OFICIALÍA 02","Blvd. Constituyentes, Col. Magisterial, C.P. 23410, Los Cabos, B.C.S.","22.884260284000447","-109.9146096399997","","01 624 143 36 07"
"BAJA CALIFORNIA SUR","REGISTRO CIVIL DE CIUDAD CONSTITUCIÓN OFICIALÍA 01","Allende y Lerdo de Tejada, Col. Centro, C.P. 23600, Comondú, B.C.S.","25.029584782000484","-111.65828958799972","","01 613 132 64 51"
"BAJA CALIFORNIA SUR","REGISTRO CIVIL DE GUERRERO NEGRO OFICIALÍA 01","Emiliano Zapata, Col. Loma Bonita, C.P. 23940, Mulege, B.C.S.","27.966264711000463","-114.04416600199971","","01 615 157 00 22"
"BAJA CALIFORNIA SUR","REGISTRO CIVIL DE LA PAZ OFICIALÍA 07","J. Mújica Tamarindo y Mandarina, Col. Indeco, La Paz, B.C.S.","0","0","","01 613 135 24 28"
"BAJA CALIFORNIA SUR","REGISTRO CIVIL DE LORETO OFICIALÍA 01","Francisco I. Madero y Salvatierra, Col. Centro, C.P. 23880, Loreto, B.C.S.","26.01133038800043","-111.35339463799971","","01 613 135 24 28 y 00 36"
"BAJA CALIFORNIA SUR","REGISTRO CIVIL DE SAN JOSÉ DEL CABO OFICIALÍA 01","Blvd. Mijárez y Benito Juárez, Col. Centro, C.P. 23410, Los Cabos, B.C.S.","22.884260284000447","-109.9146096399997","","01 624 142 39 38"
"BAJA CALIFORNIA SUR","REGISTRO CIVIL DE SANTA ROSALIA OFICIALÍA 01","Plaza y Carranza, Col. Centro, Mulege, B.C.S.","0","0","","01 612 123 94 00 ext. 4160"
"BAJA CALIFORNIA SUR","REGISTRO CIVIL DE SANTIAGO OFICIALÍA 03","24 de Febrero n° 130, Col. Centro, C.P. 23500, Los Cabos, B.C.S.","23.481753546000448","-109.7188349439997","","01 624 130 21 81"
"BAJA CALIFORNIA SUR","REGISTRO CIVIL DE TODOS LOS SANTOS OFICIALÍA 03","Centenario s/n, Col. Centro, C.P. 23300, La Paz, B.C.S.","23.44834018700044","-110.22975177299969","","01 612 125 01 20"
"BAJA CALIFORNIA SUR","REGISTRO CIVIL DE LA PAZ OFICIALÍA 01","Allende entre Revolución y Madero Planta Alta, Col. Centro, C.P. 23000, La Paz, B.C.S.","24.15275358800045","-110.31104982399967","","01 612 125 73 13"
"BAJA CALIFORNIA SUR","RÉGIMEN ESTATAL DE PROTECCIÓN SOCIAL EN SALUD","Revolución n° 471, Col. Centro, C.P. 23000, La Paz, B.C.S.","24.15275358800045","-110.31104982399967","","01 612 128 92 43"
"BAJA CALIFORNIA SUR","INEGI DE LA PAZ","Altamirano n° 2790, Col. Centro, C.P. 23000 La Paz, B.C.S.","19.474337421000428","-99.19245527399966","","01 612 123 15 65 ext. 6808"
"BAJA CALIFORNIA SUR","SEDESOL, MODALIDAD IDENTIDAD JURÍDICA","Agustín Olachea Esq. Blvd.. Luis D. Colosio, Col. Residencial Las Garzas, La Paz, B.C.S.","0","0","","01 612 122 05 24"
"BAJA CALIFORNIA SUR","INSTITUTO NACIONAL DE MIGRACIÓN DELEGACIÓN REGIONAL BAJA CALIFORNIA SUR","Lázaro Cardenas n° 1625, Col. Arenal-Centro, Los Cabos, B.C.S.","22.884260284000447","-109.9146096399997","","01 624 105 16 38"
