"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"BAJA CALIFORNIA","REGISTRO CIVIL DE MEXICALI, DIRECCIÓN GENERAL","Edificio del Poder Ejecutivo Primer Piso, Centro Cívico y Comercial, C.P. 21000, Mexicali, B.C.","32.644160748000445","-115.47204994799972","","01 686 558 10 00 ext. 1700"
"BAJA CALIFORNIA","REGISTRO CIVIL DE ENSENADA OFICIALIA 01","Calle Reforma n° 1122, Col. Carlos Pacheco, C.P. 22890, Ensenada B.C.","31.842053594000447","-116.60173491499967","","01 646 152 10 88"
"BAJA CALIFORNIA","REGISTRO CIVIL DE LA MESA OFICIALÍA 02","Av. Los Charros y Allende s/n, Fraccionamiento Moreno, C.P. 22450, Tijuana, B.C.","32.53061991700048","-116.93714698099967","","01 664 622 44 26"
"BAJA CALIFORNIA","REGISTRO CIVIL DE MEXICALI OFICIALÍA 01","Independencia n° 998, Centro Cívico, C.P.21000, Mexicali, B.C.","32.602479753000466","-115.3895798319997","","01 686 558 16 00 ext. 1740"
"BAJA CALIFORNIA","REGISTRO CIVIL DE MEXICALI OFICIALÍA 03","Calle 4ª. y Carretera a San Luis s/n, Col. González Ortega, C.P. 21397, Mexicali, B.C.","32.59639991400047","-115.40185928899967","","01 686 561 94 25"
"BAJA CALIFORNIA","REGISTRO CIVIL DE MEXICALI OFICIALÍA 05","Av. Guerrero y Calle Novena, Mexicali, B.C.","0","0","","01 658 516 40 06"
"BAJA CALIFORNIA","REGISTRO CIVIL DE MEXICALI OFICIALÍA 06","Av. Mar Blanco n° 773, Col. San Felipe, C.P. 21850, Mexicali, B.C.","30.992568581000455","-114.82712026699971","","01 686 577 16 50"
"BAJA CALIFORNIA","REGISTRO CIVIL DE PLAYAS DE TIJUANA OFICIALÍA 04","Paseo Pedregal y Av. Del Agua, Sección Jardines, Fraccionamiento Playas de Tijuana, C.P. 22000, Tijuana, B.C.","32.53170995000045","-117.04007015499968","","01 664 631 08 34"
"BAJA CALIFORNIA","REGISTRO CIVIL DE VICENTE GUERRERO OFICIALÍA 02","Calle Rosario Meza n° 107, Col. Vicente Guerrero, C.P. 22920, Ensenada, B.C.","30.71956839100045","-115.99192981699969","","01 616 166 21 41"
"BAJA CALIFORNIA","REGISTRO CIVIL DE ZONA CENTRO OFICIALÍA 07","Av. Paseo del Río n° 16, 3ra. Etapa del Río Tijuana, C.P. 22320, Tijuana, B.C.","32.53128968900046","-117.03807971399971","","01 664 627 00 46"
"BAJA CALIFORNIA","REGISTRO CIVIL DE TIJUANA OFICIALÍA 01","Av. Independencia esq. Paseo Centenario n° 1350, Zona Urbana Río P. Municipal C.P. 22320 Tijuana, B.C.","32.53128968900046","-117.03807971399971","","01 664 973 70 82 y 70 83"
"BAJA CALIFORNIA","REGISTRO CIVIL DE TIJUANA OFICIALÍA 03","Av. Aranjuez s/n Fraccionamiento Villa Fontana, Tijuana, B.C.","0","0","","01 664 627 87 15"
"BAJA CALIFORNIA","REGISTRO CIVIL TIJUANA OFICIALÍA 04","Av. Miraflores n° 8351, esq. Cabo San Lucas, Col. San Antonio de los Buenos, C.P. 22180, Tijuana, B.C.","32.47411982600045","-116.95362360899969","","01 664 635 61 61"
"BAJA CALIFORNIA","REGISTRO CIVIL DE TIJUANA OFICIALÍA 05","Av. Miraflores n° 8351, esq. Cabo San Lucas, Col. San Antonio de los Buenos, C.P. 22180, Tijuana, B.C.","32.47411982600045","-116.95362360899969","","01 664 635 61 61"
"BAJA CALIFORNIA","REGISTRO CIVIL DE TIJUANA OFICIALÍA 06","Calzada Tecnológico s/n, Col. Altabrisa, C.P. 22414, Tijuana, B.C.","32.52886993800047","-116.98316543299967","","01 664 647 42 35"
"BAJA CALIFORNIA","REGISTRO CIVIL DE TIJUANA OFICIALÍA 07","Calle 5ª n° 7727, Zona Centro, C. P. 22000, Tijuana B. C.","32.53434967900046","-116.96812998199971","","01 664 622 53 08"
"BAJA CALIFORNIA","REGISTRO CIVIL DE ENSENADA OFICIALÍA 01","Calle Reforma n° 1122, Col. Carlos Pacheco, C.P. 22890, Ensenada, B.C.","31.842053594000447","-116.60173491499967","","01 646 152 10 88"
"BAJA CALIFORNIA","SISTEMA EDUCATIVO ESTATAL","Av. Vicente Guerrero n° 137, Bahia, C.P. 22880, Ensenada, B.C.","31.857679929000483","-116.59301237299968","","01 646 172 43 64"
"BAJA CALIFORNIA","SISTEMA EDUCATIVO ESTATAL","Industria n° 291, Col. Industrial, C.P. 21010, Mexicali, B.C.","32.65017739400048","-115.46940484299972","","01 686 559 86 00"
"BAJA CALIFORNIA","INEGI MEXICALI","Av. Pioneros n° 1005 2do. Piso, Palacio Federal, Col. Centro Cívico y Comercial, C.P. 21000, Mexicali, B.C.","32.644160748000445","-115.47204994799972","","01 686 557 39 14, Ext. 7601 y 7610"
"BAJA CALIFORNIA","INSTITUTO NACIONAL DE MIGRACIÓN DELEGACIÓN REGIONAL BAJA CALIFORNIA","Puente Puerta México s/n,Col. Federal, Tijuana B.C.","0","0","","01 682 98 62 y 682 49 52"
