"entidad","nombre_registro","direccion","latitud","longitud","contacto"
"chiapas","Dirección General del Registro Civil","2da. Sur Esq. Calle Central, Col. Centro, C.P. 29000, Tuxtla Gutiérrez, Chis.","17.88542699100043","-92.91973015499968","01 961 614 85 80"
"chiapas","Registro Civil de Palenque","Francisco Javier Mina s/n, Col. Centro, C.P. 29960, Palenque, Chis.","17.521072530000424","-91.98439501599967","01 934 345 44 48"
"chiapas","Registro Civil de Tuxtla Gutiérrez","Centro Comercial Soriana, Col. Plaza Poliforum, C.P. 29000, Tuxtla Gutiérrez, Chis.","16.755208869000455","-93.11107507899965","01 961 60 437 09"
"chiapas","Municipio de Acapetahua","Av. Central Norte No. 2, Col. Centro, C.P. 30580, Acapetahua, Chis.","14.64519177300042","121.0479260040006","01 918 647 00 00"
"chiapas","Municipio de Ángel A. Corzo","1ª. Poniente Sur s/n, Col. Centro C.P. 30370, Ángel A. Corzo, Chis.","15.872435116000474","-92.72357548299965","01 992 655 01 84"
"chiapas","Municipio de Bellavista","Palacio Municipal s/n, Col. Centro, C.P. 30130, Bellavista, Chis.","15.583890277000421","-92.24685125799965","01 200 123 84 68 y 67"
"chiapas","Municipio de Benemérito de las Américas","Calle Central s/n, Col. Sector 1, C.P. 92955, Benemérito de las Américas, Chis.","16.516950344000463","-90.65243018699965","01 200 123 9446"
"chiapas","Municipio de Cacahotán","Central Sur y 6ª Poniente s/n, Col. Centro, C.P. 30890, Cacahotán, Chis.","14.994755148000422","-92.16539363499965","01 962 622 01 60 / ext. 103"
"chiapas","Municipio de Chenalhó","Hidalgo s/n, Col. Centro, C.P. 29870, Chenalhó, Chis.","16.89380449400045","-92.62665033699966","01 919 673 70 35"
"chiapas","Municipio de Chicomuselo","1ra.Av. Sur Poniente s/n esq. 3ª. Calle Poniente Sur, Col. Centro, C.P. 30120, Chicomuselo, Chis.","15.742440073000466","-92.28651112299968","01 963 631 23 34"
"chiapas","Municipio de Cintalapa","1ra. Norte Oriente No. 5, Col. Centro, C.P. 30400, Cintalapa, Chis.","16.689655313000458","-93.72522548899968","01 968 684 20 10"
"chiapas","Municipio de El Bosque","Palacio Municipal s/n Av. Central Hidalgo esq. Calle Juárez, Col. Centro, C.P. 29840, El Bosque, Chis.","17.061455247000424","-92.72126015999964","01 919 10 19 130"
"chiapas","Municipio de Escuintla","Calle Zaragoza Oriente No. 05, Col. Centro, C.P. 30600, Escuintla, Chis.","15.321300298000438","-92.65906256799968","01 918 644 00 00"
"chiapas","Municipio de El Porvenir","Calle Central s/n, Palacio Municipal, Col. Centro, C.P. 30970, El Porvenir, Chis.","15.457740173000445","-92.28050853499968","01 962 622 74 92"
"chiapas","Municipio de Francisco León","Domicilio Conocido, Col. San José Maspac, C.P. 29560, Francisco León, Chis.","17.285150169000474","-93.2744671429997","01 555 150 53 68"
