"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"CHIHUAHUA","OFICIALÍA 01 DEL REGISTRO CIVIL CD JUAREZ","H. Colegio Militar y Av Francisco Villa, Chamizal, Juárez, Chihuhua","0","0","","52 656 615 2019"
"CHIHUAHUA","OFICIALÍA 02 DEL REGISTRO CIVIL DE CD JUAREZ","Blvd. Gomez Morin 1325, Juárez, Chihuhua","31.597520656000484","-106.4573019829997","","52 656 615 2019"
"CHIHUAHUA","OFICIALÍA 04 DEL REGISTRO CIVIL CIUDAD JUAREZ","Codorniz y Ave. De los Aztecas s/n Col. Azteca, Juárez, Chihuhua","0","0","","(656) 610-01-42"
"CHIHUAHUA","OFICIALÍA 05 DEL REGISTRO CIVIL CIUDAD JUÁREZ","Eje Vial Juan Gabriel y Aserraderos s/n, Juárez, Chihuhua","0","0","","(656) 629-33-00 ext. 55704"
"CHIHUAHUA","OFICIALÍA 06 DEL REGISTRO CIVIL CIUDAD JUÁREZ","Calle Almendro 10150, Col. Los Mezquitales, Juárez, Chihuhua","31.73081991400045","-106.49744971699971","","(656) 629-33-00 ext. 55704"
"CHIHUAHUA","OFICIALÍA 01, DIRECCIÓN GENERAL DEL REGISTRO CIVIL CHIHUAHUA","Libertad y calle 13, Col. Centro, Chihuahua, Chihuhua (C.P. 31000)","0","0","","(614) 429 3300 / 4801 y 4809"
"CHIHUAHUA","REGISTRO CIVIL DE JIMÉNEZ","Zaragoza 116, Col. Centro (CP 33981), Jiménez, Chihuhua","27.125469947000454","-104.91248973499967","","01-629-542-30-31"
"CHIHUAHUA","REGISTRO CIVIL CUAUHTÉMOC","Morelos y calle 23 (CP 31530), Cuauhtémoc, Chihuhua","41.93529992800046","-1.437490180999589","","01-635-581-93-22 / 74-63"
"CHIHUAHUA","REGISTRO CIVIL CAMARGO","Hidalgo y Allende 2-A, Col. Centro (CP 37000), Camargo, Chihuhua","27.695619932000454","-105.17279970399966","","01648 462 43 31"
"CHIHUAHUA","REGISTRO CIVIL DELICIAS"," Av. 6ta y Calle 1era. Ote, Col. Centro, (CP 33060), Delicias, Chihuhua","28.183359890000474","-105.4621296199997","","01-639-474-30-08"
"CHIHUAHUA","REGISTRO CIVIL DE HIDALGO DEL PARRAL","Mutualismo y Gral. Negrete, Col. Centro (CP 33800), Hidalgo del Parral, Chihuhua","43.17961989300045","-6.550680009999553","","01 627 523 93 22 / 72 04"
"CHIHUAHUA","REGISTRO CIVIL CUAUHTÉMOC","Morelos y calle 23 (CP 31530), Cuauhtémoc, Chihuhua","41.93529992800046","-1.437490180999589","","01-635-581-93-22 / 74-63"
