"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"DISTRITO FEDERAL DF"," DIRECCIÓN GENERAL DEL REGISTRO CIVIL DF","Arcos de Belén 19, Col. Doctores, Del. Cuauhtémoc (CP 06720)","ARCOS DE BELÉN 19, COLONIA DOCTORES, DEL CUAUHTÉMOC (CP 06720)","39.032412585000486","-5.734449249999557","5709-1710, 5709-2125, 5578-7140,  5761-5989, 5709-1290, 5709-8559"
"DISTRITO FEDERAL DF","JUZGADO N° 1","República de Brasil No 72, esquina Honduras, Plaza Santa Catarina, Centro Histórico.","REPÚBLICA DE BRASIL NO 72, ESQUINA HONDURAS, PLAZA SANTA CATARINA, CENTRO HISTÓRICO","20.374920124000425","-99.65081013699967","5510-1036"
"DISTRITO FEDERAL DF","JUZGADO N° 2 DEL REGISTRO CIVIL VENUSTIANO CARRANZA","Fray Servando T. de Mier y F. del Paso y Troncoso Col., Jardín Balbuena Del. V. Carranza.","FRAY SERVANDO T DE MIER Y F DEL PASO Y TRONCOSO COLONIA, JARDÍN BALBUENA DEL V CARRANZA","0","0","5764 2361 y 5768 3277 (Ext. 158)"
"DISTRITO FEDERAL DF"," JUZGADO N° 3 DEL REGISTRO CIVIL DF ","África 55, Col. Romero Rubio Del.V. Carranza.","ÁFRICA 55, COLONIA ROMERO RUBIO DELV CARRANZA","19.439260343000456","-99.11140022899968","5795 5054"
"DISTRITO FEDERAL DF","JUZGADO Nº 4","Gacela (s/n), esquina A. Tejeda, Col. Los Olivos, Del. Tlahuac.","GACELA (S/N), ESQUINA A TEJEDA, COLONIA LOS OLIVOS, DEL TLAHUAC","0","0","5850 4196"
"DISTRITO FEDERAL DF","JUZGADO N° 5 DEL REGISTRO CIVIL TLALPAN","Avenida Cruz Blanca (s/n), interior del Auditorio Ejidal del Pueblo de San Miguel Topilejo, Del. Tlalpan.","AVENIDA CRUZ BLANCA (S/N), INTERIOR DEL AUDITORIO EJIDAL DEL PUEBLO DE SAN MIGUEL TOPILEJO, DEL TLALPAN","0","0","2290 9512"
"DISTRITO FEDERAL DF","JUZGADO N° 6 DEL REGISTRO CIVIL CUAUHTEMOC"," 5 de Febrero 161, Col. Obrera, del Cuauhtémoc"," 5 DE FEBRERO 161, COLONIA OBRERA, DEL CUAUHTÉMOC","19.430360350000456","-99.16818003899965","5761 7814 y 4335 8049"
"DISTRITO FEDERAL DF","JUZGADO N° 7","Zarco y Violeta, Col. Guerrero, del Cuauhtémoc","ZARCO Y VIOLETA, COLONIA GUERRERO, DEL CUAUHTÉMOC","0","0","4335-8096"
"DISTRITO FEDERAL DF","JUZGADO N° 8 DEL REGISTRO CIVIL MEXICO DF"," Avenida Yucatán, Esquina Antonio Anza, Col. Roma, Del. Cuauhtémoc"," AVENIDA YUCATÁN, ESQUINA ANTONIO ANZA, COLONIA ROMA, DEL CUAUHTÉMOC","0","0","4335-8053 y 5264-3814"
"DISTRITO FEDERAL DF","JUZGADO N° 9","Calz. México Tacuba S/N, esquina Mar Árabe, Col. Tacuba, Del. M. Hidalgo","CALZ MÉXICO TACUBA S/N, ESQUINA MAR ÁRABE, COLONIA TACUBA, DEL M HIDALGO","0","0","5527 2994"
"DISTRITO FEDERAL DF","JUZGADO N° 10","Patriotismo 797, Col. San Juan Mixcoac, Del. B. Juárez","PATRIOTISMO 797, COLONIA SAN JUAN MIXCOAC, DEL B JUÁREZ","31.73081991400045","-106.49744971699971","5563 0932"
"DISTRITO FEDERAL DF","JUZGADO N° 11 DEL REGISTRO CIVIL MIGUEL HIDALGO","Monte Altai, Esq. Con Alpes, Col. Lomas de Chapultepec, Del. M. Hidalgo","MONTE ALTAI, ESQUINA CON ALPES, COLONIA LOMAS DE CHAPULTEPEC, DEL M HIDALGO","0","0","5520 3503 y 5249 3500 (Ext. 5012 y 5013)"
