"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"DURANGO","DIRECCIÓN GENERAL DEL REGISTRO CIVIL DE DURANGO ","Sauca 721, Jardines de Durango","SAUCA 721, JARDINES DE DURANGO","24.006839665000427","-104.68136990299968","(618) 137-96-76"
"DURANGO","OFICIALIA 24 DEL REGISTRO CIVIL DE DURANGO","Mercurio N° 105, Fidel Velaz, Durango","MERCURIO N° 105, FIDEL VELAZ, DURANGO","24.006839665000427","-104.68136990299968","618-8-14-27-40"
"DURANGO","OFICIALIA 25 DEL REGISTRO CIVIL DE DURANGO","Cuauhtemoc 683, Zona sur, Durango","CUAUHTEMOC 683, ZONA SUR, DURANGO","19.41937365700045","-99.16938841099966","8-13-58-10"
"DURANGO","OFICIALIA 26 DEL REGISTRO CIVIL DE DURANGO","Hidalgo 820, Durango","HIDALGO 820, DURANGO","28.694698176000486","-100.54651674499968","618-8-11-37-60"
"DURANGO","OFICIALIA 01 DEL REGISTRO CIVIL DE DURANGO","Domicilio conocido, Abraham Glez","DOMICILIO CONOCIDO, ABRAHAM GLEZ","0","0","5-96-18-20"
"DURANGO","OFICIALIA 03 DEL REGISTRO CIVIL DURANGO","Domicilio conocido, Aquiles Serdan","DOMICILIO CONOCIDO, AQUILES SERDAN","23.942719678000458","-104.58280973999968","8-00-22-68"
"DURANGO","OFICIALIA 04 DEL REGISTRO CIVIL DE DURANGO","Domicilio conocido, el Arenal","DOMICILIO CONOCIDO, EL ARENAL","24.062589982000475","-104.43269967099968","8-76-50-11"
"DURANGO","OFICIALIA 05 DEL REGISTRO CIVIL DE DURANGO","Domicilio conocido, Contreras","DOMICILIO CONOCIDO, CONTRERAS","0","0","8-24-90-76"
"DURANGO","OFICIALIA 07 DEL REGISTRO CIVIL DE DURANGO","Batallon  de puebla (s/n), Col. 5 de Mayo","BATALLON  DE PUEBLA (S/N), COLONIA 5 DE MAYO","19.819250292000447","-97.65627004699968","5-96-18-20"
"DURANGO","OFICIALIA 08 DEL REGISTRO CIVIL EN DURANGO","Domicilio conocido, Ignacio Zaragoza","DOMICILIO CONOCIDO, IGNACIO ZARAGOZA","29.645214810000482","-107.75898481399969","01-200-124-60-18"
"DURANGO","OFICIALIA 10 DEL REGISTRO CIVIL DE DURANGO","Melchor Ocampo (s/n), Llano Grande","MELCHOR OCAMPO (S/N), LLANO GRANDE","0","0","8-76-16-16"
"DURANGO","OFICIALIA 12 DEL REGISTRO CIVIL DE DURANGO","Domicilio conocido, Otinapa","DOMICILIO CONOCIDO, OTINAPA","0","0","044-618-1-69-39-16"
"DURANGO","OFICIALIA 13 DEL REGISTRO CIVIL DE DURANGO","Domicilio conocido, Parras de la Fuente","DOMICILIO CONOCIDO, PARRAS DE LA FUENTE","25.442137585000467","-102.16083387899965",""
"DURANGO","OFICIALIA 14 DEL REGISTRO CIVIL DE DURANGO","Domicilio conocido, Pilar de Zaragoza","DOMICILIO CONOCIDO, PILAR DE ZARAGOZA","19.197140114000433","-100.1314700959997","5-96-05-12"
"DURANGO","OFICIALIA 15 DEL REGISTRO CIVIL DE DURANGO","Domicilio conocido, el San Benito","DOMICILIO CONOCIDO, EL SAN BENITO","0","0",""
"DURANGO","OFICIALIA 16 DEL REGISTRO CIVIL DE DURANGO","Domicilio conocido, Refugio Salcido","DOMICILIO CONOCIDO, REFUGIO SALCIDO","0","0","8-26-71-34 "
"DURANGO","OFICIALIA 18 DEL REGISTRO CIVIL DE DURANGO","Domicilio conocido","DOMICILIO CONOCIDO","0","0","5-96-18-20"
"DURANGO","OFICIALIA 19 DEL REGISTRO CIVIL DE DURANGO","Domicilio conocido","DOMICILIO CONOCIDO","0","0",""
"DURANGO","OFICIALIA 20 DEL REGISTRO CIVIL DE DURANGO","Domicilio conocido","DOMICILIO CONOCIDO","0","0","8-76-30-11"
"DURANGO","OFICIALIA 21 DEL REGISTRO CIVIL DE DURANGO","Barreda 500, esquina Victoria","BARREDA 500, ESQUINA VICTORIA","28.805930287953515","-97.0035659102378","(618) 811-7786"
"DURANGO","OFICIALIA 24 DEL REGISTRO CIVIL DE DURANGO","Domicilio conocido","DOMICILIO CONOCIDO","0","0","5-96-18-20"
"DURANGO","OFICIALIA 25 DEL REGISTRO CIVIL DE DURANGO","Domicilio conocido","DOMICILIO CONOCIDO","0","0","5-96-18-20"
"DURANGO","OFICIALIA 01 DEL REGISTRO CIVIL DE GOMEZ PALACIO","Calzada Forjadores 503, Gómez Palacio","CALZADA FORJADORES 503, GÓMEZ PALACIO","25.578559826000458","-103.4874496429997","871-1-75-20-11 y 1-75-20-10"
"DURANGO","OFICIALIA 10 DEL REGISTRO CIVIL GOMEZ PALACIO","C. Victoria 528, Gómez Palacio","C VICTORIA 528, GÓMEZ PALACIO","25.578559826000458","-103.4874496429997","045-87-11-994-05"
"DURANGO","OFICIALIA 01 DEL REGISTRO CIVIL DE LERDO","Allende 174, Lerdo","ALLENDE 174, LERDO","18.96439518900047","-103.9567447709997","(871) 725-13-61 "
"DURANGO","OFICIALIA 04 DEL REGISTRO CIVIL DE LERDO","Gómez Palacio 314, Lerdo","GÓMEZ PALACIO 314, LERDO","35.49197435673227","-119.15265623499653","045-87-12-69-09-83"
"DURANGO","OFICIALIA 01 DEL REGISTRO CIVIL DE PUEBLO NUEVO","Domicilio conocido, El salto","DOMICILIO CONOCIDO, EL SALTO","23.779029789000447","-105.36208979799966","(675)  87-6-17-35"
