"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"GUANAJUATO","OFICIALÍA 01 DEL REGISTRO CIVIL GUANAJUATO","J. Valle 20, Altos Zona Centro (CP 36000), Guanajuato","J VALLE 20, ALTOS ZONA CENTRO (CP 36000), GUANAJUATO","21.018410334000464","-101.2591202539997","(473) 73-2-01-90"
"GUANAJUATO","OFICIALIA 01 DE REGISTRO CIVIL LEON GTO","Juárez 204, 2° Piso, Centro (CP 37000), León, Gto","JUÁREZ 204, 2° PISO, CENTRO (CP 37000), LEÓN, GTO","21.119570063000424","-101.67624035899968","(477) 7 14 30 84"
"GUANAJUATO","OFICIALÍA 08 DE VALLE DEL SOL DE LA CIUDAD DE LEÓN","Crepúsculo y Amanecer 101, Valle del Sol (CP 37000), León, Gto","CREPÚSCULO Y AMANECER 101, VALLE DEL SOL (CP 37000), LEÓN, GTO","21.119570063000424","-101.67624035899968","(477) 77 4 08 94"
"GUANAJUATO","OFICIALÍA 09 DEL BARRIO DEL COECILLO, REGISTRO CIVIL EN LEON GTO","Blvd. F. Villa 1313, despacho 10, Col. Jardines de oriente (CP 37260), León, Gto","BLVD F VILLA 1313, DESPACHO 10, COLONIA JARDINES DE ORIENTE (CP 37260), LEÓN, GTO","40.863522281000485","-6.472810336999601","(477) 772-28-82 y (477) 772-02-01"
"GUANAJUATO","OFICIALÍA 10 DEL BARRIO DE SAN MIGUEL, LEÓN","M. Luisa 109, Fraccionamiento Loma Bonita (CP 37390), León, Gto","M LUISA 109, FRACCIONAMIENTO LOMA BONITA (CP 37390), LEÓN, GTO","21.119570063000424","-101.67624035899968","(477) 7-70-45-68"
"GUANAJUATO","OFICIALÍA 11 DE COLONIA ESPAÑA, LEÓN","Blvd. San Juan Bosco 1002, San Juan Bosco (CP 37330), León, Gto","BLVD SAN JUAN BOSCO 1002, SAN JUAN BOSCO (CP 37330), LEÓN, GTO","42.85271020200048","-2.6577674279996018","(477) 7-62-42-86"
"GUANAJUATO","OFICIALÍA 12 DE SAN JOSÉ EL ALTO, LEÓN","Eta número 315 Industrial Delta (CP 37660), León, Gto","ETA NÚMERO 315 INDUSTRIAL DELTA (CP 37660), LEÓN, GTO","40.474859763000495","-5.998560265999572","(477) 7-61-06-13"
"GUANAJUATO","OFICIALÍA 14, IMSS T-48, DEL REGISTRO CIVIL GUANAJUATO, LEÓN","Av. Insurgentes (S/N), esquina con Av. México (dentro de las Instalaciones de la Clínica) (CP 37000), León, Gto","AVENIDA INSURGENTES (S/N), ESQUINA CON AVENIDA MÉXICO (DENTRO DE LAS INSTALACIONES DE LA CLÍNICA) (CP 37000), LEÓN, GTO","21.119570063000424","-101.67624035899968","(477) 7-79-78-23"
"GUANAJUATO","OFICIALÍA 15, SALA DE MATRIMONIOS, DEL REGISTRO CIVIL LEON GTO","Blvd. V. Valtierra 1705, Fraccionamiento La Carmona (CP 37260), León, Gto","BLVD V VALTIERRA 1705, FRACCIONAMIENTO LA CARMONA (CP 37260), LEÓN, GTO","52.64748035000048","4.823930283000436","(477) 71-6-15-85"
"GUANAJUATO","OFICIALÍA 16, HOSPITAL MATERNO INFANTIL, DEL REGISTRO CIVIL LEON GUANAJUATO","Av. de la Juventud número 116 Jol-Gua-Ber (CP 37000), León, Gto","AVENIDA DE LA JUVENTUD NÚMERO 116 JOL-GUA-BER (CP 37000), LEÓN, GTO","21.119570063000424","-101.67624035899968","(477) 7-76-71-26"
"GUANAJUATO","OFICIALÍA 17, HOSPITAL REGIONAL, DEL REGISTRO CIVIL DE LEON GTO","20 de Enero 927 Obregón (CP 37000), León, Gto","20 DE ENERO 927 OBREGÓN (CP 37000), LEÓN, GTO","21.119570063000424","-101.67624035899968","(477) 7-16-21-51"
"GUANAJUATO","OFICIALÍA 01, MOROLEÓN","Av. Hidalgo 15, Moroleón (CP 38800), Moroleón, Gto","AVENIDA HIDALGO 15, MOROLEÓN (CP 38800), MOROLEÓN, GTO","21.018410334000464","-101.2591202539997",""
