"entidad","nombre_registro","direccion","latitud","longitud","contacto"
"guerrero","Oficialía 2 del registro civil de chilpancingo","Ed. Juan Alvarez calle Zaragoza, esquina 16 de septiembre num. SN (CP 39000), Chilpancingo de los Bravo, Guerrero","28.55048990500046","-107.4854898379997","(747) 471 9137, (747) 471 0302, (747) 472 4455"
"guerrero","Oficialia_2","Avenida Julian Blanco SN (CP 39121), Chilpancingo de los Bravo, Guerrero","28.55048990500046","-107.4854898379997","(745) 477 1179"
"guerrero","Oficialía 1 del Registro Civil de Iguala Guerrero","Avenida Vicente Guerrero 1 (cp 40000), Iguala de la Independencia Estado, Guerrero","28.55048990500046","-107.4854898379997","(733) 333 9626"
"guerrero","Oficial 01 del Registro Civil Zihuatanejo","Ext. 147 Paseo De Zihuatanejo Poniente 21, Col., La Deportiva, Interior del Palacio Municipal, Zihuatanejo De Azueta, Guerrero","28.55048990500046","-107.4854898379997","(755) 555 0700"
"guerrero","Oficialía 34 del Registro Civil Acapulco de Juarez","Adolfo López Mateos 46, Fraccionamiento Las Playas, (cp 39390), Acapulco, Guerrero","28.55048990500046","-107.4854898379997","52 744 482 2569"
"guerrero","Oficialía 01 del registro civil taxco","Fundiciones 6 (cp 40200), Taxco De Alarcon Estado, Guerrero","41.392607642000485","-4.300229436999587","(762) 6220125 (ext 139)"
"guerrero","Oficialia 01 del Registro Civil Tlapa","Hidalgo Esq. Con Fonseca Sn (cp 41304), Tlapa De Comonfort, Guerrero","28.55048990500046","-107.4854898379997","(757) 491345"
"guerrero","Oficialia 02 del Registro Civil Chilapa","Álvarez 184 (cp 41101), Chilapa De Álvarez, Guerrero","28.55048990500046","-107.4854898379997","(756) 473 3054"
"guerrero","Oficialia 01 del Registro Civil Pungarabato","Ave. Pungarabato Ptc, Esq Con Moya (cp 40660), Pungarabato, Ciudad Altamirano, Guerrero","28.55048990500046","-107.4854898379997","(767) 672 0153 (ext 103)"
"guerrero","Oficialia 01 del Registro Civil Ometepec","Constitucion (cp 41700), Ometepec, Guerrero","28.55048990500046","-107.4854898379997","(741) 412 0240 (ext 106)"
