"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"JALISCO","DIRECCIÓN GENERAL DEL REGISTRO CIVIL","Av. Alcalde No. 1855 Edif. De Archivo P. B. Sector Hidalgo, C.P. 44280, Guadalajara, Jalisco","AVENIDA ALCALDE NO 1855 EDIF DE ARCHIVO P B SECTOR HIDALGO, CP 44280, GUADALAJARA, JALISCO","20.68631738600044","-103.3402549969997","01 33 38-19-24-56"
"JALISCO","REGISTRO CIVIL ACATIC","Hidalgo 24, Col. Centro, C.P. 45470, Acatic, Jalisco","HIDALGO 24, COLONIA CENTRO, CP 45470, ACATIC, JALISCO","20.778806034000468","-102.90803974399967","01 378 715 00 13"
"JALISCO","REGISTRO CIVIL AHUALULCO DE MERCADO","González Madrid No. 11, Col. Centro, Ahualulco de Mercado, Jalisco.","GONZÁLEZ MADRID NO 11, COLONIA CENTRO, AHUALULCO DE MERCADO, JALISCO","20.700160379000465","-103.9757199229997","13 867 52 01 58"
"JALISCO","REGISTRO CIVIL AJIJIC","Colón No. 23 Col. Centro, C. P. 45920, Ajijic, Jalisco","COLÓN NO 23 COLONIA CENTRO, C P 45920, AJIJIC, JALISCO","20.299620212000434","-103.26669735599967","01 376 76 61 760"
"JALISCO","REGISTRO CIVIL AMECA","Juàrez No. 32, Col. Centro, C.P. 46600, Ameca, Jalisco","JUÀREZ NO 32, COLONIA CENTRO, CP 46600, AMECA, JALISCO","20.548520004000466","-104.04350313799966","0137580014 Ext. 121"
"JALISCO","REGISTRO CIVIL ARANDAS","Francisco Mora No. 76, Col. Centro, C.P. 47180, Arandas, Jalisco","FRANCISCO MORA NO 76, COLONIA CENTRO, CP 47180, ARANDAS, JALISCO","20.702484368000455","-102.34630968699969","13487847405"
"JALISCO","REGISTRO CIVIL ATEMAJÁC DE BRIZUELA","Juárez No. 14 Col. Centro, C. P. 45790, Atemajac de Brizuela, Jalisco","JUÁREZ NO 14 COLONIA CENTRO, C P 45790, ATEMAJAC DE BRIZUELA, JALISCO","20.13889756900045","-103.7252249869997","01 326 42 50 114"
"JALISCO","REGISTRO CIVIL ATOTONILCO EL ALTO","Unidad Administrativa Benito Juàrez, Col. Centro, C.P. 47750 Atotonilco El Alto, Jalisco","UNIDAD ADMINISTRATIVA BENITO JUÀREZ, COLONIA CENTRO, CP 47750 ATOTONILCO EL ALTO, JALISCO","20.54933534400044","-102.51101518499968","13919173424"
"JALISCO","REGISTRO CIVIL ATOYAC","Independencia 96, Col. Centro, C.P. 49200, Atoyac, Jalisco.","INDEPENDENCIA 96, COLONIA CENTRO, CP 49200, ATOYAC, JALISCO","20.008460282000442","-103.51628596899968","13 724 10 21 21"
"JALISCO","REGISTRO CIVIL AUTLÁN DE NAVARRO","Venustiano Carranza No. 1, Col. Centro, Autlán de Navarro, Jalisco.","VENUSTIANO CARRANZA NO 1, COLONIA CENTRO, AUTLÁN DE NAVARRO, JALISCO","19.77331017700044","-104.36592997299971","01 317 38 11 299"
"JALISCO","REGISTRO CIVIL AYOTLAN","Clemente Aguirre, Col. Centro, C.P. 47930, Ayotlan, Jalisco","CLEMENTE AGUIRRE, COLONIA CENTRO, CP 47930, AYOTLAN, JALISCO","20.53094004400043","-102.32758042499967","13459182217"
"JALISCO","REGISTRO CIVIL AYOTLAN ( LA RIVERA)","Hidalgo No. 13 A, Col. C.P. 59250 Ayotlan, Jalisco","HIDALGO NO 13 A, COLONIA CP 59250 AYOTLAN, JALISCO","20.33911518600047","-102.28258475599966","13 56 56 80 999"
"JALISCO","REGISTRO CIVIL AYUTLA","Palacio Municipal sn, Col. centro C.P. 48050 Ayutla, Jalisco","PALACIO MUNICIPAL SN, COLONIA CENTRO CP 48050 AYUTLA, JALISCO","20.130640448000463","-104.3449748759997","01 316 37 200 14"
"JALISCO","REGISTRO CIVIL CABO CORRIENTES","Portal Hidalgo No. 12, Col. Centro, C.P. 48400, Cabo Corrientes, Jalisco","PORTAL HIDALGO NO 12, COLONIA CENTRO, CP 48400, CABO CORRIENTES, JALISCO","20.317180035000433","-105.32194774199968","322 36 90090 y 90101"
"JALISCO","REGISTRO CIVIL CASIMIRO CASTILLO","Carranza Silva No. 1, Col. Centro, C.P. 48930, Casimiro Castillo, Jalisco","CARRANZA SILVA NO 1, COLONIA CENTRO, CP 48930, CASIMIRO CASTILLO, JALISCO","19.604640211000458","-104.43628724499968","13573880039"
"JALISCO","REGISTRO CIVIL COCULA","Portal Obregón No. 30,Col. centro, Cocula, Jalisco","PORTAL OBREGÓN NO 30,COLONIA CENTRO, COCULA, JALISCO","20.362120212000434","-103.82394974799968","01 377 77 34 061"
"JALISCO","REGISTRO CIVIL COLOTLÁN","Hidalgo No. 33, Col. Centro, Colotlán, Jalisco.","HIDALGO NO 33, COLONIA CENTRO, COLOTLÁN, JALISCO","19.694408146000455","-100.56052984199965",""
"JALISCO","REGISTRO CIVIL CIHUATLÁN","Juárez No. 57, Col. Centro, Cihuatlán, Jalisco.","JUÁREZ NO 57, COLONIA CENTRO, CIHUATLÁN, JALISCO","31.598677009000482","-106.45910663099971","01 315 35 53 083"
"JALISCO","REGISTRO CIVIL CUQUIO","Jose Ayala s/n, Col. Centro, Cuquio, Jalisco.","JOSE AYALA S/N, COLONIA CENTRO, CUQUIO, JALISCO","0","0","13793 73 79 65 500"
"JALISCO","REGISTRO CIVIL CHAPALA","Madero No. 5, Col. Centro, Chapala, Jalisco.","MADERO NO 5, COLONIA CENTRO, CHAPALA, JALISCO","25.76964867300046","-103.26689779799966","01 376 76 55 05"
"JALISCO","REGISTRO CIVIL DEGOLLADO","Defensores No. 48, Col. Centro, C.P. 47980, Degollado, Jalisco","DEFENSORES NO 48, COLONIA CENTRO, CP 47980, DEGOLLADO, JALISCO","20.445848726000463","-102.13810470299967","13459370101"
"JALISCO","REGISTRO CIVIL EL GRULLO","Obregón No. 48, Col. Centro,El Grullo, Jalisco","OBREGÓN NO 48, COLONIA CENTRO,EL GRULLO, JALISCO","19.807550153000477","-104.21868994999966","01 321 38 72 067"
"JALISCO","REGISTRO CIVIL ENCARNACIÓN DE DÍAZ","Constitución s/n, Col. Centro, Encarnación de Díaz, Jalisco","CONSTITUCIÓN S/N, COLONIA CENTRO, ENCARNACIÓN DE DÍAZ, JALISCO","0","0","01 475 95 32 163"
"JALISCO","REGISTRO CIVIL ETZATLÁN","Escobedo No. 320, Col. Centro, Etzatlán, Jalisco","ESCOBEDO NO 320, COLONIA CENTRO, ETZATLÁN, JALISCO","20.76502000700043","-104.08046996499968","01 386 75 30 785"
"JALISCO","REGISTRO CIVIL GÓMEZ FARIAS","Leandro Valle No. 5, Col. Centro, Gómez Farias, Jalisco","LEANDRO VALLE NO 5, COLONIA CENTRO, GÓMEZ FARIAS, JALISCO","19.814060276000475","-103.47047970999967","01 341 43 300 10 ext. 109"
"JALISCO","REGISTRO CIVIL LA HUERTA","Juàrez No. 15, Col. Centro, C.P. 48850, La Huerta, Jalisco","JUÀREZ NO 15, COLONIA CENTRO, CP 48850, LA HUERTA, JALISCO","19.48189014300044","-104.64435773299971","13573840046"
