"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"MICHOACAN","REGISTRO CIVIL DIRECCIÓN GENERAL DE MORELIA","Valentín Gómez Farias No. 525, Esq. Av. Héroes de Nocupetaro, Col. Industrial, C.P. 58160, Morelia, Mich.","VALENTÍN GÓMEZ FARIAS NO 525, ESQUINA AVENIDA HÉROES DE NOCUPETARO, COLONIA INDUSTRIAL, CP 58160, MORELIA, MICH","19.705735139000467","-101.2008502109997","01 443 1-13-42-00 Ext. 206"
"MICHOACAN","REGISTRO CIVIL DE ACUITZIO","Riva Palacio n° 1, Col. Centro, C.P. 58460, Acuitzio, Mich.","RIVA PALACIO N° 1, COLONIA CENTRO, CP 58460, ACUITZIO, MICH","19.49524104900047","-101.3353402619997","01 434 388 24 06"
"MICHOACAN","REGISTRO CIVIL DE AGUILILLA","Miguel Maldonado n° 42, Col. Centro, C.P. 60570, Aguililla, Mich.","MIGUEL MALDONADO N° 42, COLONIA CENTRO, CP 60570, AGUILILLA, MICH","18.738375001000463","-102.78945755999968","01 426 53 7 02 90"
"MICHOACAN","REGISTRO CIVIL DE ALVARO OBREGÓN","Ignacio Ramírez Esq. Ricardo Flores Magón n° 78, Col. Centro, C.P. 58920, Alvaro Obregón, Mich.","IGNACIO RAMÍREZ ESQUINA RICARDO FLORES MAGÓN N° 78, COLONIA CENTRO, CP 58920, ALVARO OBREGÓN, MICH","19.82158027400044","-101.04190870199966","01 455 352 30 85"
"MICHOACAN","REGISTRO CIVIL DE ANGAMACUTIRO DE LA UNION","Galeana n° 13, Planta Alta Col. Centro, C.P. 58550, Angamacutiro, Mich.","GALEANA N° 13, PLANTA ALTA COLONIA CENTRO, CP 58550, ANGAMACUTIRO, MICH","20.150323346000448","-101.71256528299966","01 44-33-78-93-63"
"MICHOACAN","REGISTRO CIVIL DE ANGANGEO","Juárez s/n Palacio Municipal, Col. Centro, C.P. 61413, Angangeo, Mich.","JUÁREZ S/N PALACIO MUNICIPAL, COLONIA CENTRO, CP 61413, ANGANGEO, MICH","19.614490060000435","-100.29183032199967","01 715 1-56-00-44 Ext. 23"
"MICHOACAN","REGISTRO CIVIL DE APATZINGÁN DE LA CONSTITUCIÓN","Av. Constitución de 1814 n° 1, Col. Centro, C.P. 60600, Apatzingán, Mich.","AVENIDA CONSTITUCIÓN DE 1814 N° 1, COLONIA CENTRO, CP 60600, APATZINGÁN, MICH","19.08461026700047","-102.3534524589997","01453 534 11 72"
"MICHOACAN","REGISTRO CIVIL DE APORO","Nacional # 36. , Col. Centro, C.P. 61400, Aporo, Mich.","NACIONAL # 36 , COLONIA CENTRO, CP 61400, APORO, MICH","19.670540267000433","-100.40846634699966","01 786 155 62 27"
"MICHOACAN","REGISTRO CIVIL DE AQUILA","Av. Cuauhtémoc n° 34, Col. Centro, C.P. 60870, Aquila, Mich.","AVENIDA CUAUHTÉMOC N° 34, COLONIA CENTRO, CP 60870, AQUILA, MICH","18.599709088000452","-103.50183971199971","01 313 3-27-71-83"
"MICHOACAN","REGISTRO CIVIL DE ARIO DE ROSALES","Alvaro Obregón n° 8, Col. Centro, C.P. 61830, Ario de Rosales, Mich.","ALVARO OBREGÓN N° 8, COLONIA CENTRO, CP 61830, ARIO DE ROSALES, MICH","19.206955325000422","-101.70604560299967","01 422 521 04 96"
