"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"NAYARIT","REGISTRO CIVIL DIRECCIÓN GENERAL","México y Abasolo S/N, Col. Centro C.P. 63000, Tepic, Nayarit.","MÉXICO Y ABASOLO S/N, COLONIA CENTRO CP 63000, TEPIC, NAYARIT","21.51187487000044","-104.89160974699968","01 311 215 21 46 Directo"
"NAYARIT","REGISTRO CIVIL ACAPONETA","Morelos n° 6 Pte., Col. Centro, C.P. 6343, Acaponeta, Nayarit","MORELOS N° 6 PTE, COLONIA CENTRO, CP 6343, ACAPONETA, NAYARIT","50.87679820800048","5.885792463000428","01-325-2-52-21-36"
"NAYARIT","REGISTRO CIVIL DE AHUACATLAN","Hidalgo y 20 de Noviembre s/n, Col. Centro, C.P. 63900, Ahuacatlan, Nayarit","HIDALGO Y 20 DE NOVIEMBRE S/N, COLONIA CENTRO, CP 63900, AHUACATLAN, NAYARIT","21.053580139000474","-104.48379504199966","01-324-241-03-96"
"NAYARIT","REGISTRO CIVIL DE AMATLÁN DE CAÑAS","Emilio Carranza s/n, Col. Centro C.P. 63961, Amatlán de Cañas , Nayarit","EMILIO CARRANZA S/N, COLONIA CENTRO CP 63961, AMATLÁN DE CAÑAS , NAYARIT","20.808330164000438","-104.40317979199966","01 324 2 47 01 45"
"NAYARIT","REGISTRO CIVIL BAHÍA DE BANDERAS","Zacatecas, No. 10, Col. Centro, C.P. 63731, Bahía de Banderas, Nay.","ZACATECAS, NO 10, COLONIA CENTRO, CP 63731, BAHÍA DE BANDERAS, NAY","59.91661527700052","10.726659019000465","01 329 29 10 63 1"
"NAYARIT","REGISTRO CIVIL DE COMPOSTELA","Hidalgo y Morelos s/n, Col. Centro, C.P. 63700, Compostela, Nayarit.","HIDALGO Y MORELOS S/N, COLONIA CENTRO, CP 63700, COMPOSTELA, NAYARIT","21.251584636000473","-104.90047476399968","01 327 277 05 24"
"NAYARIT","REGISTRO CIVIL DE EL NAYAR","Jesús María s/n, Col. Centro C.P. 63530, El Nayar , Nayarit","JESÚS MARÍA S/N, COLONIA CENTRO CP 63530, EL NAYAR , NAYARIT","22.251751757000477","-104.51673994099968","01 200 1 24 80 70"
"NAYARIT","REGISTRO CIVIL DE HUAJICORI","Abasolo y Prisciliano Sánchez s/n, C.P. 63480, Huajicori, Nayarit","ABASOLO Y PRISCILIANO SÁNCHEZ S/N, CP 63480, HUAJICORI, NAYARIT","22.643891496000435","-105.3216046609997","01 325 25 17 060"
"NAYARIT","REGISTRO CIVIL DE IXTLAN DEL RIO","Hidalgo y Francisco I. Madero s/n, Col. Centro C.P. 63940., Tepic.Nayarit.","HIDALGO Y FRANCISCO I MADERO S/N, COLONIA CENTRO CP 63940, TEPICNAYARIT","0","0","01 324 24 34 258"
"NAYARIT","REGISTRO CIVIL DE JALA","Presidencia Municipal s/n, Col. Centro , Jala, Nayarit","PRESIDENCIA MUNICIPAL S/N, COLONIA CENTRO , JALA, NAYARIT","0","0","01 324 6 2 76 00 03"
"NAYARIT","REGISTRO CIVIL DE ROSAMORADA","México n° 14, Col. Centro C.P. 63630, Rosamorada , Nayarit","MÉXICO N° 14, COLONIA CENTRO CP 63630, ROSAMORADA , NAYARIT","22.120865007000475","-105.2076622399997","01 319 2 34 00 05 y 2 34 00 01"
"NAYARIT","REGISTRO CIVIL DE RUIZ","Hidalgo n° 214, Col. Centro, C.P. 63000, Ruiz, Nayarit.","HIDALGO N° 214, COLONIA CENTRO, CP 63000, RUIZ, NAYARIT","21.51187487000044","-104.89160974699968","01 319 2 33 01 50"
"NAYARIT","REGISTRO CIVIL DE SAN BLAS","Canalizo y Sinaloa s/n, Col. Centro, C.P. 63740, San Blas, Nayarit","CANALIZO Y SINALOA S/N, COLONIA CENTRO, CP 63740, SAN BLAS, NAYARIT","21.535742749000462","-105.2868949649997","01 323 2 85 00 05 y 2 85 02 03"
"NAYARIT","REGISTRO CIVIL DE SANTA MARÍA DEL ORO","Ramón Corona s/n, Col. Centro C.P. 63830, Santa María del Oro , Nayarit","RAMÓN CORONA S/N, COLONIA CENTRO CP 63830, SANTA MARÍA DEL ORO , NAYARIT","21.350750256000424","-104.70210021099967","01 327 2 44 01 90 ext. 108"
"NAYARIT","REGISTRO CIVIL DE SAN PEDRO LAGUNILLAS","Hidalgo y Zaragoza s/n, Col. Centro C.P. 63800, San Pedro Lagunillas , Nayarit","HIDALGO Y ZARAGOZA S/N, COLONIA CENTRO CP 63800, SAN PEDRO LAGUNILLAS , NAYARIT","21.217222580000453","-104.7538097049997","01 327 2 58 50 36"
"NAYARIT","REGISTRO CIVIL DE SANTIAGO IXCUINTLA","Calle 20 de Noviembre e Hidalgo s/n, Col. Centro C.P. 63300, Santiago Ixcuintla, Nayarit","CALLE 20 DE NOVIEMBRE E HIDALGO S/N, COLONIA CENTRO CP 63300, SANTIAGO IXCUINTLA, NAYARIT","21.809070063000433","-105.20810106499971","01 323 2 35 05 95"
"NAYARIT","REGISTRO CIVIL DE TECUALA","México y Escobedo s/n, Col. Centro C.P. 63440, Tecuala , Nayarit","MÉXICO Y ESCOBEDO S/N, COLONIA CENTRO CP 63440, TECUALA , NAYARIT","22.39786439000045","-105.45019964499966","01 389 2 53 02 15"
"NAYARIT","REGISTRO CIVIL DE TEPIC (OFICINA AUXILIAR PARA EL MUNICIPIO DE LA YESCA)","Av. Juárez n° 478, Col. Centro C.P. 63000, Tepic, Nayarit","AVENIDA JUÁREZ N° 478, COLONIA CENTRO CP 63000, TEPIC, NAYARIT","21.51187487000044","-104.89160974699968","01 311 2 10 75 76 y 2 10 77 01"
"NAYARIT","REGISTRO CIVIL DE TUXPAN","Hidalgo y Zaragoza, Col. Centro, C.P. 63000, Tuxpan, Nayarit.","HIDALGO Y ZARAGOZA, COLONIA CENTRO, CP 63000, TUXPAN, NAYARIT","21.51187487000044","-104.89160974699968","01 319 232 06 12"
"NAYARIT","REGISTRO CIVIL DE XALISCO","Hidalgo y Juárez s/n, Col. Centro, C.P. 63780, Xalisco, Nayarit","HIDALGO Y JUÁREZ S/N, COLONIA CENTRO, CP 63780, XALISCO, NAYARIT","21.445438346000458","-104.90136988999967","01 311 2 11 20 20 , 2 11 01 21, 2 11 09 59 ext. 108"
