"entidad","nombre_registro","direccion","latitud","longitud","contacto"
"nuevo leon","Oficialia 01 del registro civil de Guadalupe","Jiménez 104, entre Zaragoza y Barbadillo, Zona Centro, Guadalupe","25.664709840000455","-100.19916030699966","01 (81) 83 55 17 55"
"nuevo leon","Oficialia 02 del registro civil guadalupe","Aleman 150, Depto 1, Col. Libertad, Guadalupe","25.673814844000447","-100.2647801229997","01 (81) 83 77 84 68"
"nuevo leon","Oficialia 03 del registro civil de Guadalupe","Cavazos 1065, Col. Puesta del Sol, Guadalupe","34.9589607112689","-120.57397853468092","01 (81) 83 17 24 86"
"nuevo leon","Oficialia 04 del registro civil de Guadalupe","Zaragoza 221, Col. Centro, Guadalupe","17.958353711000427","-93.01661397099969","01 (81) 83 54 04 90"
"nuevo leon","Oficialia 05 del registro civil de Guadalupe","Avenida Plutarco E. Calles 340 D3, Col. La Fuente, Guadalupe","-7.24413009199958","-79.47112988399965","01 (81) 83 67 96 42"
"nuevo leon","Oficialia 06 del registro civil de Guadalupe","Av. Serrafín P. Cruz con Av. Nuevo León, Col. Insurgentes, Guadalupe","","","01 (81) 83 60 80 39"
"nuevo leon","Oficialia 07 del registro civil de Guadalupe","Guadalajara 210, Local 3, Col. J. Zozaya, primer Sector, Guadalupe","4.749849804000462","-75.90944997199966","01 (81) 83 41 08 32"
"nuevo leon","Oficialia 01 del registro civil de Apodaca","Escobedo 604, entre Aldama y Careterra 600, Apodaca","25.778409639000472","-100.1889603409997","01 (81) 83 86 26 34"
"nuevo leon","Oficialia 02 del registro civil de Apodaca","5 de mayo 103, local 4, entre Matamoros e Hidalgo, Apodaca","25.85267668800043","-97.58522251299968","01 (81) 83 86 17 28"
"nuevo leon","Oficialia 03 del registro civil apodaca","Estelaris 422, Entre San Jorge y San José, Apodaca","-32.88934051199959","-68.81648985299967","01 (81) 20 20 92 09"
"nuevo leon","Oficialia 01 del registro civil San nicolás","Jorge González Camarena (S/N), Col. Roble, San Nicolás de los Garza","25.745219672000474","-100.30687004799967","01 (81) 83-53-41-77"
"nuevo leon","Oficialia 02 del registro civil San nicolás","Av. Nogalar 143, Col. Cuauhtemoc, San Nicolás de los Garza","25.760059958000454","-100.27355015899968","01 (81) 83-52-55-39"
"nuevo leon","Oficialia 03 del registro civil San nicolás","Montemayor 149, Fracción Nuevo Mundo, San Nicolás de los Garza","25.760059958000454","-100.27355015899968","01 (81) 83-34-69-75"
"nuevo leon","Oficialia 04 del registro civil san nicolas","San Nicolás 1203, Fracción Las puentes, segundo sector, San Nicolás de los Garza","25.760059958000454","-100.27355015899968","01 (81) 83-30-21-84"
"nuevo leon","Oficialia 01 del registro civil de General Escobedo","Juárez 110, Pte. Col. Centro, General Escobedo","17.958353711000427","-93.01661397099969","01 (81) 83-84-05-39"
"nuevo leon","Oficialia 02 del registro civil escobedo","Lozano 515, Col. Residencial California, General Escobedo","27.23632971100045","-101.41373008499966","01 (81) 83-07-10-90"
"nuevo leon","Oficialia 03 del registro civil Escobedo","Blvd. Benito Juárez 106, Local 9, Col. Elizondo, General Escobedo","27.23632971100045","-101.41373008499966","01 (81) 20-20-63-29"
"nuevo leon","Oficialia 01 del registro civil Santa Catarina","Constitución 112, Local 2 y 3, Zona Centro, Santa Catarina","25.677059966000456","-100.46269019799968","01 (81) 83-88-86-51"
"nuevo leon","Oficialia 02 del registro civil santa catarina","Hidalgo 514, Col. La Fama, Santa Catarina","19.685802709000427","-100.55767053499966","01 (81) 83-36-89-93"
"nuevo leon","Oficialia 03 del registro civil Santa Catarina","Av. Colosio 510, Col. Hacienda San José, Santa Catarina","25.677059966000456","-100.46269019799968","01 (81) 88-01-13-05"
"nuevo leon","Oficialia 01 del registro civil de Benito Juárez","Ayala 307, Pte. Zona Centro, Benito Juárez","31.67070481200045","-106.43371480599967","01 (81) 82-33-25-64"
"nuevo leon","Oficialia 02 del registro civil benito juarez","San Ancelmo 601, Col. Santa Mónica, segundo sector, Benito Juárez","31.73081991400045","-106.49744971699971","01 (81) 82-82-86-53"
"nuevo leon","Oficialia registro civil de García","Ayala 128-A, entre Treviño e Hidalgo, García","25.81215994000047","-100.59440005999966","01 (81) 82-83-09-85"
"nuevo leon","Oficialia del registro civil de San Pedro","Vasconcelos 1561-B, Col. Mira Sierra, San Pedro Garza García","25.81215994000047","-100.59440005999966","83-38-98-67"
