"entidad","nombre_registro","direccion","latitud","longitud","contacto"
"puebla","Juzgado 4 del registro civil puebla","Oriente No. 1007, Centro Histórico, Ciudad de Puebla, Puebla","42.83804595200047","-2.692798254999559","222 235.2745"
"puebla","Juzgado 3 del registro civil del estado de puebla","Avenida Reforma No. 710, Centro Histórico, Ciudad de Puebla, Puebla.","19.046590145000437","-98.20078031899965","222 237.5727"
"puebla","Juzgado 2 del registro civil de Puebla","Oriente No. 2003, Centro Histórico, Ciudad de Puebla, Puebla.","38.98837532700048","-1.8606494059995953","(222) 235.1165"
"puebla","Registro civil de Zapotitlán Salinas","Allende No. 6, Centro, Zapotitlán, Tehuacán","18.454620211000474","-97.41061003999965","(237) 383.6882"
"puebla","Registro civil de Magdalena Cuayucatepec","Avenida Independencia No. 36","","","(238) 371 0076"
"puebla","Registro civil de Altepexi","5 de Febrero S/N, Centro, Altepexi, Tehuacan, Puebla","17.976766919000454","-92.94717195699968","(236) 381.1162"
"puebla","Registro civil de Cañada de Morelos","Parque Hidalgo S/N, Centro, Cañada de Morelos, Tehuacan, Puebla","","","(249) 487.6016"
"puebla","Registro civil de Mazatianquixco","Avenida Principal S/N, Mazatianquixco, Tehuacan, Puebla","18.394350563000444","-66.05301107399964","(236) 488.7600"
"puebla","Registro civil de Huejotzingo","Plaza Principal S/N, Huejotzingo, San Martín Texmelucan, Puebla","","","(227) 276 2112"
"puebla","Registro civil de Domingo Arenas","Camino Real de Atexcac No. 2, Domingo Arenas, San Martín Texmelucan, Puebla","19.285160321000433","-98.43336005599969","(227) 276 0399"
"puebla","Registro civil de Chiautzingo","Constitución No. 5, Centro, Chiautzingo, Puebla","19.206170037000447","-98.47892028399968","(248) 482 6150"
"puebla","Registro civil de Trinidad Tepango","Reforma No. 1, Trinidad Tepango, Puebla","17.858277607000446","-93.15005627299968","(244) 445.7744"
"puebla","Registro civil de Axocopan","Av.Reforma No. 1, Axocopan, Puebla","17.858277607000446","-93.15005627299968","(244) 103.4070"
"puebla","Registro civil de Atlixco","Blvd. Niños Héroes No. 805 Plaza Atlixco Local 43, Atlixco, Puebla","18.909750289000442","-98.43696024499968","(244) 443 8237"
"puebla","Registro civil 5 de San Pedro Cholula","Revolución No. 4, San Matías Cocoyotla, San Pedro Cholula, Puebla","19.077660343000446","-98.3028700109997","(222) 247 0687"
"puebla","Registro civil 6 de San Pedro Cholula","Iglesias No. 1, San Diego Cuachayotla, San Pedro Cholula, Puebla","19.077660343000446","-98.3028700109997","(222) 247 6554"
"puebla","Registro civil 14 de San Pedro Cholula","Cruz de Piedra S/N, San Sebastián Tepalcatepec, San Pedro Cholula, Puebla","","","(222) 221 5169"
"puebla","Registro civil de Atempan","Palacio Municipal S/N, Centro, Atempan, Puebla","","","(231) 311.0278"
"puebla","Registro civil de Chignautla","Palacio Municipal S/N, Centro, Chignautla, Puebla","","","(231) 313.1659"
