"entidad","nombre_registro","direccion","latitud","longitud","contacto"
"queretaro","Oficialia 01 del registro civil de Querétaro","Madero 81, zona centro","25.76566346800047","-103.27159013799968","214-16-44 y 212-55-00 (Ext. 4036 y 4035)"
"queretaro","Oficialia 02 del registro civil Querétaro","Calzada de Guadalupe Victoria 102","24.434859867000455","-104.11713969699969","210 10 84"
"queretaro","Oficialia 03 del registro civil en Querétaro","Avenida del Río N° 1, Hércules","25.99642178600044","-98.08551551499966","223 52 24"
"queretaro","Oficialia 04 del registro civil de Querétaro","A. Pozo N° 1, Zona Centro","6.169339928000454","-75.58693996099964","291 00 19, 291-10-87 Y 291-10-82"
"queretaro","Oficialia 05 del registro civil de Querétaro","Sector Lomas de Casa Blanca, Calle 21 N° 1000","19.34694531000042","-99.1928238109997","222 15 10 Y 222 09 48"
"queretaro","Oficialia 06 del registro civil de Querétaro","Calzada de Guadalupe Victoria 102","24.434859867000455","-104.11713969699969","218 62 76, 218 62 16 y 218 62 89"
"queretaro","Oficialia 07 del registro civil de Querétaro","Sector Reforma Agraria (CCQ)","17.85709379700046","-93.15131920499965","238 77 00 (Ext. 6119)"
"queretaro","Oficialia 08 del registro civil de Querétaro","Avenida Tlaloc N° 101, Desarrollo San Pablo","20.624840184000448","-100.4101901949997","217 39 08 y 210 11 44"
"queretaro","Oficialia 09 del registro civil de Querétaro","I.S.S.S.T.E.,  Av. Tecnológico (sólo nacimiento y defunciones)","","","256 01 00 (Ext. 50359)"
"queretaro","Oficialia 10 del registro civil de Querétaro","I.M.S.S., 5 de febrero y Zaragoza (sólo nacimiento y defunciones)","","","211 23 00"
"queretaro","Oficialia 11 del registro civil de Querétaro","Vega y Monroy 1000 (sólo nacimiento y defunciones)","","","291 92 00 (Ext. 2035)"
"queretaro","Oficialia 12 del registro civil de Querétaro","Hospital San José, Constituyentes 302, El Jacal (sólo nacimiento y defunciones)","","","211 00 80 (Ext. 2351)"
"queretaro","Oficialia del registro civil san juan del rio","27 de Septiembre 31, Interior A Col. Centro.","-33.436920311999586","-70.65313038499966","(427) 272 3701, 1295116 y 220 1602"
"queretaro","Oficialia del registro civil corregidora","Camino al Cerrito (S/N)","","","(442) 209 6000 (Ext. 6050 y 6051)"
"queretaro","Oficialia del registro civil de Corregidora","F. Madero, Manzana 33 Lote 20, Esq. P. Lazcurain, Santa Bárbara","-11.955539860999579","-77.09931982399968","(442) 2251181 y 220 0603"
"queretaro","Oficialia del registro civil de Corregidora","Domicilio Conocido s/n, Joaquín Herrera","","","(442) 102 4178"
"queretaro","Oficialia del registro civil de Corregidora","Domicilio Conocido (S/N), Los Olivera","","","(442) 135 0570"
"queretaro","Oficialia del registro civil de El Marques","Venustiano Carranza 2, La Cañada","20.146650229000443","-102.75639665999967","(442) 238 8400"
"queretaro","Oficialia del registro civil de El Marques","Delegación Municipal, Chichimequillas","","","(442) 246 6240"
"queretaro","Oficialia del registro civil de El Marques","Delegación Municipal, Lázaro Cárdenas","","","(442) 221 5613"
"queretaro","Oficialia del registro civil de El Marques","La Griega, El Marques Qro.","20.710893213000475","-100.30351219499966","(442) 198 9105"
"queretaro","Oficialia del registro civil de Cadereyta de Montes","Juárez 10, Zona Centro","31.597159689000478","-106.45839460099967","(441) 276 0180"
"queretaro","Oficialia del registro civil de Pedro Escobedo","Reforma N°1","17.85709379700046","-93.15131920499965","(448) 275 0006"
"queretaro","Oficialia del registro civil de Tequisquiapan","Palmas 5, Col. Los Sabinos","20.780500022000467","-102.91793976699967","(414) 273-2327"
