"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"QUINTANA ROO","REGISTRO CIVIL DIRECCIÓN GENERAL","Calle de 5 de mayo n° 19 con Carmen Ochoa de Merino, C.P. 77000, Col. Centro, Chetumal, Q. R.","CALLE DE 5 DE MAYO N° 19 CON CARMEN OCHOA DE MERINO, CP 77000, COLONIA CENTRO, CHETUMAL, Q R","0","0","01 983 832 44 55"
"QUINTANA ROO","REGISTRO CIVIL DE BENITO JUÁREZ","Calle Margaritas n° 31, súper manzana 22, Col. Centro, Cancún, Q. R.","CALLE MARGARITAS N° 31, SÚPER MANZANA 22, COLONIA CENTRO, CANCÚN, Q R","0","0","01 998 88 4 86 02|"
"QUINTANA ROO","REGISTRO CIVIL COZUMEL","Palacio Municipal, P.A., Av. Gonzalo Guerrero con Rafael Melgar s/n, Col Gonzalo Guerrero C.P. 77600, Cozumel, Q. R.","PALACIO MUNICIPAL, PA, AVENIDA GONZALO GUERRERO CON RAFAEL MELGAR S/N, COL GONZALO GUERRERO CP 77600, COZUMEL, Q R","0","0","01 987 87 2 22 95"
"QUINTANA ROO","REGISTRO CIVIL DE FELIPE CARRILLO PUERTO OFICIALÍA 01","Calle 67 s/n, Col. Centro, C.P. 77200, Felipe Carrillo Puerto, Q. R.","CALLE 67 S/N, COLONIA CENTRO, CP 77200, FELIPE CARRILLO PUERTO, Q R","0","0","01 983 834 04 49"
"QUINTANA ROO","REGISTRO CIVIL DE FELIPE CARRILLO PUERTO OFICIALÍA 02","Calle 26 s/n Oficinas del Registro Civil, en la Alcaldía, Col. Centro C.P. 77120, Felipe Carrillo Puerto, Q. R.","CALLE 26 S/N OFICINAS DEL REGISTRO CIVIL, EN LA ALCALDÍA, COLONIA CENTRO CP 77120, FELIPE CARRILLO PUERTO, Q R","0","0","01 983 208 91 22"
"QUINTANA ROO","REGISTRO CIVIL DE ISLA MUJERES","Hidalgo con Morelos s/n, Col. Centro, C.P. 77400, Isla Mujeres, Q. R.","HIDALGO CON MORELOS S/N, COLONIA CENTRO, CP 77400, ISLA MUJERES, Q R","0","0","01 998 877 00 98, 877 00 82 ext. 55"
"QUINTANA ROO","REGISTRO CIVIL DE ISLA MUJERES","Km. 15 Carretera Puerto Juárez s/n, C.P. 77400, Isla Mujeres, Q. R.","KM 15 CARRETERA PUERTO JUÁREZ S/N, CP 77400, ISLA MUJERES, Q R","0","0","01 998 888 08 63"
"QUINTANA ROO","REGISTRO CIVIL DE LÁZARO CÁRDENAS","Adolfo López Mateos s/n, Col. Centro, C.P. 77300, Lázaro Cárdenas, Q. R.","ADOLFO LÓPEZ MATEOS S/N, COLONIA CENTRO, CP 77300, LÁZARO CÁRDENAS, Q R","36.77615976500044","-3.7321202179995794","01 984 875 00 30 ext. 110"
"QUINTANA ROO","REGISTRO CIVIL DE OTHÓN P. BLANCO","Palacio Municipal, P.B., Av. Alvaro Obregón 321, C.P. 77000, Col. Centro, Chetumal, Q. R.","PALACIO MUNICIPAL, PB, AVENIDA ALVARO OBREGÓN 321, CP 77000, COLONIA CENTRO, CHETUMAL, Q R","0","0","01 983 835 15 01 ext. 1125"
"QUINTANA ROO","REGISTRO CIVIL DE OTHÓN P. BLANCO","Plutarco Elías Calles No. 278, C.P. 77000, Col. Centro, Othón P. Blanco, Q. R.","PLUTARCO ELÍAS CALLES NO 278, CP 77000, COLONIA CENTRO, OTHÓN P BLANCO, Q R","59.919665067000494","10.685029570000438","01 983 835 15 01 ext. 1125"
"QUINTANA ROO","REGISTRO CIVIL DE SOLIDARIDAD","Av. Juárez esq. n° 45 Plaza Papagayos, Col Centro C.P. 77710 Soliradidad Q. R.","AVENIDA JUÁREZ ESQUINA N° 45 PLAZA PAPAGAYOS, COL CENTRO CP 77710 SOLIRADIDAD Q R","0","0","01 984 80 3 18 41"
"QUINTANA ROO","REGISTRO CIVIL DE SOLIDARIDAD (TULUM)","Av. Tulum Oriente x Alfa sur s/n, Col. Centro, C.P. 77780, Solidaridad, Q.R.","AVENIDA TULUM ORIENTE X ALFA SUR S/N, COLONIA CENTRO, CP 77780, SOLIDARIDAD, QR","20.87045004600043","-88.63026015599968","01 984 871 29 83"
"QUINTANA ROO","REGISTRO CIVIL JOSÉ MARÍA MORELOS","Calle Chilam Balam s/n, P.B., C.P. 77870, José María Morelos, Q. R.","CALLE CHILAM BALAM S/N, PB, CP 77870, JOSÉ MARÍA MORELOS, Q R","19.79961928700044","-88.75180027299967","01 997 978 01 20"
