"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"SAN LUIS POTOSI","REGISTRO CIVIL DIRECCIÓN GENERAL","Bolívar No. 965, Zona Centro, C.P. 78000, San Luis Potosí, S.L.P.","BOLÍVAR NO 965, ZONA CENTRO, CP 78000, SAN LUIS POTOSÍ, SLP","22.152915160000475","-100.9769789989997","01 444 812 80 50 / 812 82 02/ 812 82 34 ext.113"
"SAN LUIS POTOSI","REGISTRO CIVIL DE AQUISMON 01","M. J. Othon s/n Aquismon, S.L.P.","M J OTHON S/N AQUISMON, SLP","0","0","01 482 368 00 22 y 368 03 23 ext. 120"
"SAN LUIS POTOSI","REGISTRO CIVIL DE CD. DEL MAÍZ 01","Jardin Hidalgo Sur s/n Cd. Del Maíz, S.L.P.","JARDIN HIDALGO SUR S/N CD DEL MAÍZ, SLP","0","0","01 482 378 01 02"
"SAN LUIS POTOSI","REGISTRO CIVIL DE CD. VALLES 01","Rotarios n° 530, Col. Rotarios Cd. Valles, S.L.P.","ROTARIOS N° 530, COLONIA ROTARIOS CD VALLES, SLP","22.009410154000477","-99.0052001579997","01 481 382 0117"
"SAN LUIS POTOSI","REGISTRO CIVIL DE CEDRAL 01","Victoria n° 8, Cedral, S.LP.","VICTORIA N° 8, CEDRAL, SLP","23.81992994300043","-100.72379033199968","01 488 887 02 22/20"
"SAN LUIS POTOSI","REGISTRO CIVIL DE CERRITOS 01","Jardín Hidalgo n° 8, Cerritos, S.L.P.","JARDÍN HIDALGO N° 8, CERRITOS, SLP","22.431460053000478","-100.28810021099969","01 486 863 21 34"
"SAN LUIS POTOSI","REGISTRO CIVIL COXCATLAN 01","Plaza Principal s/n, Coxcatlan, S.L.P.","PLAZA PRINCIPAL S/N, COXCATLAN, SLP","0","0","01 489 378 4040 / 378 4041"
"SAN LUIS POTOSI","REGISTRO CIVIL DE CHARCAS 01","Jardin Hidalgo s/n Zona Centro Charcas, S.L.P.","JARDIN HIDALGO S/N ZONA CENTRO CHARCAS, SLP","0","0","01 486 852 00 05"
"SAN LUIS POTOSI","REGISTRO CIVIL DE EL NARANJO 01","Av. Jorge Pascual No. 300, Zona Centro, C.P. 79310, El Naranjo, S.L.P.","AVENIDA JORGE PASCUAL NO 300, ZONA CENTRO, CP 79310, EL NARANJO, SLP","-19.013309895999612","-57.61909478099966","01 482 366 03 41"
"SAN LUIS POTOSI","REGISTRO CIVIL DE HUICHIUAYAN 02","Domicilio. Conocido, Huichiuayan, S.L.P.","DOMICILIO CONOCIDO, HUICHIUAYAN, SLP","0","0","01 482 36 14 283"
