"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"SONORA","OFICIALÍA 01 DEL REGISTRO CIVIL HERMOSILLO","Huasteca 18-a, col. modelo, Hermosillo, Sonora","HUASTECA 18-A, COLONIA MODELO, HERMOSILLO, SONORA","29.07925993900045","-110.94870991899967","215 57 84"
"SONORA","OFICIALÍA 02 DEL REGISTRO CIVIL HERMOSILLO","Aguascalientes 351-a, entre Loaiza y Olivares, Hermosillo, Sonora","AGUASCALIENTES 351-A, ENTRE LOAIZA Y OLIVARES, HERMOSILLO, SONORA","29.10205999700048","-110.98061966799969","216 88 01"
"SONORA","OFICIALÍA 03 DEL REGISTRO CIVIL HERMOSILLO","Perimetral Nte. 110, Esquina con solidaridad, edificio CUM, Hermosillo, Sonora","PERIMETRAL NTE 110, ESQUINA CON SOLIDARIDAD, EDIFICIO CUM, HERMOSILLO, SONORA","-17.5936199399996","-54.7453699819996","216 92 60 y 216"
"SONORA","OFICIALÍA 01 DEL REGISTRO CIVIL OBREGON","Edificio del gobierno del Estado, Sinaloa y Montero Morales, Cd. Obregón, Sonora","EDIFICIO DEL GOBIERNO DEL ESTADO, SINALOA Y MONTERO MORALES, CD OBREGÓN, SONORA","0","0","414 00 89"
"SONORA","OFICIALÍA 01 DEL REGISTRO CIVIL OBREGON","No reelección 107 Pte., Cd. Obregón, Sonora","NO REELECCIÓN 107 PTE, CD OBREGÓN, SONORA","27.492849927000464","-109.93537996099968","414 77 22"
"SONORA","OFICIALÍA DEL REGISTRO CIVIL CANANEA","Avenida obregón y calle cuarta este 5, Cananea, Sonora","AVENIDA OBREGÓN Y CALLE CUARTA ESTE 5, CANANEA, SONORA","37.98329399642188","-120.38218911693349","332 59 32"
"SONORA","OFICIALÍA DEL REGISTRO CIVIL VILLA DE SERIS","Rosales 9 entre blvd. Vildósola y Jesús García, col. villa de seris, Hermosillo, Sonora","ROSALES 9 ENTRE BLVD VILDÓSOLA Y JESÚS GARCÍA, COLONIA VILLA DE SERIS, HERMOSILLO, SONORA","29.07925993900045","-110.94870991899967","250 47 05"
"SONORA","OFICIALÍA DEL REGISTRO CIVIL AGUA PRIETA","Calle 7, Ave. 8, local 2, Agua Prieta, Sonora","CALLE 7, AVE 8, LOCAL 2, AGUA PRIETA, SONORA","37.98329399642188","-120.38218911693349","338 13 89"
"SONORA","OFICIALÍA DEL REGISTRO CIVIL ALAMOS","Palacio municipal, ave. Juárez (s/n), Alamos, Sonora","PALACIO MUNICIPAL, AVE JUÁREZ (S/N), ALAMOS, SONORA","0","0","428 10 32"
"SONORA","OFICIALÍA DEL REGISTRO CIVIL BACOBAMPO","Calle chihuahua s/n, Depto. 2, Bacobampo, Sonora","CALLE CHIHUAHUA S/N, DEPTO 2, BACOBAMPO, SONORA","26.98409993800044","-109.65320977499971","427 09 85"
