"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"YUCATAN","REGISTRO CIVIL DE MÉRIDA","Calle 65 n° 520, Col. Centro, C.P. 97000, Mérida, Yucatán","CALLE 65 N° 520, COLONIA CENTRO, CP 97000, MÉRIDA, YUCATÁN","20.965910203000476","-89.62703004299965","01 928 62 73, 019 99"
"YUCATAN","REGISTRO CIVIL DE ACANCEH","Planta Alta Palacio Municipal, Col. Centro lPAL, C.P. 97380, Acanceh, Yucatán","PLANTA ALTA PALACIO MUNICIPAL, COLONIA CENTRO LPAL, CP 97380, ACANCEH, YUCATÁN","20.811515373000475","-89.45167687399965","01 988 912 81 38"
"YUCATAN","REGISTRO CIVIL DE HUNUCMA","Calle 31 s/n x 28 y 30, Col. Centro, C.P. 97350, Hunucma, Yucatán","CALLE 31 S/N X 28 Y 30, COLONIA CENTRO, CP 97350, HUNUCMA, YUCATÁN","21.017725320000466","-89.87864750699964","01 988 931 03 01"
"YUCATAN","REGISTRO CIVIL DE MANÍ","Calle 25 s/n x 26 y 28, Col. Centro, C.P. 97850, Maní, Yucatán","CALLE 25 S/N X 26 Y 28, COLONIA CENTRO, CP 97850, MANÍ, YUCATÁN","20.385335004000467","-89.39074598299965","01 997 978 40 01"
"YUCATAN","REGISTRO CIVIL DE MAXCANU","Palacio Municipal, Col. Centro, C.P. 97352, Maxcanu, Yucatán","PALACIO MUNICIPAL, COLONIA CENTRO, CP 97352, MAXCANU, YUCATÁN","20.585090328000433","-90.00376021899967","01 997 971 21 50"
"YUCATAN","REGISTRO CIVIL DE MUNA","Calle 25 s/n x 24 y 26, Col. Centro, C.P. 97840, Mod. Real 1 Muna, Yucatán","CALLE 25 S/N X 24 Y 26, COLONIA CENTRO, CP 97840, MOD REAL 1 MUNA, YUCATÁN","20.488730057000453","-89.71357613099968","01 997 971 05 88"
"YUCATAN","REGISTRO CIVIL DE OXKUTZCAB","Calle 53 s/n x 48 y 50, Col. Centro, C.P. 97880, Oxkutzcab, Yucatán","CALLE 53 S/N X 48 Y 50, COLONIA CENTRO, CP 97880, OXKUTZCAB, YUCATÁN","20.309720017000473","-89.4082598339997","01 997 975 00 29"
"YUCATAN","REGISTRO CIVIL DE PANABA","Calle 21 s/n x 12 y 16, Col. Centro, C.P. 97610, Panaba, Yucatán","CALLE 21 S/N X 12 Y 16, COLONIA CENTRO, CP 97610, PANABA, YUCATÁN","21.29533031900047","-88.27064524999969","01 988 864 00 94"
"YUCATAN","REGISTRO CIVIL DE PETO","Calle 32 s/n x 31 y 33, Col. Centro, C.P. 97930, Peto, Yucatán","CALLE 32 S/N X 31 Y 33, COLONIA CENTRO, CP 97930, PETO, YUCATÁN","20.123974493000446","-88.92149013599965","81701310580001"
"YUCATAN","REGISTRO CIVIL DE RIO LAGARTOS","Calle 21 s/n 12 y 16, Col. Centro, C.P. 97720, Lagartos, Yucatán","CALLE 21 S/N 12 Y 16, COLONIA CENTRO, CP 97720, LAGARTOS, YUCATÁN","21.596406165000474","-88.15648512699966","01 986 862 00 02"
"YUCATAN","REGISTRO CIVIL DE SAN FELIPE","Calle 10 s/n x 9 y 11, Col. Centro, C.P. 97616, San Felipe, Yucatán","CALLE 10 S/N X 9 Y 11, COLONIA CENTRO, CP 97616, SAN FELIPE, YUCATÁN","21.565769369000463","-88.23241507899968","01 985 858 54 05"
"YUCATAN","REGISTRO CIVIL DE TEKOM","Calle 11 s/n x 8, Col, Centro, C.P. 97768, Modreal Tekom, Yucatán","CALLE 11 S/N X 8, COL, CENTRO, CP 97768, MODREAL TEKOM, YUCATÁN","20.602772781000454","-88.26483034999967","01 985 858 54 05"
"YUCATAN","REGISTRO CIVIL DE TEMOZON","Calle 10 s/n x 10ª y 11, Col. Centro, C.P. 97740, Temozon, Yucatán","CALLE 10 S/N X 10ª Y 11, COLONIA CENTRO, CP 97740, TEMOZON, YUCATÁN","20.803640086000428","-88.20046256999967","01 985 855 00 58"
"YUCATAN","REGISTRO CIVIL DE TICUL","Calle 19 n° 257D X 38 y 40, Col. San Enrique, C.P. 97860, Ticul, Yucatán","CALLE 19 N° 257D X 38 Y 40, COLONIA SAN ENRIQUE, CP 97860, TICUL, YUCATÁN","20.399625108000464","-89.53949764299966","01 985 855 00 59"
"YUCATAN","REGISTRO CIVIL DE TIXKOKOB","Calle 20 x 23 y 25, Col. Centro, C.P. 97785, Tixkokob, Yucatán","CALLE 20 X 23 Y 25, COLONIA CENTRO, CP 97785, TIXKOKOB, YUCATÁN","20.597830211000428","-88.16443260099965","01 985 858 25 06"
"YUCATAN","REGISTRO CIVIL DE TIZIMÍN","Calle 51 s/n x 50 y 52, Col. Centro, C.P. 97781, Tizimín, Yucatán","CALLE 51 S/N X 50 Y 52, COLONIA CENTRO, CP 97781, TIZIMÍN, YUCATÁN","21.14181016800046","-88.15020037299968","01 985 858 25 05"
"YUCATAN","REGISTRO CIVIL DE TZUCACAB","Calle 30 s/n x 33 Col. Centro, C.P. 97960, Tzucacab, Yucatán","CALLE 30 S/N X 33 COLONIA CENTRO, CP 97960, TZUCACAB, YUCATÁN","20.073874402000456","-89.0474753479997","01 997 974 40 09"
"YUCATAN","REGISTRO CIVIL DE VALLADOLID","Carret. Valladolid Tizimín tabla KM 3.5, Col. Tabla, C.P. 97780, Valladolid, Yucatán","CARRET VALLADOLID TIZIMÍN TABLA KM 35, COLONIA TABLA, CP 97780, VALLADOLID, YUCATÁN","20.688475035000465","-88.20379307799965","01 985 858 15 05"
"YUCATAN","SECRETARIA DE EDUCACIÓN DE YUCATÁN","Zanna s/n, Col. Fracc. Yucalpeten, C.P. 97248, Yucatán","ZANNA S/N, COLONIA FRACC YUCALPETEN, CP 97248, YUCATÁN","25.88054985700046","-103.33087997499968","945 50 92"
"YUCATAN","SEDESOL, MODALIDAD IDENTIDAD JURÍDICA DEL ESTADO","Calle 33 n° 161 Depto. 1 Plaza Buenavista, Col. Buenavista, C.P. 97120, Mérida, Yucatán","CALLE 33 N° 161 DEPTO 1 PLAZA BUENAVISTA, COLONIA BUENAVISTA, CP 97120, MÉRIDA, YUCATÁN","21.011560119000478","-89.61673533199968","01 999 575 32 63"
"YUCATAN","INEGI MÉRIDA","Calle 60 n° 378 X 39 y 41, Col. Centro, C.P. 97000, Mérida, Yucatán","CALLE 60 N° 378 X 39 Y 41, COLONIA CENTRO, CP 97000, MÉRIDA, YUCATÁN","20.965910203000476","-89.62703004299965","01 999 9-42-17-40 Ext 8748"
