"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"ZACATECAS","REGISTRO CIVIL DE ZACATECAS","Constitución n° 238, Col. Lomas de la Soledad, C.P. 98000, Zacatecas, Zacatecas","CONSTITUCIÓN N° 238, COLONIA LOMAS DE LA SOLEDAD, CP 98000, ZACATECAS, ZACATECAS","22.774710237000477","-102.5735372419997","01 492 925 37 85 14 492 922 56 20"
"ZACATECAS","REGISTRO CIVIL DE APOZOL","Plaza de la Constitución n° 1, Col. Centro, C.P. 99940, Apozol, Zacatecas","PLAZA DE LA CONSTITUCIÓN N° 1, COLONIA CENTRO, CP 99940, APOZOL, ZACATECAS","21.469605233000436","-103.08904292299968","01 467 952 04 36"
"ZACATECAS","REGISTRO CIVIL DE ATOLINGA","Jardín Principal s/n Col. Centro, C.P. 99730, Atolinga, Zacatecas","JARDÍN PRINCIPAL S/N COLONIA CENTRO, CP 99730, ATOLINGA, ZACATECAS","21.80683034800046","-103.46525541799969","01 437 954 14 00 y 01954 15 80"
"ZACATECAS","REGISTRO CIVIL DE CALERA DE VÍCTOR ROSALES","Tránsito n° 103 Sur, C.P. 98500, Calera, Zacatecas","TRÁNSITO N° 103 SUR, CP 98500, CALERA, ZACATECAS","22.95084037300046","-102.70522489399968","01 478 985 03 30"
"ZACATECAS","REGISTRO CIVIL DE CAÑITAS DE FELIPE PESCADOR","Sur 3 n° 12 Col. Barrio Viejo, C.P. 98480, Cañitas, Zacatecas","SUR 3 N° 12 COLONIA BARRIO VIEJO, CP 98480, CAÑITAS, ZACATECAS","23.602985014000467","-102.72656088799965","01 458 937 00 83"
"ZACATECAS","REGISTRO CIVIL DE CONCEPCIÓN DEL ORO","Allende n° 21 Col. Centro, C.P. 98480, Concepción del Oro, Zacatecas","ALLENDE N° 21 COLONIA CENTRO, CP 98480, CONCEPCIÓN DEL ORO, ZACATECAS","23.602985014000467","-102.72656088799965","01 842 424 00 17"
"ZACATECAS","REGISTRO CIVIL DE CUAUHTÉMOC","Plaza Principal s/n Col. Centro, C.P. 98680, Cuauhtémoc, Zacatecas","PLAZA PRINCIPAL S/N COLONIA CENTRO, CP 98680, CUAUHTÉMOC, ZACATECAS","22.40824648700044","-102.3484946909997","01 458 941 00 30 y 01 458 941 00 31 ext. 110"
"ZACATECAS","REGISTRO CIVIL DE CHALCHIHUITES","Iturbide n° 200, Col. Chalchihuites, C.P. 99260, Chalchihuites, Zacatecas","ITURBIDE N° 200, COLONIA CHALCHIHUITES, CP 99260, CHALCHIHUITES, ZACATECAS","23.477430268000433","-103.88652247199968","01 457 938 03 04"
"ZACATECAS","REGISTRO CIVIL DE FRESNILLO","Juan de Tolosa n° 100 Col. Centro, C.P. 99000, Fresnillo, Zacatecas","JUAN DE TOLOSA N° 100 COLONIA CENTRO, CP 99000, FRESNILLO, ZACATECAS","23.18686003400046","-102.88139995599965","01 493 932 09 69"
"ZACATECAS","REGISTRO CIVIL DE FRESNILLO OFICIALÍA 05","Jerez n° 32 Col. Centro, C.P. 99000, Fresnillo, Zacatecas","JEREZ N° 32 COLONIA CENTRO, CP 99000, FRESNILLO, ZACATECAS","23.18686003400046","-102.88139995599965","01 493 878 42 09"
"ZACATECAS","REGISTRO CIVIL DE GENARO CODINA","Plaza de Castro n° 222, Col. Centro, C.P. 98660, Genaro Codina, Zacatecas","PLAZA DE CASTRO N° 222, COLONIA CENTRO, CP 98660, GENARO CODINA, ZACATECAS","22.485320043000456","-102.45594364799967","01 458 948 30 55"
"ZACATECAS","REGISTRO CIVIL DE GENERAL ENRIQUE ESTRADA","Jardín Principal s/n, Col. Centro, C.P. 98350, General Enrique Estrada, Zacatecas","JARDÍN PRINCIPAL S/N, COLONIA CENTRO, CP 98350, GENERAL ENRIQUE ESTRADA, ZACATECAS","23.997138407000477","-103.0215999509997","01 478 985 15 63"
