"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"BAJA CALIFORNIA","REGISTRO CIVIL DE MEXICALI, DIRECCIÓN GENERAL","Edificio del Poder Ejecutivo Primer Piso, Centro Cívico y Comercial, C.P. 21000, Mexicali, B.C.","EDIFICIO DEL PODER EJECUTIVO PRIMER PISO, CENTRO CÍVICO Y COMERCIAL, CP 21000, MEXICALI, BC","","","01 686 558 10 00 ext. 1700"
"BAJA CALIFORNIA","REGISTRO CIVIL DE ENSENADA OFICIALIA 01","Calle Reforma n° 1122, Col. Carlos Pacheco, C.P. 22890, Ensenada B.C.","CALLE REFORMA N° 1122, COLONIA CARLOS PACHECO, CP 22890, ENSENADA BC","","","01 646 152 10 88"
"BAJA CALIFORNIA","REGISTRO CIVIL DE LA MESA OFICIALÍA 02","Av. Los Charros y Allende s/n, Fraccionamiento Moreno, C.P. 22450, Tijuana, B.C.","AVENIDA LOS CHARROS Y ALLENDE S/N, FRACCIONAMIENTO MORENO, CP 22450, TIJUANA, BC","","","01 664 622 44 26"
"BAJA CALIFORNIA","REGISTRO CIVIL DE MEXICALI OFICIALÍA 01","Independencia n° 998, Centro Cívico, C.P.21000, Mexicali, B.C.","INDEPENDENCIA N° 998, CENTRO CÍVICO, CP21000, MEXICALI, BC","","","01 686 558 16 00 ext. 1740"
"BAJA CALIFORNIA","REGISTRO CIVIL DE MEXICALI OFICIALÍA 03","Calle 4ª. y Carretera a San Luis s/n, Col. González Ortega, C.P. 21397, Mexicali, B.C.","CALLE 4ª Y CARRETERA A SAN LUIS S/N, COLONIA GONZÁLEZ ORTEGA, CP 21397, MEXICALI, BC","","","01 686 561 94 25"
"BAJA CALIFORNIA","REGISTRO CIVIL DE MEXICALI OFICIALÍA 05","Av. Guerrero y Calle Novena, Mexicali, B.C.","AVENIDA GUERRERO Y CALLE NOVENA, MEXICALI, BC","","","01 658 516 40 06"
"BAJA CALIFORNIA","REGISTRO CIVIL DE MEXICALI OFICIALÍA 06","Av. Mar Blanco n° 773, Col. San Felipe, C.P. 21850, Mexicali, B.C.","AVENIDA MAR BLANCO N° 773, COLONIA SAN FELIPE, CP 21850, MEXICALI, BC","","","01 686 577 16 50"
"BAJA CALIFORNIA","REGISTRO CIVIL DE PLAYAS DE TIJUANA OFICIALÍA 04","Paseo Pedregal y Av. Del Agua, Sección Jardines, Fraccionamiento Playas de Tijuana, C.P. 22000, Tijuana, B.C.","PASEO PEDREGAL Y AVENIDA DEL AGUA, SECCIÓN JARDINES, FRACCIONAMIENTO PLAYAS DE TIJUANA, CP 22000, TIJUANA, BC","","","01 664 631 08 34"
"BAJA CALIFORNIA","REGISTRO CIVIL DE VICENTE GUERRERO OFICIALÍA 02","Calle Rosario Meza n° 107, Col. Vicente Guerrero, C.P. 22920, Ensenada, B.C.","CALLE ROSARIO MEZA N° 107, COLONIA VICENTE GUERRERO, CP 22920, ENSENADA, BC","","","01 616 166 21 41"
"BAJA CALIFORNIA","REGISTRO CIVIL DE ZONA CENTRO OFICIALÍA 07","Av. Paseo del Río n° 16, 3ra. Etapa del Río Tijuana, C.P. 22320, Tijuana, B.C.","AVENIDA PASEO DEL RÍO N° 16, 3RA ETAPA DEL RÍO TIJUANA, CP 22320, TIJUANA, BC","","","01 664 627 00 46"
"BAJA CALIFORNIA","REGISTRO CIVIL DE TIJUANA OFICIALÍA 01","Av. Independencia esq. Paseo Centenario n° 1350, Zona Urbana Río P. Municipal C.P. 22320 Tijuana, B.C.","AVENIDA INDEPENDENCIA ESQUINA PASEO CENTENARIO N° 1350, ZONA URBANA RÍO P MUNICIPAL CP 22320 TIJUANA, BC","","","01 664 973 70 82 y 70 83"
"BAJA CALIFORNIA","REGISTRO CIVIL DE TIJUANA OFICIALÍA 03","Av. Aranjuez s/n Fraccionamiento Villa Fontana, Tijuana, B.C.","AVENIDA ARANJUEZ S/N FRACCIONAMIENTO VILLA FONTANA, TIJUANA, BC","","","01 664 627 87 15"
"BAJA CALIFORNIA","REGISTRO CIVIL TIJUANA OFICIALÍA 04","Av. Miraflores n° 8351, esq. Cabo San Lucas, Col. San Antonio de los Buenos, C.P. 22180, Tijuana, B.C.","AVENIDA MIRAFLORES N° 8351, ESQUINA CABO SAN LUCAS, COLONIA SAN ANTONIO DE LOS BUENOS, CP 22180, TIJUANA, BC","","","01 664 635 61 61"
"BAJA CALIFORNIA","REGISTRO CIVIL DE TIJUANA OFICIALÍA 05","Av. Miraflores n° 8351, esq. Cabo San Lucas, Col. San Antonio de los Buenos, C.P. 22180, Tijuana, B.C.","AVENIDA MIRAFLORES N° 8351, ESQUINA CABO SAN LUCAS, COLONIA SAN ANTONIO DE LOS BUENOS, CP 22180, TIJUANA, BC","","","01 664 635 61 61"
"BAJA CALIFORNIA","REGISTRO CIVIL DE TIJUANA OFICIALÍA 06","Calzada Tecnológico s/n, Col. Altabrisa, C.P. 22414, Tijuana, B.C.","CALZADA TECNOLÓGICO S/N, COLONIA ALTABRISA, CP 22414, TIJUANA, BC","","","01 664 647 42 35"
"BAJA CALIFORNIA","REGISTRO CIVIL DE TIJUANA OFICIALÍA 07","Calle 5ª n° 7727, Zona Centro, C. P. 22000, Tijuana B. C.","CALLE 5ª N° 7727, ZONA CENTRO, C P 22000, TIJUANA B C","","","01 664 622 53 08"
"BAJA CALIFORNIA","REGISTRO CIVIL DE ENSENADA OFICIALÍA 01","Calle Reforma n° 1122, Col. Carlos Pacheco, C.P. 22890, Ensenada, B.C.","CALLE REFORMA N° 1122, COLONIA CARLOS PACHECO, CP 22890, ENSENADA, BC","","","01 646 152 10 88"
"BAJA CALIFORNIA","SISTEMA EDUCATIVO ESTATAL","Av. Vicente Guerrero n° 137, Bahia, C.P. 22880, Ensenada, B.C.","AVENIDA VICENTE GUERRERO N° 137, BAHIA, CP 22880, ENSENADA, BC","","","01 646 172 43 64"
"BAJA CALIFORNIA","SISTEMA EDUCATIVO ESTATAL","Industria n° 291, Col. Industrial, C.P. 21010, Mexicali, B.C.","INDUSTRIA N° 291, COLONIA INDUSTRIAL, CP 21010, MEXICALI, BC","","","01 686 559 86 00"
"BAJA CALIFORNIA","INEGI MEXICALI","Av. Pioneros n° 1005 2do. Piso, Palacio Federal, Col. Centro Cívico y Comercial, C.P. 21000, Mexicali, B.C.","AVENIDA PIONEROS N° 1005 2DO PISO, PALACIO FEDERAL, COLONIA CENTRO CÍVICO Y COMERCIAL, CP 21000, MEXICALI, BC","","","01 686 557 39 14, Ext. 7601 y 7610"
"BAJA CALIFORNIA","INSTITUTO NACIONAL DE MIGRACIÓN DELEGACIÓN REGIONAL BAJA CALIFORNIA","Puente Puerta México s/n,Col. Federal, Tijuana B.C.","PUENTE PUERTA MÉXICO S/N,COLONIA FEDERAL, TIJUANA BC","","","01 682 98 62 y 682 49 52"
