"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"CAMPECHE","DIRECCIÓN GENERAL DEL REGISTRO CIVIL DE CAMPECHE","Calle 10 n° 54 Local 8 Edif. Campeche Col. Centro, C.P. 24000, Campeche, Camp.","CALLE 10 N° 54 LOCAL 8 EDIF CAMPECHE COLONIA CENTRO, CP 24000, CAMPECHE, CAMP","","","01 981 8165 593"
"CAMPECHE","REGISTRO CIVIL DE CAMPECHE","Calle 63 entre 10 y 8 Edif. Campeche Col. Centro, C.P. 24000, Campeche, Camp.","CALLE 63 ENTRE 10 Y 8 EDIF CAMPECHE COLONIA CENTRO, CP 24000, CAMPECHE, CAMP","","","01 981 811 9200; ext. 1600"
"CAMPECHE","REGISTRO CIVIL DE CANDELARIA","Calle 18 s/n, Col. Centro, C.P. 24300, Candelaria, Camp.","CALLE 18 S/N, COLONIA CENTRO, CP 24300, CANDELARIA, CAMP","","","01 602 01"
"CAMPECHE","REGISTRO CIVIL DE CHAMPOTÓN","Calle 30 N° 12- 4 Col. Centro, C.P. 24400, Champotón, Camp.","CALLE 30 N° 12- 4 COLONIA CENTRO, CP 24400, CHAMPOTÓN, CAMP","","","01 982 828 0005"
"CAMPECHE","REGISTRO CIVIL DE CHAMPOTÓN","Calle 16 N° 49 Col. Centro, C.P. 24400, Champotón, Camp.","CALLE 16 N° 49 COLONIA CENTRO, CP 24400, CHAMPOTÓN, CAMP","","","01 982 823 1350"
"CAMPECHE","REGISTRO CIVIL DE CIUDAD DEL CARMEN","Calle 28 x 19 Col. Guanal, C.P. 24130, Cd. Del Carmen, Camp.","CALLE 28 X 19 COLONIA GUANAL, CP 24130, CD DEL CARMEN, CAMP","","","01 981 81 1 92 00, ext. 1930 y 1931"
"CAMPECHE","REGISTRO CIVIL DE ESCARCEGA","Calle Justo Sierra s/n, Col. Revolución, C.P. 24350, Escarcega, Camp.","CALLE JUSTO SIERRA S/N, COLONIA REVOLUCIÓN, CP 24350, ESCARCEGA, CAMP","","",""
"CAMPECHE","REGISTRO CIVIL DE ESCARCEGA","Calle 17 por 20 s/n, Col. Centro, C.P. 24350, Escarcega, Camp.","CALLE 17 POR 20 S/N, COLONIA CENTRO, CP 24350, ESCARCEGA, CAMP","","","01 982 813 1043"
"CAMPECHE","REGISTRO CIVIL DE HECELCHAKAN","Calle 14 por 17 s/n Col. Centro, C.P. 24810, Hecelchakan, Camp.","CALLE 14 POR 17 S/N COLONIA CENTRO, CP 24810, HECELCHAKAN, CAMP","","","01 996 104 4887"
"CAMPECHE","REGISTRO CIVIL DE HOPELCHEN","Calle 18 N° 91 Col. Centro, C.P. 24611, Hopelchen, Camp.","CALLE 18 N° 91 COLONIA CENTRO, CP 24611, HOPELCHEN, CAMP","","","01 996 434 4001"
"CAMPECHE","REGISTRO CIVIL DE HOPELCHEN","Calle 33 s/n Col. Centro, C.P. 24600, Hopelchen, Camp.","CALLE 33 S/N COLONIA CENTRO, CP 24600, HOPELCHEN, CAMP","","","01 996 822 0183"
"CAMPECHE","REGISTRO CIVIL DE HOPELCHEN","Calle Carranza s/n Col. Centro, C.P. 24620, Hopelchen, Camp.","CALLE CARRANZA S/N COLONIA CENTRO, CP 24620, HOPELCHEN, CAMP","","","01 996 431 5098"
"CAMPECHE","REGISTRO CIVIL DE PALIZADA","Calle Hidalgo N° 3 Col. Centro, C.P. 24203, Palizada, Camp.","CALLE HIDALGO N° 3 COLONIA CENTRO, CP 24203, PALIZADA, CAMP","","","01 913 365 0111"
"CAMPECHE","REGISTRO CIVIL DE TENABO","Calle 8 s/n Col. Centro, C.P. 24700, Tenabo, Camp.","CALLE 8 S/N COLONIA CENTRO, CP 24700, TENABO, CAMP","","","01 981 112 7305"
"CAMPECHE","MUNICIPIO DE ESCARCEGA","Calle 28 x 19 Col. Guanal, C.P. 24130, Cd. Del Carmen, Camp.","CALLE 28 X 19 COLONIA GUANAL, CP 24130, CD DEL CARMEN, CAMP","","","01 982 824 0970 ext.40659"
"CAMPECHE","SEDESOL, MODALIDAD IDENTIDAD JURÍDICA EN EL ESTADO","Av. 16 Septiembre s/n Palacio Federal 2º. Piso, Col. Centro, C.P. 24000, Campeche, Camp.","AVENIDA 16 SEPTIEMBRE S/N PALACIO FEDERAL 2º PISO, COLONIA CENTRO, CP 24000, CAMPECHE, CAMP","","","01 981 656 11 ext. 117"
"CAMPECHE","INSTITUTO NACIONAL DE MIGRACIÓN DELEGACIÓN REGIONAL CAMPECHE","31 n° 144, Col. Tacubaya, Cd. Del Carmen, Campeche.","31 N° 144, COLONIA TACUBAYA, CD DEL CARMEN, CAMPECHE","","","01 938 382 13 30 y 384 10 81"
"CAMPECHE","INSTITUTO NACIONAL DE MIGRACIÓN DELEGACIÓN REGIONAL CAMPECHE","Av. 16 de septiembre s/n, Palacio Federal, P.B., Campeche, Campeche.","AVENIDA 16 DE SEPTIEMBRE S/N, PALACIO FEDERAL, PB, CAMPECHE, CAMPECHE","","","01 981 816 28 68"
