"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"CHIAPAS","DIRECCIÓN GENERAL DEL REGISTRO CIVIL","2da. Sur Esq. Calle Central, Col. Centro, C.P. 29000, Tuxtla Gutiérrez, Chis.","2DA SUR ESQUINA CALLE CENTRAL, COLONIA CENTRO, CP 29000, TUXTLA GUTIÉRREZ, CHIS","","","01 961 614 85 80"
"CHIAPAS","REGISTRO CIVIL DE PALENQUE","Francisco Javier Mina s/n, Col. Centro, C.P. 29960, Palenque, Chis.","FRANCISCO JAVIER MINA S/N, COLONIA CENTRO, CP 29960, PALENQUE, CHIS","","","01 934 345 44 48"
"CHIAPAS","REGISTRO CIVIL DE TUXTLA GUTIÉRREZ","Centro Comercial Soriana, Col. Plaza Poliforum, C.P. 29000, Tuxtla Gutiérrez, Chis.","CENTRO COMERCIAL SORIANA, COLONIA PLAZA POLIFORUM, CP 29000, TUXTLA GUTIÉRREZ, CHIS","","","01 961 60 437 09"
"CHIAPAS","MUNICIPIO DE ACAPETAHUA","Av. Central Norte No. 2, Col. Centro, C.P. 30580, Acapetahua, Chis.","AVENIDA CENTRAL NORTE NO 2, COLONIA CENTRO, CP 30580, ACAPETAHUA, CHIS","","","01 918 647 00 00"
"CHIAPAS","MUNICIPIO DE ÁNGEL A. CORZO","1ª. Poniente Sur s/n, Col. Centro C.P. 30370, Ángel A. Corzo, Chis.","1ª PONIENTE SUR S/N, COLONIA CENTRO CP 30370, ÁNGEL A CORZO, CHIS","","","01 992 655 01 84"
"CHIAPAS","MUNICIPIO DE BELLAVISTA","Palacio Municipal s/n, Col. Centro, C.P. 30130, Bellavista, Chis.","PALACIO MUNICIPAL S/N, COLONIA CENTRO, CP 30130, BELLAVISTA, CHIS","","","01 200 123 84 68 y 67"
"CHIAPAS","MUNICIPIO DE BENEMÉRITO DE LAS AMÉRICAS","Calle Central s/n, Col. Sector 1, C.P. 92955, Benemérito de las Américas, Chis.","CALLE CENTRAL S/N, COLONIA SECTOR 1, CP 92955, BENEMÉRITO DE LAS AMÉRICAS, CHIS","","","01 200 123 9446"
"CHIAPAS","MUNICIPIO DE CACAHOTÁN","Central Sur y 6ª Poniente s/n, Col. Centro, C.P. 30890, Cacahotán, Chis.","CENTRAL SUR Y 6ª PONIENTE S/N, COLONIA CENTRO, CP 30890, CACAHOTÁN, CHIS","","","01 962 622 01 60 / ext. 103"
"CHIAPAS","MUNICIPIO DE CHENALHÓ","Hidalgo s/n, Col. Centro, C.P. 29870, Chenalhó, Chis.","HIDALGO S/N, COLONIA CENTRO, CP 29870, CHENALHÓ, CHIS","","","01 919 673 70 35"
"CHIAPAS","MUNICIPIO DE CHICOMUSELO","1ra.Av. Sur Poniente s/n esq. 3ª. Calle Poniente Sur, Col. Centro, C.P. 30120, Chicomuselo, Chis.","1RAAVENIDA SUR PONIENTE S/N ESQUINA 3ª CALLE PONIENTE SUR, COLONIA CENTRO, CP 30120, CHICOMUSELO, CHIS","","","01 963 631 23 34"
