"entidad","nombre_registro","direccion","latitud","longitud","contacto"
"chihuahua","Oficialía 01 del registro civil cd juarez","H. Colegio Militar y Av Francisco Villa, Chamizal, Juárez, Chihuhua","","","52 656 615 2019"
"chihuahua","Oficialía 02 del registro civil de cd juarez","Blvd. Gomez Morin 1325, Juárez, Chihuhua","","","52 656 615 2019"
"chihuahua","Oficialía 04 del registro civil ciudad juarez","Codorniz y Ave. De los Aztecas s/n Col. Azteca, Juárez, Chihuhua","","","(656) 610-01-42"
"chihuahua","Oficialía 05 del registro civil Ciudad Juárez","Eje Vial Juan Gabriel y Aserraderos s/n, Juárez, Chihuhua","","","(656) 629-33-00 ext. 55704"
"chihuahua","Oficialía 06 del registro civil Ciudad Juárez","Calle Almendro 10150, Col. Los Mezquitales, Juárez, Chihuhua","","","(656) 629-33-00 ext. 55704"
"chihuahua","Oficialía 01, Dirección General del registro civil chihuahua","Libertad y calle 13, Col. Centro, Chihuahua, Chihuhua (C.P. 31000)","","","(614) 429 3300 / 4801 y 4809"
"chihuahua","Registro Civil de Jiménez","Zaragoza 116, Col. Centro (CP 33981), Jiménez, Chihuhua","","","01-629-542-30-31"
"chihuahua","Registro Civil Cuauhtémoc","Morelos y calle 23 (CP 31530), Cuauhtémoc, Chihuhua","","","01-635-581-93-22 / 74-63"
"chihuahua","Registro Civil Camargo","Hidalgo y Allende 2-A, Col. Centro (CP 37000), Camargo, Chihuhua","","","01648 462 43 31"
"chihuahua","Registro Civil Delicias"," Av. 6ta y Calle 1era. Ote, Col. Centro, (CP 33060), Delicias, Chihuhua","","","01-639-474-30-08"
"chihuahua","Registro Civil de Hidalgo del Parral","Mutualismo y Gral. Negrete, Col. Centro (CP 33800), Hidalgo del Parral, Chihuhua","","","01 627 523 93 22 / 72 04"
"chihuahua","Registro Civil Cuauhtémoc","Morelos y calle 23 (CP 31530), Cuauhtémoc, Chihuhua","","","01-635-581-93-22 / 74-63"
