"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"COAHUILA","OFICIALIA 01 DEL REGISTRO CIVIL SALTILLO COAHUILA","Ateneo 625, Centro, (cp 25000), Saltillo","ATENEO 625, CENTRO, (CP 25000), SALTILLO","","","(844) 412 05 05"
"COAHUILA","OFICIALIA 02 DEL REGISTRO CIVIL SALTILLO","Xicotencatl  Sur 153, Centro, (cp 25000), Saltillo","XICOTENCATL  SUR 153, CENTRO, (CP 25000), SALTILLO","","","(844) 410 30 10"
"COAHUILA","OFICIALIA 03 DEL REGISTRO CIVIL SALTILLO","Manuel Perez Treviño 774, Centro, (cp 25000), Saltillo","MANUEL PEREZ TREVIÑO 774, CENTRO, (CP 25000), SALTILLO","","","(844) 410 74 35"
"COAHUILA","OFICIALIA 04 DEL REGISTRO CIVIL SALTILLO","Domicilio Conocido s/n, (cp 25324), Aguanueva, Saltillo","DOMICILIO CONOCIDO S/N, (CP 25324), AGUANUEVA, SALTILLO","","","(844) 417 4029"
"COAHUILA","OFICIALIA 07 DE SALTILLO","Miguel Gomez 5, (cp 25300), Derramadero, Saltillo","MIGUEL GOMEZ 5, (CP 25300), DERRAMADERO, SALTILLO","","",""
"COAHUILA","OFICIALIA 08 DE SALTILLO","Zaragoza 7, (cp 25335),gomez Farias, Saltillo","ZARAGOZA 7, (CP 25335),GOMEZ FARIAS, SALTILLO","","","(844) 417 31 35"
"COAHUILA","OFICIALIA 09 DE SALTILLO","Jesús Valdés Sánchez 1953, (cp 25298), La Aurora, Saltillo","JESÚS VALDÉS SÁNCHEZ 1953, (CP 25298), LA AURORA, SALTILLO","","","(844) 431-70-24"
"COAHUILA","OFICIALIA 11 DE SALTILLO","Carretera A Zacatecas Km 164 , (cp 25340), La Ventura, Saltillo","CARRETERA A ZACATECAS KM 164 , (CP 25340), LA VENTURA, SALTILLO","","","(844) 431 70 24"
"COAHUILA","OFICIALIA 14 DE SALTILLO","Domicilio Conocido s/n , (cp 25336), San Juan Del Retiro, Saltillo","DOMICILIO CONOCIDO S/N , (CP 25336), SAN JUAN DEL RETIRO, SALTILLO","","",""
"COAHUILA","OFICIALIA 15 DE SALTILLO","Domicilio Conocido s/n, San Juan De La Vaqueria, Saltillo","DOMICILIO CONOCIDO S/N, SAN JUAN DE LA VAQUERIA, SALTILLO","","","(844) 488 08 28"
"COAHUILA","OFICIALIA 16 DE SALTILLO","Domicilio Conocido (cp 25301), El Clavel, La Noria, Saltillo","DOMICILIO CONOCIDO (CP 25301), EL CLAVEL, LA NORIA, SALTILLO","","","(844) 488 08 28"
"COAHUILA","OFICIALIA 17 DE SALTILLO","Domicilio Conocido, Presa De San Pedro, Saltillo","DOMICILIO CONOCIDO, PRESA DE SAN PEDRO, SALTILLO","","","01 200 12 43 834"
"COAHUILA","OFICIALIA 01 DEL REGISTRO CIVIL TORREON COAHUILA","Allende 840 (cp 2700), Centro, Torreon","ALLENDE 840 (CP 2700), CENTRO, TORREON","","","(871) 712 22 45"
"COAHUILA","OFICIALIA 02 DEL REGISTRO CIVIL TORREON","Allende 1118 (cp 2700), Centro, Torreon","ALLENDE 1118 (CP 2700), CENTRO, TORREON","","","(871) 716 70 85"
"COAHUILA","OFICIALIA 03 DEL REGISTRO CIVIL TORREON","Allende 239 (cp 2700), Centro, Torreon","ALLENDE 239 (CP 2700), CENTRO, TORREON","","","(871) 713 32 44"
"COAHUILA","OFICIALIA 04 DEL REGISTRO CIVIL TORREON","Domicilio Conocido s/n (cp 27430), Flor De Jimulco, Torreon","DOMICILIO CONOCIDO S/N (CP 27430), FLOR DE JIMULCO, TORREON","","","(871) 713 32 44"
"COAHUILA","OFICIALIA 05 DEL REGISTRO CIVIL TORREON","Cuarzo  123 (cp 27400), La Joya, Torreon","CUARZO  123 (CP 27400), LA JOYA, TORREON","","","(871) 293 57 85"
"COAHUILA","OFICIALIA 06 DEL REGISTRO CIVIL TORREON","Antonio De Juambelz 421 L-4, Nuevo Torreon, Torreon","ANTONIO DE JUAMBELZ 421 L-4, NUEVO TORREON, TORREON","","","(871) 763 10 21"
"COAHUILA","OFICIALIA 07 DEL REGISTRO CIVIL TORREON","Presidente Carranza Ote. 1764 (cp 2700), Centro, Torreon","PRESIDENTE CARRANZA OTE 1764 (CP 2700), CENTRO, TORREON","","","(871) 718 67 67"
"COAHUILA","OFICIALIA 08 DEL REGISTRO CIVIL TORREON","Blvd. Revolucion 260, Centro, Torreon","BLVD REVOLUCION 260, CENTRO, TORREON","","","(871) 712 52 34"
"COAHUILA","OFICIALIA 09 DEL REGISTRO CIVIL TORREON","Blvd. Revolucion 260 (cp 27420), La Concha, Torreon","BLVD REVOLUCION 260 (CP 27420), LA CONCHA, TORREON","","","(871) 750-65-49"
"COAHUILA","OFICIALIA 10 DEL REGISTRO CIVIL TORREON"," Domicilio Conocido s/n (cp 24412), La Paz, Torreon"," DOMICILIO CONOCIDO S/N (CP 24412), LA PAZ, TORREON","","","(871) 711-69-95"
"COAHUILA","OFICIALIA 11 DEL REGISTRO CIVIL TORREON","Division Del Norte 161-a Las Misiones, Torreon","DIVISION DEL NORTE 161-A LAS MISIONES, TORREON","","","(871) 209-03-99"
"COAHUILA","OFICIALIA 12 DEL REGISTRO CIVIL TORREON","Madrid 676 (cp 27100), Torreon","MADRID 676 (CP 27100), TORREON","","","(871) 718 90 02"
"COAHUILA","OFICIALIA 01 DEL REGISTRO CIVIL MONCLOVA","De la Fuente 141 (cp 27500), Centro, Monclova","DE LA FUENTE 141 (CP 27500), CENTRO, MONCLOVA","","","01 866 632 29 22"
"COAHUILA","OFICIALIA 02 DEL REGISTRO CIVIL MONCLOVA","Juarez 101 (cp 27500), Centro, Monclova","JUAREZ 101 (CP 27500), CENTRO, MONCLOVA","","","(866) 633-19-45"
"COAHUILA","OFICIALIA 03 DEL REGISTRO CIVIL MONCLOVA","Cuauhtemoc 821 (cp 25730), Centro, Monclova","CUAUHTEMOC 821 (CP 25730), CENTRO, MONCLOVA","","","(866) 633 02 62"
"COAHUILA","OFICIALIA 04 DEL REGISTRO CIVIL MONCLOVA","Sidermex 1119 obrera Sur 2o. Sector (cp 25790), Centro, Monclova","SIDERMEX 1119 OBRERA SUR 2O SECTOR (CP 25790), CENTRO, MONCLOVA","","","(866) 110 62 60 "
"COAHUILA","OFICIALIA 06 DEL REGISTRO CIVIL MONCLOVA","Av. San Jose 908 (cp 25048), Centro, Monclova","AVENIDA SAN JOSE 908 (CP 25048), CENTRO, MONCLOVA","","","866 633 33 00"
"COAHUILA","OFICIALIA 01 DEL REGISTRO CIVIL ACUÑA","Matamoros Local 2, Centro, Acuña","MATAMOROS LOCAL 2, CENTRO, ACUÑA","","","(877) 772 93 64"
"COAHUILA"," OFICIALIA 02 DEL REGISTRO CIVIL ACUÑA","Plaza San José Local 1-2045, Centro, Acuña","PLAZA SAN JOSÉ LOCAL 1-2045, CENTRO, ACUÑA","","","(877) 772-15-04"
"COAHUILA","OFICIALIA 05 DEL REGISTRO CIVIL ACUÑA","Noche Buena Local 3, Centro, Acuña","NOCHE BUENA LOCAL 3, CENTRO, ACUÑA","","","(877) 773-21-86"
"COAHUILA","OFICIALIA 01 DEL REGISTRO CIVIL MATAMORROS","Niños Héroes Local10-2 (cp 27440), Centro,  Matamorros","NIÑOS HÉROES LOCAL10-2 (CP 27440), CENTRO,  MATAMORROS","","",""
"COAHUILA","OFICIALIA 02 DEL REGISTRO CIVIL MATAMORROS","Domicilio Conocido S/n, Union Del Barreal,  Matamorros","DOMICILIO CONOCIDO S/N, UNION DEL BARREAL,  MATAMORROS","","",""
"COAHUILA","OFICIALIA 03 DEL REGISTRO CIVIL MATAMORROS","Domicilio Conocido S/n, El Manantial,  Matamorros","DOMICILIO CONOCIDO S/N, EL MANANTIAL,  MATAMORROS","","","(871) 125 36 58"
"COAHUILA","OFICIALIA 04 DEL REGISTRO CIVIL MATAMORROS","Domicilio Conocido S/n, El Coyote,  Matamorros","DOMICILIO CONOCIDO S/N, EL COYOTE,  MATAMORROS","","","(871) 268 12 96"
"COAHUILA","OFICIALIA 01 DE SAN PEDRO","Lerdo 4 (cp 27800), Centro, San Pedro","LERDO 4 (CP 27800), CENTRO, SAN PEDRO","","","(872) 772 77 38"
"COAHUILA","OFICIALIA 02 DE SAN PEDRO","Hidalgo S/n (cp 27950), Centro, San Pedro","HIDALGO S/N (CP 27950), CENTRO, SAN PEDRO","","","(872) 777 05 21"
"COAHUILA","OFICIALIA 05 DE RAMOS ARIZPE","Blvd. Plan De Gpe 255-a (cp 25900), Centro, Ramos Arizpe","BLVD PLAN DE GPE 255-A (CP 25900), CENTRO, RAMOS ARIZPE","","","9 62 16 12"
"COAHUILA","OFICIALIA 01 DE FRONTERA","Blvd. Juarez 507, Centro, Frontera","BLVD JUAREZ 507, CENTRO, FRONTERA","","","(866) 634-42-37"
"COAHUILA","OFICIALIA 01 DE MUZQUIZ","Lucio Blanco Ote. 111 (cp 26340), Centro, Muzquiz","LUCIO BLANCO OTE 111 (CP 26340), CENTRO, MUZQUIZ","","","(866) 634 42 37"
"COAHUILA","OFICIALIA 01 DE SABINAS","Independencia  s/n (cp 26700), Centro, Sabinas","INDEPENDENCIA  S/N (CP 26700), CENTRO, SABINAS","","","(861) 612 02 26"
"COAHUILA","OFICIALIA 01 DE FCO. I. MADERO","Domicilio Conocido s/n (cp 27915), Lequeitio, Fco. I. Madero","DOMICILIO CONOCIDO S/N (CP 27915), LEQUEITIO, FCO I MADERO","","","(872) 773-61-03"
"COAHUILA","OFICIALIA 01 DE PARRAS","Reforma 2-a, Lequeitio, Fco. I. Madero, Parras","REFORMA 2-A, LEQUEITIO, FCO I MADERO, PARRAS","","","(842) 422 14 00"
"COAHUILA","OFICIALIA 01 DE SAN JUAN DE SABINAS","Presidente Juarez 81, San Juan De Sabinas","PRESIDENTE JUAREZ 81, SAN JUAN DE SABINAS","","","(861) 103-08-99"
