"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"GUERRERO","OFICIALÍA 2 DEL REGISTRO CIVIL DE CHILPANCINGO","Ed. Juan Alvarez calle Zaragoza, esquina 16 de septiembre num. SN (CP 39000), Chilpancingo de los Bravo, Guerrero","ED JUAN ALVAREZ CALLE ZARAGOZA, ESQUINA 16 DE SEPTIEMBRE NUM SN (CP 39000), CHILPANCINGO DE LOS BRAVO, GUERRERO","","","(747) 471 9137, (747) 471 0302, (747) 472 4455"
"GUERRERO","OFICIALIA_2","Avenida Julian Blanco SN (CP 39121), Chilpancingo de los Bravo, Guerrero","AVENIDA JULIAN BLANCO SN (CP 39121), CHILPANCINGO DE LOS BRAVO, GUERRERO","","","(745) 477 1179"
"GUERRERO","OFICIALÍA 1 DEL REGISTRO CIVIL DE IGUALA GUERRERO","Avenida Vicente Guerrero 1 (cp 40000), Iguala de la Independencia Estado, Guerrero","AVENIDA VICENTE GUERRERO 1 (CP 40000), IGUALA DE LA INDEPENDENCIA ESTADO, GUERRERO","","","(733) 333 9626"
"GUERRERO","OFICIAL 01 DEL REGISTRO CIVIL ZIHUATANEJO","Ext. 147 Paseo De Zihuatanejo Poniente 21, Col., La Deportiva, Interior del Palacio Municipal, Zihuatanejo De Azueta, Guerrero","EXT 147 PASEO DE ZIHUATANEJO PONIENTE 21, COLONIA, LA DEPORTIVA, INTERIOR DEL PALACIO MUNICIPAL, ZIHUATANEJO DE AZUETA, GUERRERO","","","(755) 555 0700"
"GUERRERO","OFICIALÍA 34 DEL REGISTRO CIVIL ACAPULCO DE JUAREZ","Adolfo López Mateos 46, Fraccionamiento Las Playas, (cp 39390), Acapulco, Guerrero","ADOLFO LÓPEZ MATEOS 46, FRACCIONAMIENTO LAS PLAYAS, (CP 39390), ACAPULCO, GUERRERO","","","52 744 482 2569"
"GUERRERO","OFICIALÍA 01 DEL REGISTRO CIVIL TAXCO","Fundiciones 6 (cp 40200), Taxco De Alarcon Estado, Guerrero","FUNDICIONES 6 (CP 40200), TAXCO DE ALARCON ESTADO, GUERRERO","","","(762) 6220125 (ext 139)"
"GUERRERO","OFICIALIA 01 DEL REGISTRO CIVIL TLAPA","Hidalgo Esq. Con Fonseca Sn (cp 41304), Tlapa De Comonfort, Guerrero","HIDALGO ESQUINA CON FONSECA SN (CP 41304), TLAPA DE COMONFORT, GUERRERO","","","(757) 491345"
"GUERRERO","OFICIALIA 02 DEL REGISTRO CIVIL CHILAPA","Álvarez 184 (cp 41101), Chilapa De Álvarez, Guerrero","ÁLVAREZ 184 (CP 41101), CHILAPA DE ÁLVAREZ, GUERRERO","","","(756) 473 3054"
"GUERRERO","OFICIALIA 01 DEL REGISTRO CIVIL PUNGARABATO","Ave. Pungarabato Ptc, Esq Con Moya (cp 40660), Pungarabato, Ciudad Altamirano, Guerrero","AVE PUNGARABATO PTC, ESQ CON MOYA (CP 40660), PUNGARABATO, CIUDAD ALTAMIRANO, GUERRERO","","","(767) 672 0153 (ext 103)"
"GUERRERO","OFICIALIA 01 DEL REGISTRO CIVIL OMETEPEC","Constitucion (cp 41700), Ometepec, Guerrero","CONSTITUCION (CP 41700), OMETEPEC, GUERRERO","","","(741) 412 0240 (ext 106)"
