"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"HIDALGO","REGISTRO CIVIL DE HIDALGO DIRECCIÓN GENERAL","Plaza Juárez s/n, Col. Centro, C.P. 42000, Pachuca, Hidalgo.","PLAZA JUÁREZ S/N, COLONIA CENTRO, CP 42000, PACHUCA, HIDALGO","","","01 771 717 60 00 ext. 6555"
"HIDALGO","REGISTRO CIVIL DE ACATLÁN","Calle 16 de enero s/n Col. Centro, Acatlán, C.P. 43540, Hgo.","CALLE 16 DE ENERO S/N COLONIA CENTRO, ACATLÁN, CP 43540, HGO","","","01 775 754 51 48"
"HIDALGO","REGISTRO CIVIL DE ACAXOCHITLAN","Plaza Principal s/n, Col. Centro, Acaxochitlan, Hidalgo Presidencia","PLAZA PRINCIPAL S/N, COLONIA CENTRO, ACAXOCHITLAN, HIDALGO PRESIDENCIA","","","01 776 76 8 50 84"
"HIDALGO","REGISTRO CIVIL DE ACAXOXHITLAN","Plaza Principal s/n, col. Centro, Acaxochitlan, Hidalgo","PLAZA PRINCIPAL S/N, COLONIA CENTRO, ACAXOCHITLAN, HIDALGO","","","01 776 7 52 00 90"
"HIDALGO","REGISTRO CIVIL DE ACTOPAN","Hidalgo n° 8, Col. Centro. Actopan, Hidalgo","HIDALGO N° 8, COLONIA CENTRO ACTOPAN, HIDALGO","","","01 772 72 72 7 25 88 ext 6"
"HIDALGO","REGISTRO CIVIL DE AGUA BLANCA","Plaza Principal s/n, col. Centro, Agua Blanca, Hidalgo","PLAZA PRINCIPAL S/N, COLONIA CENTRO, AGUA BLANCA, HIDALGO","","","01 774 9 74 10 30, 31 y 34"
"HIDALGO","REGISTRO CIVIL DE ALFAJAYUCAN","Plaza Cuauhtemoc s/n, Col. Centro, C.P. 42390 Alfajayucan, Hidalgo","PLAZA CUAUHTEMOC S/N, COLONIA CENTRO, CP 42390 ALFAJAYUCAN, HIDALGO","","","01 738 728 8006"
"HIDALGO","REGISTRO CIVIL DE ALMOLOYA","Francisco I. Madero s/n, col. Centro, Almoloya, Hidalgo","FRANCISCO I MADERO S/N, COLONIA CENTRO, ALMOLOYA, HIDALGO","","","01 748 9 12 16 97"
"HIDALGO","REGISTRO CIVIL DE APAN","Lauro L. Méndez n° 6 pte. Apan, Hidalgo","LAURO L MÉNDEZ N° 6 PTE APAN, HIDALGO","","","01 748 91 20 781"
"HIDALGO","REGISTRO CIVIL DE ATITALAQUIA","Plaza Principal s/n Col. Centro, Atitalaquia, C.P. 42970, Hgo.","PLAZA PRINCIPAL S/N COLONIA CENTRO, ATITALAQUIA, CP 42970, HGO","","","01 778 73 34 49"
"HIDALGO","REGISTRO CIVIL DE ATLAPEXCO","Plaza Principal s/n, Col. Centro, C.P. 43060, Atlapexco, Hidalgo","PLAZA PRINCIPAL S/N, COLONIA CENTRO, CP 43060, ATLAPEXCO, HIDALGO","","","01 789 89 44 006 – 44 004"
"HIDALGO","REGISTRO CIVIL DE ATOTONILCO","Plaza Principal s/n Col. Centro, Atotonilco de Tula, C.P. 42980, Hgo.","PLAZA PRINCIPAL S/N COLONIA CENTRO, ATOTONILCO DE TULA, CP 42980, HGO","","","01 775 735 00 54"
"HIDALGO","REGISTRO CIVIL DE ATOTONILCO EL GRANDE","Av. Juárez esq. Viesca Palma s/n, col. Centro, Atotonilco el Grande, Hidalgo","AVENIDA JUÁREZ ESQUINA VIESCA PALMA S/N, COLONIA CENTRO, ATOTONILCO EL GRANDE, HIDALGO","","","01 774 7 43 00 40"
"HIDALGO","REGISTRO CIVIL DE CALNALI","Plaza Principal s/n, col. Centro, Calnali, Hidalgo","PLAZA PRINCIPAL S/N, COLONIA CENTRO, CALNALI, HIDALGO","","","01 774 9 74 20 48"
"HIDALGO","REGISTRO CIVIL DE CARDONAL","Plaza Principal s/n, col. Centro, Cardonal, Hidalgo","PLAZA PRINCIPAL S/N, COLONIA CENTRO, CARDONAL, HIDALGO","","","01 759 7 27 00 93 y 94"
"HIDALGO","REGISTRO CIVIL DE CHAPANTONGO","Palacio Municipal s/n, Chapantongo, Hidalgo","PALACIO MUNICIPAL S/N, CHAPANTONGO, HIDALGO","","","01 763 72 – 85 007"
"HIDALGO","REGISTRO CIVIL DE CHAPULHUACAN","Francisco Sarabia s/n, Chapulhuacan, Hidalgo","FRANCISCO SARABIA S/N, CHAPULHUACAN, HIDALGO","","","01 483 37 8 20 56 – 8 20 33"
"HIDALGO","REGISTRO CIVIL DE CHILCUAUTLA","Plaza Principal s/n, Chilcuautla, Hidalgo","PLAZA PRINCIPAL S/N, CHILCUAUTLA, HIDALGO","","","01 738 7 83 00 43"
"HIDALGO","REGISTRO CIVIL DE CUAUTEPEC DE HINOJOSA","Palacio Municipal s/n Col. Centro, Cuautepec de Hinojosa, C.P. 43740, Hgo.","PALACIO MUNICIPAL S/N COLONIA CENTRO, CUAUTEPEC DE HINOJOSA, CP 43740, HGO","","","01 775 754 01 25 y 754 00 96"
"HIDALGO","REGISTRO CIVIL DE EL ARENAL","Av. Juárez s/n Col. Centro, C.P. 42680, El Arenal, Hidalgo","AVENIDA JUÁREZ S/N COLONIA CENTRO, CP 42680, EL ARENAL, HIDALGO","","","07 772 72 70 323 y 72"
"HIDALGO","REGISTRO CIVIL DE ELOXOCHITLAN","Plaza Principall s/n, col. Centro, Eloxochitlan, Hidalgo","PLAZA PRINCIPALL S/N, COLONIA CENTRO, ELOXOCHITLAN, HIDALGO","","","01 774 7 45 04 49"
"HIDALGO","REGISTRO CIVIL DE EMILIANO ZAPATA","Benito Juárez Esq. 5 de mayo, Col. Centro, C.P. 43960, Emiliano Zapata, Hidalgo","BENITO JUÁREZ ESQUINA 5 DE MAYO, COLONIA CENTRO, CP 43960, EMILIANO ZAPATA, HIDALGO","","","01 748 91 50179 01 748 91 50508"
"HIDALGO","REGISTRO CIVIL DE EPAZOYUCAN","Av. Hidalgo n° 11, col. Centro, Epazoyucan, Hidalgo","AVENIDA HIDALGO N° 11, COLONIA CENTRO, EPAZOYUCAN, HIDALGO","","","01 771 7 92 50 02"
"HIDALGO","REGISTRO CIVIL DE FRANCISCO I. MADERO","Plaza 31 de mayo s/n, Col. Centro, C.P. 42660, Francisco I. Madero, Hidalgo","PLAZA 31 DE MAYO S/N, COLONIA CENTRO, CP 42660, FRANCISCO I MADERO, HIDALGO","","","01 738 7240112 - 0787"
"HIDALGO","REGISTRO CIVIL DE HUASCA DE OCAMPO","Palacio Municipal s/n, Huasca de Ocampo, Hidalgo","PALACIO MUNICIPAL S/N, HUASCA DE OCAMPO, HIDALGO","","","01 771 79 2 04 03 – 792 01 01 - 792 02 53"
"HIDALGO","REGISTRO CIVIL DE HUAUTLA","Plaza Principal s/n Col. Centro, Huautla, C.P. 43050, Hgo.","PLAZA PRINCIPAL S/N COLONIA CENTRO, HUAUTLA, CP 43050, HGO","","","01 746 897 01 02"
"HIDALGO","REGISTRO CIVIL DE HUAZALINGO","Plaza Principal s/n, col. Centro, Huazalingo, Hidalgo","PLAZA PRINCIPAL S/N, COLONIA CENTRO, HUAZALINGO, HIDALGO","","","01 789 8 96 30 36 y 6 07 77"
