"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"JALISCO","DIRECCIÓN GENERAL DEL REGISTRO CIVIL","Av. Alcalde No. 1855 Edif. De Archivo P. B. Sector Hidalgo, C.P. 44280, Guadalajara, Jalisco","AVENIDA ALCALDE NO 1855 EDIF DE ARCHIVO P B SECTOR HIDALGO, CP 44280, GUADALAJARA, JALISCO","","","01 33 38-19-24-56"
"JALISCO","REGISTRO CIVIL ACATIC","Hidalgo 24, Col. Centro, C.P. 45470, Acatic, Jalisco","HIDALGO 24, COLONIA CENTRO, CP 45470, ACATIC, JALISCO","","","01 378 715 00 13"
"JALISCO","REGISTRO CIVIL AHUALULCO DE MERCADO","González Madrid No. 11, Col. Centro, Ahualulco de Mercado, Jalisco.","GONZÁLEZ MADRID NO 11, COLONIA CENTRO, AHUALULCO DE MERCADO, JALISCO","","","13 867 52 01 58"
"JALISCO","REGISTRO CIVIL AJIJIC","Colón No. 23 Col. Centro, C. P. 45920, Ajijic, Jalisco","COLÓN NO 23 COLONIA CENTRO, C P 45920, AJIJIC, JALISCO","","","01 376 76 61 760"
"JALISCO","REGISTRO CIVIL AMECA","Juàrez No. 32, Col. Centro, C.P. 46600, Ameca, Jalisco","JUÀREZ NO 32, COLONIA CENTRO, CP 46600, AMECA, JALISCO","","","0137580014 Ext. 121"
"JALISCO","REGISTRO CIVIL ARANDAS","Francisco Mora No. 76, Col. Centro, C.P. 47180, Arandas, Jalisco","FRANCISCO MORA NO 76, COLONIA CENTRO, CP 47180, ARANDAS, JALISCO","","","13487847405"
"JALISCO","REGISTRO CIVIL ATEMAJÁC DE BRIZUELA","Juárez No. 14 Col. Centro, C. P. 45790, Atemajac de Brizuela, Jalisco","JUÁREZ NO 14 COLONIA CENTRO, C P 45790, ATEMAJAC DE BRIZUELA, JALISCO","","","01 326 42 50 114"
"JALISCO","REGISTRO CIVIL ATOTONILCO EL ALTO","Unidad Administrativa Benito Juàrez, Col. Centro, C.P. 47750 Atotonilco El Alto, Jalisco","UNIDAD ADMINISTRATIVA BENITO JUÀREZ, COLONIA CENTRO, CP 47750 ATOTONILCO EL ALTO, JALISCO","","","13919173424"
"JALISCO","REGISTRO CIVIL ATOYAC","Independencia 96, Col. Centro, C.P. 49200, Atoyac, Jalisco.","INDEPENDENCIA 96, COLONIA CENTRO, CP 49200, ATOYAC, JALISCO","","","13 724 10 21 21"
"JALISCO","REGISTRO CIVIL AUTLÁN DE NAVARRO","Venustiano Carranza No. 1, Col. Centro, Autlán de Navarro, Jalisco.","VENUSTIANO CARRANZA NO 1, COLONIA CENTRO, AUTLÁN DE NAVARRO, JALISCO","","","01 317 38 11 299"
