"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"MORELOS","DIRECCIÓN GENERAL DEL REGISTRO CIVIL","Calle de la Luz n° 88, Col. Centro, C.P. 62000, Cuernavaca, Morelos","CALLE DE LA LUZ N° 88, COLONIA CENTRO, CP 62000, CUERNAVACA, MORELOS","","","01 777 322 24 89"
"MORELOS","REGISTRO CIVIL DE ATLATLAHUCAN","Independencia esq. Hidalgo s/n, Barrio San Mateo, Atlatlahucan, Morelos","INDEPENDENCIA ESQUINA HIDALGO S/N, BARRIO SAN MATEO, ATLATLAHUCAN, MORELOS","","","01 735 351 40 16 ext. 20"
"MORELOS","REGISTRO CIVIL DE AXOCHIAPAN OFICIALÍA 01","Leandro Valle s/n, Col Centro, C.P. 62950, Axochiapan, Morelos","LEANDRO VALLE S/N, COL CENTRO, CP 62950, AXOCHIAPAN, MORELOS","","","01 769 351 00 24 ext. 207"
"MORELOS","REGISTRO CIVIL DE AYALA","Rodrigo Avelar n° 8, Col. Centro, C.P. 62700, Ayala, Morelos","RODRIGO AVELAR N° 8, COLONIA CENTRO, CP 62700, AYALA, MORELOS","","","01 735 308 23 44 ext. 227"
"MORELOS","REGISTRO CIVIL DE CUAUTLA OFICIALÍA 01","Portal Morelos n° 1, Col. Centro, C.P. 62740, Cuautla, Morelos","PORTAL MORELOS N° 1, COLONIA CENTRO, CP 62740, CUAUTLA, MORELOS","","","01 735 352 34 77"
"MORELOS","REGISTRO CIVIL DE CUERNAVACA OFICIALIA 3","Av. Universidad n° 108, Col. Buenavista, C.P. 62130, Cuernavaca, Morelos","AVENIDA UNIVERSIDAD N° 108, COLONIA BUENAVISTA, CP 62130, CUERNAVACA, MORELOS","","","01 777 311 69 89"
"MORELOS","REGISTRO CIVIL DE EMILIANO ZAPATA OFICIALÍA 01","Plaza 10 de Abril s/n, Col. Centro, C.P. 62760, Emiliano Zapata, Morelos","PLAZA 10 DE ABRIL S/N, COLONIA CENTRO, CP 62760, EMILIANO ZAPATA, MORELOS","","","01 737 368 06 57"
"MORELOS","REGISTRO CIVIL DE HUITZILAC","Calle Lázaro Cárdenas n° 1, Col. Centro, C.P 62510, Huitzilac, Morelos","CALLE LÁZARO CÁRDENAS N° 1, COLONIA CENTRO, CP 62510, HUITZILAC, MORELOS","","","01 739 393 02 94"
"MORELOS","REGISTRO CIVIL DE JANTETELCO OFICIALÍA 01","Reforma s/n, Col. Centro, C.P. 62970, Jantetelco, Morelos","REFORMA S/N, COLONIA CENTRO, CP 62970, JANTETELCO, MORELOS","","","01 735 311 20 04"
"MORELOS","REGISTRO CIVIL DE JIUTEPEC","R Ampudia del Valle n° 18, Col. Centro, C.P. 62550, Jiutepec, Morelos","R AMPUDIA DEL VALLE N° 18, COLONIA CENTRO, CP 62550, JIUTEPEC, MORELOS","","","01 777 319 59 76"
"MORELOS","REGISTRO CIVIL DE JIUTEPEC OFICIALÍA 02","Av. Hidalgo n° 1 esq. Real de Yautepec, C.P. 62570 Tejalpa, Jiutepec, Morelos","AVENIDA HIDALGO N° 1 ESQUINA REAL DE YAUTEPEC, CP 62570 TEJALPA, JIUTEPEC, MORELOS","","","01 77 321 12 04"
"MORELOS","REGISTRO CIVIL DE JOJUTLA","Jardín Central s/n, Col. Centro, Jojutla, Morelos","JARDÍN CENTRAL S/N, COLONIA CENTRO, JOJUTLA, MORELOS","","","01 734 342 875"
"MORELOS","REGISTRO CIVIL DE JONACATEPEC OFICIALÍA 01","Plaza Zapata s/n, Col. Centro, Jonacatepec, C.P. 62930, Morelos","PLAZA ZAPATA S/N, COLONIA CENTRO, JONACATEPEC, CP 62930, MORELOS","","","01 735 355 16 44"
"MORELOS","REGISTRO CIVIL DE MAZATEPEC OFICIALÍA 01","Aldama n° 18, Col. Centro, C.P. 62630, Mazatepec, Morelos","ALDAMA N° 18, COLONIA CENTRO, CP 62630, MAZATEPEC, MORELOS","","","01 737 373 06 01"
"MORELOS","REGISTRO CIVIL MIACATLÁN","Plaza Emilio Carranza s/n, Col. Centro, Miacatlan, C.P. 62600, Morelos","PLAZA EMILIO CARRANZA S/N, COLONIA CENTRO, MIACATLAN, CP 62600, MORELOS","","","01 737 373 02 14"
"MORELOS","REGISTRO CIVIL PUENTE DE IXTLA","Inter. Jardín Juárez s/n, Col. Centro, C.P. 62660, Puente de Ixtla, Morelos","INTER JARDÍN JUÁREZ S/N, COLONIA CENTRO, CP 62660, PUENTE DE IXTLA, MORELOS","","","01 751 344 02 97"
"MORELOS","REGISTRO CIVIL DE OCUITUCO","Plaza Principal s/n, Col. Centro, C.P. 62850, Ocuituco, Morelos","PLAZA PRINCIPAL S/N, COLONIA CENTRO, CP 62850, OCUITUCO, MORELOS","","","01 731 357 01 01"
"MORELOS","REGISTRO CIVIL DE TEMIXCO","Av. Emiliano Zapata n° 16, Col. Centro, C.P. 62580, Temixco, Morelos","AVENIDA EMILIANO ZAPATA N° 16, COLONIA CENTRO, CP 62580, TEMIXCO, MORELOS","","","01 777 365 30 68"
"MORELOS","REGISTRO CIVIL DE TEMOAC","Carr. Emiliano Zapata s/n, C.P. 62870, Col. Centro, Temoac, Morelos","CARR EMILIANO ZAPATA S/N, CP 62870, COLONIA CENTRO, TEMOAC, MORELOS","","","01 731 357 41 04"
"MORELOS","REGISTRO CIVIL TEPALCINGO","Reforma s/n, Col. Barrio San Martín, Tepalcingo, Morelos","REFORMA S/N, COLONIA BARRIO SAN MARTÍN, TEPALCINGO, MORELOS","","","01 769 351 81 31"
"MORELOS","REGISTRO CIVIL DE TEPOZTLAN OFICIALÍA 01","Envila s/n Esq. 5 de mayo, Col. Centro, Tepoztlan, C.P. 62520, Morelos","ENVILA S/N ESQUINA 5 DE MAYO, COLONIA CENTRO, TEPOZTLAN, CP 62520, MORELOS","","","01 739 395 34 6"
"MORELOS","REGISTRO CIVIL TETECALA","Plaza de la Constitución s/n, Col. Centro, Tetecala, Morelos","PLAZA DE LA CONSTITUCIÓN S/N, COLONIA CENTRO, TETECALA, MORELOS","","","01 751 396 02 28"
"MORELOS","REGISTRO CIVIL DE TÉTELA DEL VOLCÁN","Plaza Principal s/n, C.P. 62800, Tétela del Volcán, Morelos","PLAZA PRINCIPAL S/N, CP 62800, TÉTELA DEL VOLCÁN, MORELOS","","","01 731 337 12 01"
"MORELOS","REGISTRO CIVIL TLALTIZAPAN","Hidalgo Sur n° 02, Col. Centro, Tlaltizapan, C.P. 62770, Morelos","HIDALGO SUR N° 02, COLONIA CENTRO, TLALTIZAPAN, CP 62770, MORELOS","","","01 734 5 17 54"
"MORELOS","REGISTRO CIVIL DE TLAQUILTENANGO","Plaza Revolución s/n, Col. Centro, Tlaquiltenango, Morelos","PLAZA REVOLUCIÓN S/N, COLONIA CENTRO, TLAQUILTENANGO, MORELOS","","","01 734 214 32"
"MORELOS","REGISTRO CIVIL TLAYACAPAN","Plaza Constitución s/n, C.P. 62540, Col. Centro, Tlayacapan, Morelos","PLAZA CONSTITUCIÓN S/N, CP 62540, COLONIA CENTRO, TLAYACAPAN, MORELOS","","","01 735 35 76 75"
"MORELOS","REGISTRO CIVIL DE TOTOLAPAN","Plaza de la Constitución s/n, Col. Centro, C.P. 62830, Totolapan, Morelos","PLAZA DE LA CONSTITUCIÓN S/N, COLONIA CENTRO, CP 62830, TOTOLAPAN, MORELOS","","","01 735 351 42 73 ext. 209"
"MORELOS","REGISTRO CIVIL XOCHITEPEC","Plaza Colón s/n Esq. Rep. De Costa Rica, Col. Centro, C.P. 62790, Xochitepec, Morelos","PLAZA COLÓN S/N ESQUINA REP DE COSTA RICA, COLONIA CENTRO, CP 62790, XOCHITEPEC, MORELOS","","","01 777 361 21 58, 361 24 05 ext. 112"
"MORELOS","REGISTRO CIVIL DE YAUTEPEC","Jardín Juárez n°1, Col. Centro, CP.62731, Yautepec, Morelos","JARDÍN JUÁREZ N°1, COLONIA CENTRO, CP62731, YAUTEPEC, MORELOS","","","01 735 394 07 88"
"MORELOS","REGISTRO CIVIL YECAPIXTLA","Plazuela Libertad n° 102, Col. Centro, C.P. 62220, Yecapixtla, Morelos","PLAZUELA LIBERTAD N° 102, COLONIA CENTRO, CP 62220, YECAPIXTLA, MORELOS","","","01 731 357 20 17, 7 20 17, 7 51 46, 7 27 20"
"MORELOS","REGISTRO CIVIL DE ZACATEPEC","Emiliano Zapata n° 23, C.P. 62780, Col. Centro, Zacatepec, Morelos","EMILIANO ZAPATA N° 23, CP 62780, COLONIA CENTRO, ZACATEPEC, MORELOS","","","01 734 3 22 26, 3 44 84, 3 44 85"
"MORELOS","REGISTRO CIVIL ZACUALPAN","Plaza de la Constitución n° 1, Col. Centro, C.P. 62890, Zacualpan, Morelos","PLAZA DE LA CONSTITUCIÓN N° 1, COLONIA CENTRO, CP 62890, ZACUALPAN, MORELOS","","","01 731 357 80 28"
"MORELOS","INSTITUTO NACIONAL DE MIGRACIÓN DELEGACION REGIONAL MORELOS","1ª. Priv. de la Luz No. 25, col. Chapultepec, Cuernavaca, Morelos","1ª PRIV DE LA LUZ NO 25, COLONIA CHAPULTEPEC, CUERNAVACA, MORELOS","","","01 777 3 15 96 10 ext. 204"
