"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"OAXACA","OFICIALÍA 01 DEL REGISTRO CIVIL OAXACA","Armenta y López 1038, Centro, Oaxaca (CP 68000)","ARMENTA Y LÓPEZ 1038, CENTRO, OAXACA (CP 68000)","","","51-4-22-58 y 51-4-83-94 (Ext. 11)"
"OAXACA","OFICIALÍA 02 DEL REGISTRO CIVIL OAXACA","Armenta y López 1038, Centro, Oaxaca (CP 68000)","ARMENTA Y LÓPEZ 1038, CENTRO, OAXACA (CP 68000)","","","51-4-83-94 y 51-4-22-58"
"OAXACA","OFICIALÍA 03 DEL REGISTRO CIVIL OAXACA","Armenta y López 1038, Centro, Oaxaca (CP 68000)","ARMENTA Y LÓPEZ 1038, CENTRO, OAXACA (CP 68000)","","","51 4 22 58 / 51 4 83 94"
"OAXACA","OFICIALÍA 04 DEL REGISTRO CIVIL OAXACA","Vicente guerrero 14, Col. Miguel Alemán, Oaxaca de juárez, oax. (CP 68120)","VICENTE GUERRERO 14, COLONIA MIGUEL ALEMÁN, OAXACA DE JUÁREZ, OAX (CP 68120)","","","50-1-50-50 (Ext. 2400)"
"OAXACA","OFICIALÍA 05 DEL REGISTRO CIVIL OAXACA","Dr. M. Pérez Ramírez (s/n), Col. Reforma, Centro, Oax. (al lado del Hospital civil)","DR M PÉREZ RAMÍREZ (S/N), COLONIA REFORMA, CENTRO, OAX (AL LADO DEL HOSPITAL CIVIL)","","",""
"OAXACA","OFICIALÍA 06 DEL REGISTRO CIVIL OAXACA","Garcia Vigil 602, Col. Centro, Oaxaca","GARCIA VIGIL 602, COLONIA CENTRO, OAXACA","","","51-6-34-02 y 50-6-20-70 (Ext 116)"
"OAXACA","SAN FELIPE USILA, TUXTEPEC","Av. Mártires del Río Blanco 101, Col. Barrio Chico (CP 68490)","AVENIDA MÁRTIRES DEL RÍO BLANCO 101, COLONIA BARRIO CHICO (CP 68490)","","","01-283-54-6-80-81 (caseta)"
"OAXACA","OFICIALÍA DEL REGISTRO CIVIL SAN MIGUEL SOYALTEPEC, TUXTEPEC","Calle 3 contra esquina de Av. 4 Barrio San Miguel Soyaltepec","CALLE 3 CONTRA ESQUINA DE AVENIDA 4 BARRIO SAN MIGUEL SOYALTEPEC","","","01-274-752-01-03"
"OAXACA","OFICIALÍA DEL REGISTRO CIVIL SAN PEDRO IXCATLÁN, TUXTEPEC","Calle Pipila (s/n), Col. Pino Suarez, San Pedro Ixcatlán","CALLE PIPILA (S/N), COLONIA PINO SUAREZ, SAN PEDRO IXCATLÁN","","","01-287-87-130-03 (Caseta)"
"OAXACA","OFICIALÍA DEL REGISTRO CIVIL SANTA MARÍA JACATEPEC, TUXTEPEC","Independencia (s/n), planta baja del Palacio Municipal","INDEPENDENCIA (S/N), PLANTA BAJA DEL PALACIO MUNICIPAL","","","01-283-56-00-129"
"OAXACA","OFICIALÍA 01 DEL REGISTRO CIVIL SAN JUAN BAUTISTA TUXTEPEC","Allende, esquina 20 de Noviembre 70, bajos del Palacio Municipal (CP 68300)","ALLENDE, ESQUINA 20 DE NOVIEMBRE 70, BAJOS DEL PALACIO MUNICIPAL (CP 68300)","","","01-287-87-5-02-00"
"OAXACA","OFICIALÍA DEL REGISTRO CIVIL LOMA BONITA","Morelos 12, entre 16 de Septiembre y Coahuila, Col. Centro (frente a Telégrafos)","MORELOS 12, ENTRE 16 DE SEPTIEMBRE Y COAHUILA, COLONIA CENTRO (FRENTE A TELÉGRAFOS)","","",""
"OAXACA","OFICIALÍA 01 DEL REGISTRO CIVIL SALINA CRUZ","Av. Manuel Ávila Camacho No. 50, Col. Centro Palacio Federal, Tehuantepec, Salina Cruz","AVENIDA MANUEL ÁVILA CAMACHO NO 50, COLONIA CENTRO PALACIO FEDERAL, TEHUANTEPEC, SALINA CRUZ","","","01 971 71 4 18 58"
"OAXACA","OFICIALÍA 02 DEL REGISTRO CIVIL SALINA CRUZ","Avenida M. Ávila Camacho (s/n), Col. Centro, Tehuantepec, Salina Cruz","AVENIDA M ÁVILA CAMACHO (S/N), COLONIA CENTRO, TEHUANTEPEC, SALINA CRUZ","","","01-971-714-26-20"
"OAXACA","OFICIALÍA DEL REGISTRO CIVIL SAN BLAS ATEMPA, TEHUANTEPEC"," Calzada del Panteón 100, esquina V. Guerrero, San Blas Atempa"," CALZADA DEL PANTEÓN 100, ESQUINA V GUERRERO, SAN BLAS ATEMPA","","","01-971-71-52191"
"OAXACA","OFICIALÍA DEL REGISTRO CIVIL JUCHITÁN DE ZARAGOZA","Avenida Hidalgo, esq. 5 de Septiembre (local 103), Col. Centro","AVENIDA HIDALGO, ESQUINA 5 DE SEPTIEMBRE (LOCAL 103), COLONIA CENTRO","","","971-71-1-10-06"
"OAXACA","SANTA CRUZ XOXOCOTLAN","Genaro Vasquez (s/n), Col. Centro, Santa Cruz Xoxocotlán, Valles Centrales","GENARO VASQUEZ (S/N), COLONIA CENTRO, SANTA CRUZ XOXOCOTLÁN, VALLES CENTRALES","","",""
"OAXACA","OFICIALÍA 01 DEL REGISTRO CIVIL HUAJUAPAN DE LEÓN","Galena no. 5, esquina Morelos, planta alta, Col. Centro (CP 69000), Mixteca","GALENA NO 5, ESQUINA MORELOS, PLANTA ALTA, COLONIA CENTRO (CP 69000), MIXTECA","","","01-953-53-2-34-81"
"OAXACA","OFICIALÍA 02 DEL REGISTRO CIVIL HUAJUAPAN DE LEÓN PRIMERA","Galena no. 5, esquina Morelos, planta alta, Col. Centro (CP 69000), Mixteca","GALENA NO 5, ESQUINA MORELOS, PLANTA ALTA, COLONIA CENTRO (CP 69000), MIXTECA","","","01-953-53-2-34-81"
