"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"QUERETARO","OFICIALIA 01 DEL REGISTRO CIVIL DE QUERÉTARO","Madero 81, zona centro","MADERO 81, ZONA CENTRO","","","214-16-44 y 212-55-00 (Ext. 4036 y 4035)"
"QUERETARO","OFICIALIA 02 DEL REGISTRO CIVIL QUERÉTARO","Calzada de Guadalupe Victoria 102","CALZADA DE GUADALUPE VICTORIA 102","","","210 10 84"
"QUERETARO","OFICIALIA 03 DEL REGISTRO CIVIL EN QUERÉTARO","Avenida del Río N° 1, Hércules","AVENIDA DEL RÍO N° 1, HÉRCULES","","","223 52 24"
"QUERETARO","OFICIALIA 04 DEL REGISTRO CIVIL DE QUERÉTARO","A. Pozo N° 1, Zona Centro","A POZO N° 1, ZONA CENTRO","","","291 00 19, 291-10-87 Y 291-10-82"
"QUERETARO","OFICIALIA 05 DEL REGISTRO CIVIL DE QUERÉTARO","Sector Lomas de Casa Blanca, Calle 21 N° 1000","SECTOR LOMAS DE CASA BLANCA, CALLE 21 N° 1000","","","222 15 10 Y 222 09 48"
"QUERETARO","OFICIALIA 06 DEL REGISTRO CIVIL DE QUERÉTARO","Calzada de Guadalupe Victoria 102","CALZADA DE GUADALUPE VICTORIA 102","","","218 62 76, 218 62 16 y 218 62 89"
"QUERETARO","OFICIALIA 07 DEL REGISTRO CIVIL DE QUERÉTARO","Sector Reforma Agraria (CCQ)","SECTOR REFORMA AGRARIA (CCQ)","","","238 77 00 (Ext. 6119)"
"QUERETARO","OFICIALIA 08 DEL REGISTRO CIVIL DE QUERÉTARO","Avenida Tlaloc N° 101, Desarrollo San Pablo","AVENIDA TLALOC N° 101, DESARROLLO SAN PABLO","","","217 39 08 y 210 11 44"
"QUERETARO","OFICIALIA 09 DEL REGISTRO CIVIL DE QUERÉTARO","I.S.S.S.T.E.,  Av. Tecnológico (sólo nacimiento y defunciones)","ISSSTE,  AVENIDA TECNOLÓGICO (SÓLO NACIMIENTO Y DEFUNCIONES)","","","256 01 00 (Ext. 50359)"
"QUERETARO","OFICIALIA 10 DEL REGISTRO CIVIL DE QUERÉTARO","I.M.S.S., 5 de febrero y Zaragoza (sólo nacimiento y defunciones)","IMSS, 5 DE FEBRERO Y ZARAGOZA (SÓLO NACIMIENTO Y DEFUNCIONES)","","","211 23 00"
"QUERETARO","OFICIALIA 11 DEL REGISTRO CIVIL DE QUERÉTARO","Vega y Monroy 1000 (sólo nacimiento y defunciones)","VEGA Y MONROY 1000 (SÓLO NACIMIENTO Y DEFUNCIONES)","","","291 92 00 (Ext. 2035)"
"QUERETARO","OFICIALIA 12 DEL REGISTRO CIVIL DE QUERÉTARO","Hospital San José, Constituyentes 302, El Jacal (sólo nacimiento y defunciones)","HOSPITAL SAN JOSÉ, CONSTITUYENTES 302, EL JACAL (SÓLO NACIMIENTO Y DEFUNCIONES)","","","211 00 80 (Ext. 2351)"
"QUERETARO","OFICIALIA DEL REGISTRO CIVIL SAN JUAN DEL RIO","27 de Septiembre 31, Interior A Col. Centro.","27 DE SEPTIEMBRE 31, INTERIOR A COLONIA CENTRO","","","(427) 272 3701, 1295116 y 220 1602"
"QUERETARO","OFICIALIA DEL REGISTRO CIVIL CORREGIDORA","Camino al Cerrito (S/N)","CAMINO AL CERRITO (S/N)","","","(442) 209 6000 (Ext. 6050 y 6051)"
"QUERETARO","OFICIALIA DEL REGISTRO CIVIL DE CORREGIDORA","F. Madero, Manzana 33 Lote 20, Esq. P. Lazcurain, Santa Bárbara","F MADERO, MANZANA 33 LOTE 20, ESQUINA P LAZCURAIN, SANTA BÁRBARA","","","(442) 2251181 y 220 0603"
"QUERETARO","OFICIALIA DEL REGISTRO CIVIL DE CORREGIDORA","Domicilio Conocido s/n, Joaquín Herrera","DOMICILIO CONOCIDO S/N, JOAQUÍN HERRERA","","","(442) 102 4178"
"QUERETARO","OFICIALIA DEL REGISTRO CIVIL DE CORREGIDORA","Domicilio Conocido (S/N), Los Olivera","DOMICILIO CONOCIDO (S/N), LOS OLIVERA","","","(442) 135 0570"
"QUERETARO","OFICIALIA DEL REGISTRO CIVIL DE EL MARQUES","Venustiano Carranza 2, La Cañada","VENUSTIANO CARRANZA 2, LA CAÑADA","","","(442) 238 8400"
"QUERETARO","OFICIALIA DEL REGISTRO CIVIL DE EL MARQUES","Delegación Municipal, Chichimequillas","DELEGACIÓN MUNICIPAL, CHICHIMEQUILLAS","","","(442) 246 6240"
"QUERETARO","OFICIALIA DEL REGISTRO CIVIL DE EL MARQUES","Delegación Municipal, Lázaro Cárdenas","DELEGACIÓN MUNICIPAL, LÁZARO CÁRDENAS","","","(442) 221 5613"
"QUERETARO","OFICIALIA DEL REGISTRO CIVIL DE EL MARQUES","La Griega, El Marques Qro.","LA GRIEGA, EL MARQUES QRO","","","(442) 198 9105"
"QUERETARO","OFICIALIA DEL REGISTRO CIVIL DE CADEREYTA DE MONTES","Juárez 10, Zona Centro","JUÁREZ 10, ZONA CENTRO","","","(441) 276 0180"
"QUERETARO","OFICIALIA DEL REGISTRO CIVIL DE PEDRO ESCOBEDO","Reforma N°1","REFORMA N°1","","","(448) 275 0006"
"QUERETARO","OFICIALIA DEL REGISTRO CIVIL DE TEQUISQUIAPAN","Palmas 5, Col. Los Sabinos","PALMAS 5, COLONIA LOS SABINOS","","","(414) 273-2327"
