"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"SINALOA","REGISTRO CIVIL OFICIALÍA DE CULIACÁN","Calzada de los Insurgentes n° 1221, Sur Edificio Torre las Americas Acceso, Col. Centro C.P. 80000, Culiacán, Sin.","CALZADA DE LOS INSURGENTES N° 1221, SUR EDIFICIO TORRE LAS AMERICAS ACCESO, COLONIA CENTRO CP 80000, CULIACÁN, SIN","","","01 667 758 70 00 ext. 2705"
"SINALOA","MUNICIPIO DE AHOME","Santos Degollado esq. Cuauhtémoc s/n, Col. Centro, C.P. 81200, Los Mochis, Sin.","SANTOS DEGOLLADO ESQUINA CUAUHTÉMOC S/N, COLONIA CENTRO, CP 81200, LOS MOCHIS, SIN","","","01 668 816-50-08"
"SINALOA","MUNICIPIO DE ANGOSTURA","16 de septiembre s/n, Col. Centro, C.P. 81600, Angostura, Sin.","16 DE SEPTIEMBRE S/N, COLONIA CENTRO, CP 81600, ANGOSTURA, SIN","","","01 697 734 00 40"
"SINALOA","MUNICIPIO DE CONCORDIA","Benito Juárez y Javier Mina s/n, Col. Centro, C.P. 82602, Concordia, Sin.","BENITO JUÁREZ Y JAVIER MINA S/N, COLONIA CENTRO, CP 82602, CONCORDIA, SIN","","","01 694 968 03 54 / 01 694 968 03 32 / 01 694 968 00 02 ext. 108"
"SINALOA","MUNICIPIO DE CULIACÁN","Álvaro Obregón y Mariano Escobedo s/n, Col. Centro, C.P. 80000, Culiacán, Sin.","ÁLVARO OBREGÓN Y MARIANO ESCOBEDO S/N, COLONIA CENTRO, CP 80000, CULIACÁN, SIN","","","01 667 758 01 01 ext. 1309"
"SINALOA","MUNICIPIO DE CHOIX","Prolongación n° 41, Col. Centro, C.P. 81701, Choix, Sin.","PROLONGACIÓN N° 41, COLONIA CENTRO, CP 81701, CHOIX, SIN","","","01 698 866 01 12"
"SINALOA","MUNICIPIO DE ELOTA","Antonio Toledo Corro s/n, Col. San José Conitaca, C.P.82701, Elota, Sin.","ANTONIO TOLEDO CORRO S/N, COLONIA SAN JOSÉ CONITACA, CP82701, ELOTA, SIN","","","01 696 961 01 11 / 01 696 691 02 42 ext. 148"
"SINALOA","MUNICIPIO DE ESCUINAPA","Gabriel Leyva n° 1, Col. Centro, C.P. 82400, Escuinapa, Sin.","GABRIEL LEYVA N° 1, COLONIA CENTRO, CP 82400, ESCUINAPA, SIN","","","01 695 953 34 89 / 01 695 953 02 92"
"SINALOA","MUNICIPIO DE FUERTE, EL","5 de Mayo e Hidalgo entre Morelos s/n, Col. Centro, C.P. 81821, El Fuerte, Sin.","5 DE MAYO E HIDALGO ENTRE MORELOS S/N, COLONIA CENTRO, CP 81821, EL FUERTE, SIN","","","01 698 893 01 45 ext. 129"
"SINALOA","MUNICIPIO DE GUASAVE","Av. Adolfo López Mateos s/n, Col. Centro, C.P. 81040, Guasave, Sin.","AVENIDA ADOLFO LÓPEZ MATEOS S/N, COLONIA CENTRO, CP 81040, GUASAVE, SIN","","","01 687 871 87 07"
"SINALOA","MUNICIPIO DE MAZATLÁN","Benito Juárez y Angel Flores s/n, Col. Centro, C.P. 82000, Mazatlán, Sin..","BENITO JUÁREZ Y ANGEL FLORES S/N, COLONIA CENTRO, CP 82000, MAZATLÁN, SIN","","","01 669 982 21 11 ext. 1304 / 1320"
"SINALOA","MUNICIPIO DE MOCORITO","Hidalgo y Morelos n° 32, Col. Centro, C.P. 80800, Mocorito, Sin.","HIDALGO Y MORELOS N° 32, COLONIA CENTRO, CP 80800, MOCORITO, SIN","","","01 673 735 02 92 / 01 673 735 02 75"
"SINALOA","MUNICIPIO DE NAVOLATO","Rosales n° 49 Norte, Col. Centro, C.P. 80370, Navolato, Sin.","ROSALES N° 49 NORTE, COLONIA CENTRO, CP 80370, NAVOLATO, SIN","","","01 672 727 01 39"
"SINALOA","MUNICIPIO DE ROSARIO, EL","Palacio Municipal s/n Interior Planta Alta, Col. Centro, C.P. 82800, El Rosario, Sin.","PALACIO MUNICIPAL S/N INTERIOR PLANTA ALTA, COLONIA CENTRO, CP 82800, EL ROSARIO, SIN","","","01 694 952 04 10 / 01 694 952 24 79 ext. 114"
"SINALOA","MUNICIPIO DE SALVADOR ALVARADO","Boulevard Antonio Rosales y Francisco Villa s/n Col. Centro, C.P. 81400, Guamuchil, Salvador Alvarado, Sin.","BOULEVARD ANTONIO ROSALES Y FRANCISCO VILLA S/N COLONIA CENTRO, CP 81400, GUAMUCHIL, SALVADOR ALVARADO, SIN","","","01 673 732 06 40 ext. 113"
"SINALOA","MUNICIPIO DE SINALOA","Hidalgo y Morelos s/n, Col. Centro, C.P. 81900, Sinaloa de Leyva, Sin.","HIDALGO Y MORELOS S/N, COLONIA CENTRO, CP 81900, SINALOA DE LEYVA, SIN","","","01 667 875 03 38 / 01 687 875 00 02 / 01 687 875 03 39"
"SINALOA","INEGI CULIACÁN","Calzada de los Insurgentes n° 1221, Sur Edificio Torre las Americas Acceso, Col. Centro C.P. 80000, Culiacán, Sin.","CALZADA DE LOS INSURGENTES N° 1221, SUR EDIFICIO TORRE LAS AMERICAS ACCESO, COLONIA CENTRO CP 80000, CULIACÁN, SIN","","","01 667 761 46 50"
"SINALOA","INSTITUTO NACIONAL DE MIGRACIÓN DELEGACIÓN REGIONAL SINALOA","Prolg. Aquiles Serdan s/n, Fracc. Playa Sur; Mazatlán, Sinaloa","PROLG AQUILES SERDAN S/N, FRACC PLAYA SUR; MAZATLÁN, SINALOA","","","01 698 13 12 11"
