"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"SONORA","OFICIALÍA 01 DEL REGISTRO CIVIL HERMOSILLO","Huasteca 18-a, col. modelo, Hermosillo, Sonora","HUASTECA 18-A, COLONIA MODELO, HERMOSILLO, SONORA","","","215 57 84"
"SONORA","OFICIALÍA 02 DEL REGISTRO CIVIL HERMOSILLO","Aguascalientes 351-a, entre Loaiza y Olivares, Hermosillo, Sonora","AGUASCALIENTES 351-A, ENTRE LOAIZA Y OLIVARES, HERMOSILLO, SONORA","","","216 88 01"
"SONORA","OFICIALÍA 03 DEL REGISTRO CIVIL HERMOSILLO","Perimetral Nte. 110, Esquina con solidaridad, edificio CUM, Hermosillo, Sonora","PERIMETRAL NTE 110, ESQUINA CON SOLIDARIDAD, EDIFICIO CUM, HERMOSILLO, SONORA","","","216 92 60 y 216"
"SONORA","OFICIALÍA 01 DEL REGISTRO CIVIL OBREGON","Edificio del gobierno del Estado, Sinaloa y Montero Morales, Cd. Obregón, Sonora","EDIFICIO DEL GOBIERNO DEL ESTADO, SINALOA Y MONTERO MORALES, CD OBREGÓN, SONORA","","","414 00 89"
"SONORA","OFICIALÍA 01 DEL REGISTRO CIVIL OBREGON","No reelección 107 Pte., Cd. Obregón, Sonora","NO REELECCIÓN 107 PTE, CD OBREGÓN, SONORA","","","414 77 22"
"SONORA","OFICIALÍA DEL REGISTRO CIVIL CANANEA","Avenida obregón y calle cuarta este 5, Cananea, Sonora","AVENIDA OBREGÓN Y CALLE CUARTA ESTE 5, CANANEA, SONORA","","","332 59 32"
"SONORA","OFICIALÍA DEL REGISTRO CIVIL VILLA DE SERIS","Rosales 9 entre blvd. Vildósola y Jesús García, col. villa de seris, Hermosillo, Sonora","ROSALES 9 ENTRE BLVD VILDÓSOLA Y JESÚS GARCÍA, COLONIA VILLA DE SERIS, HERMOSILLO, SONORA","","","250 47 05"
"SONORA","OFICIALÍA DEL REGISTRO CIVIL AGUA PRIETA","Calle 7, Ave. 8, local 2, Agua Prieta, Sonora","CALLE 7, AVE 8, LOCAL 2, AGUA PRIETA, SONORA","","","338 13 89"
"SONORA","OFICIALÍA DEL REGISTRO CIVIL ALAMOS","Palacio municipal, ave. Juárez (s/n), Alamos, Sonora","PALACIO MUNICIPAL, AVE JUÁREZ (S/N), ALAMOS, SONORA","","","428 10 32"
"SONORA","OFICIALÍA DEL REGISTRO CIVIL BACOBAMPO","Calle chihuahua s/n, Depto. 2, Bacobampo, Sonora","CALLE CHIHUAHUA S/N, DEPTO 2, BACOBAMPO, SONORA","","","427 09 85"
"SONORA","OFICIALÍA DEL REGISTRO CIVIL VILLA JUÁREZ","Palacio municipal, Plutarco elías calles (sin número), Benito juárez, Sonora","PALACIO MUNICIPAL, PLUTARCO ELÍAS CALLES (SIN NÚMERO), BENITO JUÁREZ, SONORA","","","435 08 47"
