"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"TAMAULIPAS","OFICIALÍA 01 DEL REGISTRO CIVIL DE REYNOSA","R. Linda Guerrero y H. Ramirez, Colonia Longoria (CP 88630)","R LINDA GUERRERO Y H RAMIREZ, COLONIA LONGORIA (CP 88630)","","","899 909 88 50"
"TAMAULIPAS","OFICIALÍA 02 DEL REGISTRO CIVIL REYNOSA","R. Linda Guerrero y H. Ramirez, Colonia Longoria (CP 88630)","R LINDA GUERRERO Y H RAMIREZ, COLONIA LONGORIA (CP 88630)","","","899 909 88 65"
"TAMAULIPAS","OFICIALÍA 03 DEL REGISTRO CIVIL DE REYNOSA","I. Mariscal S/N, Col. B. Juárez (CP 88970)","I MARISCAL S/N, COLONIA B JUÁREZ (CP 88970)","","","(899) 957 12 75"
"TAMAULIPAS","OFICIALÍA 04 DEL REGISTRO CIVIL DE REYNOSA","Vicente Guerrero 747, Ote. Zona Centro (CP 88500)","VICENTE GUERRERO 747, OTE ZONA CENTRO (CP 88500)","","","(899) 922 40 44"
"TAMAULIPAS","OFICIALÍA 01 DEL REGISTRO CIVIL DE MATAMOROS","Morelos 8 y 10, Edificio Terrazas, primer piso, zona centro (CP 87300)","MORELOS 8 Y 10, EDIFICIO TERRAZAS, PRIMER PISO, ZONA CENTRO (CP 87300)","","","(868) 813 52 74"
"TAMAULIPAS","OFICIALÍA 02 DEL REGISTRO CIVIL MATAMOROS","Ocampo 500, Entre García y Martínez (CP 87300)","OCAMPO 500, ENTRE GARCÍA Y MARTÍNEZ (CP 87300)","","","(868) 812 34 31"
"TAMAULIPAS","OFICIALÍA 04 DEL REGISTRO CIVIL DE MATAMOROS TAMAULIPAS","Morelos 8 y 10, Edificio Terrazas, primer piso, zona centro (CP 87300)","MORELOS 8 Y 10, EDIFICIO TERRAZAS, PRIMER PISO, ZONA CENTRO (CP 87300)","","","(868) 813 33 78"
"TAMAULIPAS","OFICIALÍA 01 DEL REGISTRO CIVIL NUEVO LAREDO","Palacio Federal, Planta baja (CP 88000)","PALACIO FEDERAL, PLANTA BAJA (CP 88000)","","","(867) 712 03 05"
"TAMAULIPAS","OFICIALÍA 02 DEL REGISTRO CIVIL DE NUEVO LAREDO","Washington y A. Serdan, esquina Col. Ferrocarrilera (CP 88050)","WASHINGTON Y A SERDAN, ESQUINA COLONIA FERROCARRILERA (CP 88050)","","","(867) 714-75-00"
"TAMAULIPAS","OFICIALÍA 03 DEL REGISTRO CIVIL DE NUEVO LAREDO TAMAULIPAS","Mendoza 1111, sector aduana (CP 88000)","MENDOZA 1111, SECTOR ADUANA (CP 88000)","","","(867) 719 50 44"
"TAMAULIPAS","OFICIALÍA 04 DEL REGISTRO CIVIL DE NUEVO LAREDO TAMAULIPAS","Revolución, entre Cedillo y Ursula (CP 88000)","REVOLUCIÓN, ENTRE CEDILLO Y URSULA (CP 88000)","","","(867) 710 27 27 y (867) 710 07 96"
"TAMAULIPAS","OFICIALÍA 01 DEL REGISTRO CIVIL DE CIUDAD VICTORIA","Calle 16 Norberto Treviño, esquina L. Torres Vázquez 3137, Col. Magisterial (CP 87026)","CALLE 16 NORBERTO TREVIÑO, ESQUINA L TORRES VÁZQUEZ 3137, COLONIA MAGISTERIAL (CP 87026)","","","(834) 110-2216"
"TAMAULIPAS","OFICIALÍA 02 DEL REGISTRO CIVIL CIUDAD VICTORIA","Carrera y Aldama (CP 87026)","CARRERA Y ALDAMA (CP 87026)","","","(834) 316 16 78 y (834) 316 05 13"
"TAMAULIPAS","OFICIALÍA 03 DEL REGISTRO CIVIL DE CIUDAD VICTORIA","Libramiento Naciones Unidas y Blvd. Praxedis Balboa, Parque Bicentenario (CP 87026)","LIBRAMIENTO NACIONES UNIDAS Y BLVD PRAXEDIS BALBOA, PARQUE BICENTENARIO (CP 87026)","","","(834) 318 72 49"
"TAMAULIPAS","OFICIALÍA 01 DEL REGISTRO CIVIL DE TAMPICO","Aquiles Serdan 101, esquina Carranza (CP 89000)","AQUILES SERDAN 101, ESQUINA CARRANZA (CP 89000)","","","(833) 214 20 47 y (833) 213 39 10"
"TAMAULIPAS","OFICIALÍA 02 DEL REGISTRO CIVIL TAMPICO","Hidalgo 5004, Col. Sierra Morena (CP 89210)","HIDALGO 5004, COLONIA SIERRA MORENA (CP 89210)","","","(833) 213 15 87"
