"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"VERACRUZ","REGISTRO CIVIL DE ACATLÁN","5 de mayo s/n, Col. Centro, C.P. 91420, Acatlán, Veracruz","5 DE MAYO S/N, COLONIA CENTRO, CP 91420, ACATLÁN, VERACRUZ","","","01 279 82 232 53"
"VERACRUZ","REGISTRO CIVIL DE ACAYUCAN","Nicolas Bravo s/n, Palacio Municipal, Col. Centro, C.P. 96000, Acayucan, Veracruz","NICOLAS BRAVO S/N, PALACIO MUNICIPAL, COLONIA CENTRO, CP 96000, ACAYUCAN, VERACRUZ","","","01 924 245 18 14"
"VERACRUZ","REGISTRO CIVIL DE ACULA","5 de Febrero esq. Independencia s/n, Col. Centro, C.P. 95440, Acula, Veracruz","5 DE FEBRERO ESQUINA INDEPENDENCIA S/N, COLONIA CENTRO, CP 95440, ACULA, VERACRUZ","","","01 288 886 31 20"
"VERACRUZ","REGISTRO CIVIL DE ACULTZINGO","Zaragoza s/n, Col. Centro, C.P. 94760, Acultzingo, Veracruz","ZARAGOZA S/N, COLONIA CENTRO, CP 94760, ACULTZINGO, VERACRUZ","","","01 272 74 220 03"
"VERACRUZ","REGISTRO CIVIL DE ALPATLAHUAC","Av. Iturbide s/n, Col. Centro, C.P. 94130, Alpatlahuac, Veracruz","AVENIDA ITURBIDE S/N, COLONIA CENTRO, CP 94130, ALPATLAHUAC, VERACRUZ","","","01 273 73 251 23"
"VERACRUZ","REGISTRO CIVIL DE AGUA DULCE","Francisco I. Madero s/n, Col. Centro, C.P. 96660, Agua Dulce, Veracruz","FRANCISCO I MADERO S/N, COLONIA CENTRO, CP 96660, AGUA DULCE, VERACRUZ","","","01 233 14 47; ext. 109"
"VERACRUZ","REGISTRO CIVIL DE FILOMENO MATA","Santos Degollado s/n, Zona Centro, C.P. 93100, Filomeno Mata, Veracruz","SANTOS DEGOLLADO S/N, ZONA CENTRO, CP 93100, FILOMENO MATA, VERACRUZ","","","01 784 887 11 07"
"VERACRUZ","REGISTRO CIVIL DE FORTIN","Calle 1 y 3 Av. 3 s/n, Col. Centro, C.P. 94471, Fortin, Veracruz","CALLE 1 Y 3 AVENIDA 3 S/N, COLONIA CENTRO, CP 94471, FORTIN, VERACRUZ","","","01 271 713 04 78"
"VERACRUZ","REGISTRO CIVIL DE GUTIÉRREZ ZAMORA","Hernández y Hernández N° 1, Col. Centro, C.P. 93556, Gutiérrez Zamora, Veracruz","HERNÁNDEZ Y HERNÁNDEZ N° 1, COLONIA CENTRO, CP 93556, GUTIÉRREZ ZAMORA, VERACRUZ","","","01766 845 00 18"
"VERACRUZ","REGISTRO CIVIL DE HUATUSCO","Palacio Municipal s/n, Col. Centro, C.P. 94100, Huatusco, Veracruz","PALACIO MUNICIPAL S/N, COLONIA CENTRO, CP 94100, HUATUSCO, VERACRUZ","","","01 273 734 0031"
"VERACRUZ","REGISTRO CIVIL DE HUEYAPAN DE OCAMPO","Melchor Ocampo s/n, Col. Centro, C.P. 95865, Hueyapan de Ocampo, Veracruz","MELCHOR OCAMPO S/N, COLONIA CENTRO, CP 95865, HUEYAPAN DE OCAMPO, VERACRUZ","","","01 294 945 03 63"
"VERACRUZ","REGISTRO CIVIL DE HUILOAPAN","Hidalgo N° 3, Col. Centro, C.P. 94180, Huiloapan, Veracruz","HIDALGO N° 3, COLONIA CENTRO, CP 94180, HUILOAPAN, VERACRUZ","","","01 272 727 05 15"
"VERACRUZ","REGISTRO CIVIL DE IGNACIO DE LA LLAVE","Uscanga N° 668, Col. Centro, C.P. 95240, Ignacio de la Llave, Veracruz","USCANGA N° 668, COLONIA CENTRO, CP 95240, IGNACIO DE LA LLAVE, VERACRUZ","","","01 285 976 00 17"
"VERACRUZ","REGISTRO CIVIL DE ILAMATLÁN","Plaza de la Constitución s/n, Col. Centro, C.P. 92620, Ilamatlán, Veracruz","PLAZA DE LA CONSTITUCIÓN S/N, COLONIA CENTRO, CP 92620, ILAMATLÁN, VERACRUZ","","","01 200 123 27 06"
"VERACRUZ","REGISTRO CIVIL DE ISLA","Bravo esq. Allende s/n, Col. Centro, C.P. 95671, Isla, Veracruz","BRAVO ESQUINA ALLENDE S/N, COLONIA CENTRO, CP 95671, ISLA, VERACRUZ","","","01 283 874 03 86"
"VERACRUZ","REGISTRO CIVIL DE IXCATEPEC","Guadalupe Victoria s/n, Col. Centro, C.P. 92270, Ixcatepec, Veracruz","GUADALUPE VICTORIA S/N, COLONIA CENTRO, CP 92270, IXCATEPEC, VERACRUZ","","","01 985 856 80 84"
