"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"ZACATECAS","REGISTRO CIVIL DE ZACATECAS","Constitución n° 238, Col. Lomas de la Soledad, C.P. 98000, Zacatecas, Zacatecas","CONSTITUCIÓN N° 238, COLONIA LOMAS DE LA SOLEDAD, CP 98000, ZACATECAS, ZACATECAS","","","01 492 925 37 85 14 492 922 56 20"
"ZACATECAS","REGISTRO CIVIL DE APOZOL","Plaza de la Constitución n° 1, Col. Centro, C.P. 99940, Apozol, Zacatecas","PLAZA DE LA CONSTITUCIÓN N° 1, COLONIA CENTRO, CP 99940, APOZOL, ZACATECAS","","","01 467 952 04 36"
"ZACATECAS","REGISTRO CIVIL DE ATOLINGA","Jardín Principal s/n Col. Centro, C.P. 99730, Atolinga, Zacatecas","JARDÍN PRINCIPAL S/N COLONIA CENTRO, CP 99730, ATOLINGA, ZACATECAS","","","01 437 954 14 00 y 01954 15 80"
"ZACATECAS","REGISTRO CIVIL DE CALERA DE VÍCTOR ROSALES","Tránsito n° 103 Sur, C.P. 98500, Calera, Zacatecas","TRÁNSITO N° 103 SUR, CP 98500, CALERA, ZACATECAS","","","01 478 985 03 30"
"ZACATECAS","REGISTRO CIVIL DE CAÑITAS DE FELIPE PESCADOR","Sur 3 n° 12 Col. Barrio Viejo, C.P. 98480, Cañitas, Zacatecas","SUR 3 N° 12 COLONIA BARRIO VIEJO, CP 98480, CAÑITAS, ZACATECAS","","","01 458 937 00 83"
"ZACATECAS","REGISTRO CIVIL DE CONCEPCIÓN DEL ORO","Allende n° 21 Col. Centro, C.P. 98480, Concepción del Oro, Zacatecas","ALLENDE N° 21 COLONIA CENTRO, CP 98480, CONCEPCIÓN DEL ORO, ZACATECAS","","","01 842 424 00 17"
"ZACATECAS","REGISTRO CIVIL DE CUAUHTÉMOC","Plaza Principal s/n Col. Centro, C.P. 98680, Cuauhtémoc, Zacatecas","PLAZA PRINCIPAL S/N COLONIA CENTRO, CP 98680, CUAUHTÉMOC, ZACATECAS","","","01 458 941 00 30 y 01 458 941 00 31 ext. 110"
"ZACATECAS","REGISTRO CIVIL DE CHALCHIHUITES","Iturbide n° 200, Col. Chalchihuites, C.P. 99260, Chalchihuites, Zacatecas","ITURBIDE N° 200, COLONIA CHALCHIHUITES, CP 99260, CHALCHIHUITES, ZACATECAS","","","01 457 938 03 04"
"ZACATECAS","REGISTRO CIVIL DE FRESNILLO","Juan de Tolosa n° 100 Col. Centro, C.P. 99000, Fresnillo, Zacatecas","JUAN DE TOLOSA N° 100 COLONIA CENTRO, CP 99000, FRESNILLO, ZACATECAS","","","01 493 932 09 69"
"ZACATECAS","REGISTRO CIVIL DE FRESNILLO OFICIALÍA 05","Jerez n° 32 Col. Centro, C.P. 99000, Fresnillo, Zacatecas","JEREZ N° 32 COLONIA CENTRO, CP 99000, FRESNILLO, ZACATECAS","","","01 493 878 42 09"
"ZACATECAS","REGISTRO CIVIL DE GENARO CODINA","Plaza de Castro n° 222, Col. Centro, C.P. 98660, Genaro Codina, Zacatecas","PLAZA DE CASTRO N° 222, COLONIA CENTRO, CP 98660, GENARO CODINA, ZACATECAS","","","01 458 948 30 55"
"ZACATECAS","REGISTRO CIVIL DE GENERAL ENRIQUE ESTRADA","Jardín Principal s/n, Col. Centro, C.P. 98350, General Enrique Estrada, Zacatecas","JARDÍN PRINCIPAL S/N, COLONIA CENTRO, CP 98350, GENERAL ENRIQUE ESTRADA, ZACATECAS","","","01 478 985 15 63"
"ZACATECAS","REGISTRO CIVIL DE GENERAL FRANCISCO R. MURGUÍA","Reforma n° 1, Col. Centro, C.P. 98350, General Francisco R. Murguía, Zacatecas","REFORMA N° 1, COLONIA CENTRO, CP 98350, GENERAL FRANCISCO R MURGUÍA, ZACATECAS","","","01 498 935 50 10 y 01 498 935 52 42"
"ZACATECAS","REGISTRO CIVIL DE GENERAL PÁNFILO NATERA","Alfonso Medina n° 4, Col. Centro, C.P. 98730, General Pánfilo Natera, Zacatecas","ALFONSO MEDINA N° 4, COLONIA CENTRO, CP 98730, GENERAL PÁNFILO NATERA, ZACATECAS","","","01 458 931 60 41 ext. 112"
"ZACATECAS","REGISTRO CIVIL DE GUADALUPE","H. Colegio Militar n° 96 Oriente, Col. Centro, C.P. 98600, Guadalupe, Zacatecas","H COLEGIO MILITAR N° 96 ORIENTE, COLONIA CENTRO, CP 98600, GUADALUPE, ZACATECAS","","","01 492 923 54 92 ext. 124"
"ZACATECAS","REGISTRO CIVIL DE HUANUSCO","Plaza Principal n° 8, Col. Centro, C.P. 99670, Huanusco, Zacatecas","PLAZA PRINCIPAL N° 8, COLONIA CENTRO, CP 99670, HUANUSCO, ZACATECAS","","","01 463 957 06 08"
"ZACATECAS","REGISTRO CIVIL DE JALPA","Plaza Principal n° 115, Col. Centro, C.P. 99601, Jalpa, Zacatecas","PLAZA PRINCIPAL N° 115, COLONIA CENTRO, CP 99601, JALPA, ZACATECAS","","","01 463 955 20 03 ext. 107"
"ZACATECAS","REGISTRO CIVIL DE JEREZ","Plaza Principal n° 11, Col. Centro, C.P. 99300, Jerez, Zacatecas","PLAZA PRINCIPAL N° 11, COLONIA CENTRO, CP 99300, JEREZ, ZACATECAS","","","01 494 945 22 53 ext. 111"
"ZACATECAS","REGISTRO CIVIL DE JIMÉNEZ DEL TÉUL","Morelo0s n° 22, Col. Centro, C.P. 99280, Jiménez del Téul, Zacatecas","MORELO0S N° 22, COLONIA CENTRO, CP 99280, JIMÉNEZ DEL TÉUL, ZACATECAS","","","01 457 988 30 45"
"ZACATECAS","REGISTRO CIVIL DE JUAN ALDAMA","Av. Centenario n° 5, Col. Centro, C.P. 98300, Juan Aldama, Zacatecas","AVENIDA CENTENARIO N° 5, COLONIA CENTRO, CP 98300, JUAN ALDAMA, ZACATECAS","","","01 498 983 01 50 y 01 498 983 02 41"
"ZACATECAS","REGISTRO CIVIL DE LORETO","Independencia s/n, Col. Centro, C.P. 98800, Loreto, Zacatecas","INDEPENDENCIA S/N, COLONIA CENTRO, CP 98800, LORETO, ZACATECAS","","","01 496 962 01 19 ext. 107"
"ZACATECAS","REGISTRO CIVIL DE LUIS MOYA","Morelos s/n, Col. Centro, C.P. 98770, Luis Moya, Zacatecas","MORELOS S/N, COLONIA CENTRO, CP 98770, LUIS MOYA, ZACATECAS","","","01 458 987 00 55"
"ZACATECAS","REGISTRO CIVIL DE MAZAPIL","Guerrero n° 22, Col. Centro, C.P. 98230, Mazapil, Zacatecas","GUERRERO N° 22, COLONIA CENTRO, CP 98230, MAZAPIL, ZACATECAS","","","01 842 424 20 14 y 01 842 424 20 13"
"ZACATECAS","REGISTRO CIVIL DE MEZQUITAL DEL ORO","Niños Héroes n° 7, Col. Centro, C.P. 99860, Mezquital del Oro, Zacatecas","NIÑOS HÉROES N° 7, COLONIA CENTRO, CP 99860, MEZQUITAL DEL ORO, ZACATECAS","","","01 467 952 82 52"
"ZACATECAS","REGISTRO CIVIL DE MIGUEL AUZA","Constitución n° 32, Col. Centro, C.P. 98330, Miguel Auza, Zacatecas","CONSTITUCIÓN N° 32, COLONIA CENTRO, CP 98330, MIGUEL AUZA, ZACATECAS","","","01 433 984 01 01"
"ZACATECAS","REGISTRO CIVIL MOMAX","I. Allende No. 13, Col. Centro, C.P. 99720, Momax, Zacatecas","I ALLENDE NO 13, COLONIA CENTRO, CP 99720, MOMAX, ZACATECAS","","","01 437 991 00 21"
"ZACATECAS","REGISTRO CIVIL DE MONTE ESCOBEDO","Jardín Zaragoza n° 7, Col. Centro, C.P. 99400, Monte Escobedo, Zacatecas","JARDÍN ZARAGOZA N° 7, COLONIA CENTRO, CP 99400, MONTE ESCOBEDO, ZACATECAS","","","01 457 948 01 71"
"ZACATECAS","REGISTRO CIVIL DE MORELOS","Plaza Principal n° 1, Col. Centro, C.P. 98100, Morelos, Zacatecas","PLAZA PRINCIPAL N° 1, COLONIA CENTRO, CP 98100, MORELOS, ZACATECAS","","","01 492 931 00 72"
"ZACATECAS","REGISTRO CIVIL DE MOYAHUA DE ESTRADA","Av. Juárez n° 199, Col. Centro, C.P. 99980, Moyahua de Estrada, Zacatecas","AVENIDA JUÁREZ N° 199, COLONIA CENTRO, CP 99980, MOYAHUA DE ESTRADA, ZACATECAS","","","01 467 961 51 21"
"ZACATECAS","REGISTRO CIVIL DE NOCHISTLÁN","Hidalgo n° 1, Col. Centro, C.P. 99900, Nochistlán, Zacatecas","HIDALGO N° 1, COLONIA CENTRO, CP 99900, NOCHISTLÁN, ZACATECAS","","","01 346 713 02 33 y 01 346 713 02 29 EXT. 114 Y 117"
"ZACATECAS","REGISTRO CIVIL DE NORIA DE ANGELES","Hidalgo s/n, Col. Noria de Angeles, C.P. 98700, Noria de Angeles, Zacatecas","HIDALGO S/N, COLONIA NORIA DE ANGELES, CP 98700, NORIA DE ANGELES, ZACATECAS","","","01 496 967 70 13 y 01 496 967 70 14"
"ZACATECAS","REGISTRO CIVIL DE OJOCALIENTE","Plaza Principal n° 4, Col. Centro, C.P. 98710, Ojocaliente, Zacatecas","PLAZA PRINCIPAL N° 4, COLONIA CENTRO, CP 98710, OJOCALIENTE, ZACATECAS","","","01 458 944 00 87"
"ZACATECAS","REGISTRO CIVIL DE PANUCO","Allende n° 1, Col. Centro, C.P. 98540, Panuco, Zacatecas","ALLENDE N° 1, COLONIA CENTRO, CP 98540, PANUCO, ZACATECAS","","","01 478 584 70 06 y 01 478 584 70 08"
"ZACATECAS","REGISTRO CIVIL DE PLATEADO DE JOAQUÍN AMARO EL","Morelos s/n, Col. Centro, C.P. 99590, Plateado de Joaquín Amaro El, Zacatecas","MORELOS S/N, COLONIA CENTRO, CP 99590, PLATEADO DE JOAQUÍN AMARO EL, ZACATECAS","","","01 499 926 07 92"
"ZACATECAS","REGISTRO CIVIL DE PINOS","Plaza Principal s/n Col. Centro, C.P. 98920, Pinos, Zacatecas","PLAZA PRINCIPAL S/N COLONIA CENTRO, CP 98920, PINOS, ZACATECAS","","","01 496 864 02 07"
"ZACATECAS","REGISTRO CIVIL DE RÍO GRANDE","Constitución No. 36, Col. Centro, C.P. 98400, Río Grande, Zacatecas","CONSTITUCIÓN NO 36, COLONIA CENTRO, CP 98400, RÍO GRANDE, ZACATECAS","","","01 498 982 04 54 ext. 34"
"ZACATECAS","REGISTRO CIVIL DE SAÍN ALTO","Constitución n° 6, Col. Centro, C.P. 99130, Saín Alto, Zacatecas","CONSTITUCIÓN N° 6, COLONIA CENTRO, CP 99130, SAÍN ALTO, ZACATECAS","","","01 498 934 07 00 y 01 498 934 07 59"
"ZACATECAS","REGISTRO CIVIL DE SANTA MARÍA DE LA PAZ","Zacatecas n° 1, Col. Centro, C.P. 99809, Santa María de la Paz, Zacatecas","ZACATECAS N° 1, COLONIA CENTRO, CP 99809, SANTA MARÍA DE LA PAZ, ZACATECAS","","","01 467 957 60 94"
"ZACATECAS","REGISTRO CIVIL DE SOMBRERETE","Portal Hidalgo s/n, Col. Centro, C.P. 99631, Tabasco, Zacatecas","PORTAL HIDALGO S/N, COLONIA CENTRO, CP 99631, TABASCO, ZACATECAS","","","01 433 935 00 88 y 01 433 935 00 71"
"ZACATECAS","REGISTRO CIVIL DE SUSTICACÁN","Plaza Centenario s/n, Presidencia Municipal, C.P. 99480, Susticacán, Zacatecas","PLAZA CENTENARIO S/N, PRESIDENCIA MUNICIPAL, CP 99480, SUSTICACÁN, ZACATECAS","","","0101 494 936 00 00"
"ZACATECAS","REGISTRO CIVIL DE TABASCO","Portal Hidalgo s/n, Col. Centro, C.P. 99631, Tabasco, Zacatecas","PORTAL HIDALGO S/N, COLONIA CENTRO, CP 99631, TABASCO, ZACATECAS","","","01 463 957 05 05 ext. 111"
"ZACATECAS","REGISTRO CIVIL DE TEPECHITLÁN","Morelos n° 15, Col. Centro, C.P. 99750, Tepechitlán, Zacatecas","MORELOS N° 15, COLONIA CENTRO, CP 99750, TEPECHITLÁN, ZACATECAS","","","01 437 961 01 78"
"ZACATECAS","REGISTRO CIVIL DE TEPETONGO","Av. Iturbide n° 32, Zona Centro, C.P. 99570, Tepetongo, Zacatecas","AVENIDA ITURBIDE N° 32, ZONA CENTRO, CP 99570, TEPETONGO, ZACATECAS","","","01 494 941 80 22"
"ZACATECAS","REGISTRO CIVIL DE TEUL DE GONZÁLEZ ORTEGA","Libertad n° 10, Col. Centro, C.P. 99800, Teul de González Ortega, Zacatecas","LIBERTAD N° 10, COLONIA CENTRO, CP 99800, TEUL DE GONZÁLEZ ORTEGA, ZACATECAS","","","01 467 952 71 14 y 01 467 952 77 20"
"ZACATECAS","REGISTRO CIVIL DE TLALTENANGO","Libertad n° 1, Col. Centro, C.P. 99700, Tlaltenango, Zacatecas","LIBERTAD N° 1, COLONIA CENTRO, CP 99700, TLALTENANGO, ZACATECAS","","","01 437 954 01 64 y 01 954 02 04"
"ZACATECAS","REGISTRO CIVIL DE TRANCOSO","Gral. Barragan n° 1, Col. Centro, C.P. 98640, Trancoso, Zacatecas","GRAL BARRAGAN N° 1, COLONIA CENTRO, CP 98640, TRANCOSO, ZACATECAS","","","01 492 931 20 09 ext. 107"
"ZACATECAS","REGISTRO CIVIL DE TRINIDAD GARCÍA DE LA CADENA","Francisco García Salinas n° 3, Col. Centro, C.P. 99830, Trinidad garcía de la cadena, Zacatecas","FRANCISCO GARCÍA SALINAS N° 3, COLONIA CENTRO, CP 99830, TRINIDAD GARCÍA DE LA CADENA, ZACATECAS","","","01 467 969 00 96 ext. 21"
"ZACATECAS","REGISTRO CIVIL DE VALPARAÍSO","Plaza Constitución s/n, Col. Centro, C.P. 99200, Valparaíso, Zacatecas","PLAZA CONSTITUCIÓN S/N, COLONIA CENTRO, CP 99200, VALPARAÍSO, ZACATECAS","","","01 457 936 03 50 y 01 457 936 01 85"
"ZACATECAS","REGISTRO CIVIL DE VILLA DE COS","Av. Hidalgo n° 5, Col. Centro C.P. 98430, Villa de Cos, Zacatecas","AVENIDA HIDALGO N° 5, COLONIA CENTRO CP 98430, VILLA DE COS, ZACATECAS","","","01 458 931 41 01"
"ZACATECAS","REGISTRO CIVIL DE VILLA GARCÍA","Adolfo López Mateos No. 102, Col. Centro, C.P. 98900, Villa García, Zacatecas","ADOLFO LÓPEZ MATEOS NO 102, COLONIA CENTRO, CP 98900, VILLA GARCÍA, ZACATECAS","","","01 496 962 09 10 y 01 496 962 10 33"
"ZACATECAS","REGISTRO CIVIL DE VILLA GONZÁLEZ ORTEGA","Madero n° 5 Col. Centro, C.P. 98840, Villa González Ortega, Zacatecas","MADERO N° 5 COLONIA CENTRO, CP 98840, VILLA GONZÁLEZ ORTEGA, ZACATECAS","","","01 496 965 40 33"
"ZACATECAS","REGISTRO CIVIL DE VILLA HIDALGO","Zaragoza n° 13 Col. Centro, Villa Hidalgo, Zacatecas","ZARAGOZA N° 13 COLONIA CENTRO, VILLA HIDALGO, ZACATECAS","","","01 496 965 24 91"
"ZACATECAS","REGISTRO CIVIL DE VILLANUEVA","Plaza Principal s/n, Col. Centro, C.P. 99500, Villanueva, Zacatecas","PLAZA PRINCIPAL S/N, COLONIA CENTRO, CP 99500, VILLANUEVA, ZACATECAS","","","01 499 926 00 11 y 01 499 926 01 11"
